1'上半场比赛开始！！                   1'第1分钟主队优势明显，把申花压在半场打
14'阿洛伊西奥的进球！！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
14'阿洛伊西奥脱衣庆祝，领到黄牌！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
15'拉维奇右路拿球，直塞给前插的张呈栋，张呈栋下底传中，阿洛伊西奥甩头轰门，顶进！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
22'张呈栋没机会，回传上来的赵明剑                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
22'赵明剑的斜传球到禁区左侧，被栗鹏头球解围                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
23'瓜林中场拿球，分球给到徐骏敏                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
23'徐骏敏再给曹赟定，曹赟定的斜传找莫雷诺，被破坏                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
23'申花前场右路的进攻，斜塞找到特维斯                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
24'特维斯停球强突到禁区，起右脚打门，被杨程封堵出底线！                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
24'申花再次获得右侧角球！！                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
24'特维斯开出到门前，被杨程出击直接拿到！！                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
25'华夏幸福前场的进攻，拉维奇中场强突                   22'第22分钟瓜林和特维斯在右路连续配合，最后特维斯带球在禁区右侧强行起脚射门，球被杨程打出
27'球到了尹鸿博脚下，转身抽射，打飞啦！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
27'丁海峰的左路直塞找拉维奇                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
27'栗鹏回防放铲，将球解围出边线！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
27'2-1！！！华夏幸福反超了！！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
27'尹鸿博的进球！！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
28'赵明剑右路拿球，内切斜传到禁区，尹鸿博中路插上，冲顶破门！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
29'王寿挺左边路拿球，面对逼抢，回传后场给李运秋                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
29'申花后场失误啦！！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
29'3-1！！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
29'阿洛伊西奥推射空门，打进！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
30'陶金和栗鹏后场失误，拉维奇抢断，趟过李帅，有点大，刚好到了阿洛伊西奥脚下，后者带两步，推射空门打进！！                   27'第27分钟河北队再下一城，赵明剑右路带球观察片刻后起脚传中，尹鸿博抢在李运秋之前，跑动中头球抢射，球进，2比1
33'申花中场抢断，特维斯拿球强突                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
33'挑传过任航，后者的手球违例！！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
33'申花获得前场中路，靠近左侧的任意球机会！！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
33'特维斯任意球搓传到禁区，第一点被后卫解围！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
34'拉维奇拿球反击，回防的徐骏敏放铲犯规！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
34'徐骏敏被主裁判出示了黄牌警告！！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
34'特维斯中圈拿球，被任航放倒在地！！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
35'莫雷诺前场中路拿球，分球右侧给瓜林                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
35'瓜林的斜传到禁区，第一点被丁海峰头球解围！                   33'第33分钟特维斯任意球被顶出，拉维奇拿球快攻，徐骏敏把阿根廷人放倒吃到黄牌
37'莫雷诺中场拿球，变向摆脱尹鸿博                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
37'尹鸿博身后再抢，踢翻了莫雷诺，犯规！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
38'莫雷诺受伤倒地，尹鸿博过来致歉                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
38'申花队员不满，向裁判示意，这个球应该是黄牌啊！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
38'特维斯前场背身拿球，转身被任航踢翻在地！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
38'特维斯拿球，身边至少三人围抢啊                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
38'申花获得前场中路，距离球门26米的任意球机会！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
39'特维斯一拨，瓜林一踩，特维斯跟进起脚再打                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
39'拉维奇上来堵枪眼，裁判鸣哨，违例！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
39'拉维奇被主裁判出示了黄牌警告！！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
40'申花换人：7号毛剑卿上，换下29号徐骏敏                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
40'特维斯任意球直接轰门，打高了一点点！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
40'张呈栋前场逼抢，身后撞翻了陶金，犯规！！                   37'第37分钟特维斯前场带球被放倒，申花获得26米外任意球机会
39'特维斯一拨，瓜林一踩，特维斯跟进起脚再打                   39'第39分钟申花用毛剑卿换下徐骏敏
39'拉维奇上来堵枪眼，裁判鸣哨，违例！！                   39'第39分钟申花用毛剑卿换下徐骏敏
39'拉维奇被主裁判出示了黄牌警告！！！                   39'第39分钟申花用毛剑卿换下徐骏敏
40'申花换人：7号毛剑卿上，换下29号徐骏敏                   39'第39分钟申花用毛剑卿换下徐骏敏
40'特维斯任意球直接轰门，打高了一点点！！                   39'第39分钟申花用毛剑卿换下徐骏敏
40'张呈栋前场逼抢，身后撞翻了陶金，犯规！！                   39'第39分钟申花用毛剑卿换下徐骏敏
41'特维斯前场争抢头球，任航的压人犯规！！                   39'第39分钟申花用毛剑卿换下徐骏敏
41'任航今天对特维斯照顾尤佳啊！！                   39'第39分钟申花用毛剑卿换下徐骏敏
42'申花中场失误，拉维奇抢断反击                   39'第39分钟申花用毛剑卿换下徐骏敏
42'王寿挺放铲，抬脚绊倒了拉维奇，犯规！！                   39'第39分钟申花用毛剑卿换下徐骏敏
42'王寿挺被主裁判出示了黄牌警告！！！                   39'第39分钟申花用毛剑卿换下徐骏敏
42'莫雷诺中圈拿球，回传栗鹏                   39'第39分钟申花用毛剑卿换下徐骏敏
41'特维斯前场争抢头球，任航的压人犯规！！                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
41'任航今天对特维斯照顾尤佳啊！！                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
42'申花中场失误，拉维奇抢断反击                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
42'王寿挺放铲，抬脚绊倒了拉维奇，犯规！！                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
42'王寿挺被主裁判出示了黄牌警告！！！                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
42'莫雷诺中圈拿球，回传栗鹏                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
43'栗鹏横传陶金，差点又是失误                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
43'陶金面对逼抢，赶紧回传李帅                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
43'李帅大脚将球解围出边线！！                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
43'赵明剑的右路强突，趟大了，球出边线！！                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
44'丁海峰后场拿球，回传杨程                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
44'杨程面对特维斯的逼抢，大脚长传到前场                   41'第41分钟王寿挺飞铲拉维奇吃到黄牌
47'慢镜回放显示，这球确实是角球！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
47'特维斯角球开出到禁区，第一点被解围                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
47'李云球右路拿球再传，毛剑卿前插越位在先！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
47'上半场比赛补时2分钟！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
47'已经进入最后的读秒阶段！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
47'申花右路的进攻，李运秋分球找瓜林                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
48'瓜林再找毛剑卿，裁判鸣哨                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
47'申花后场的过顶找特维斯                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
48'特维斯转身前插，被任航将球解围出边线                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
48'申花进球啦！！！3-2！！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
48'莫雷诺的进球！！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
49'曹赟定右路拿球，强突下底，传中到前点，特维斯抢点一蹭，球到中路，莫雷诺停球无人防守，调整后的左脚打门，打进！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
49'华夏幸福前场进攻，赢得左侧的任意球机会！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
49'4-2！！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
49'高准翼的头球建功！！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
50'拉维奇任意球搓传到前点，高准翼的头球后蹭，顶进远角！！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
50'这也太戏剧了啊！！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
50'申花刚刚进球，华夏幸福进球再次取得两球领先！                   47'第47分钟瓜林右路送球，曹赟定带球过掉一人后下底传中，前点特维斯和高准翼抢在一起双双倒地，皮球滚到中路的莫雷诺这里，哥伦比亚人虽然第一时间没射门，但他调整一下后再射，皮球飞入大门，3比2
53'赵明剑右路拿球，强突下底                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
53'底线内切，趟大了，球先出底线！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
53'瓜林中场拿球，分球右侧给曹赟定                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
54'曹赟定斜塞想给瓜林，被挡回！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
54'申花再次换人：11号吕征上，换下6号栗鹏！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
54'申花应该要调整阵型了，打三后卫！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
55'特维斯前场背身拿球，赵宇豪上抢犯规！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
55'申花获得前场中路的任意球机会！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
55'距离球门31米，特维斯和瓜林站在球前！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
55'瓜林的任意球直接轰门，打在人墙上折射，出了底线！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
55'裁判鸣哨，吹罚了华夏幸福人墙的手球违例！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
56'申花获得距离球门22米的任意球机会！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
56'大禁区弧左上角一点点！！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
56'特维斯的射程内啊！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
56'特维斯任意球直接轰门，放了高射炮！！！                   53'第53分钟申花用吕征换下栗鹏，王寿挺回撤打中卫
59'瓜林再给曹赟定，曹赟定的过顶长传打身后                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
59'毛剑卿前插拿球，回传莫雷诺                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
59'莫雷诺再给曹赟定，曹赟定的挑传，直接出了底线！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
60'尹鸿博大禁区弧顶拿球，陶金上抢犯规！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
60'华夏幸福获得大禁区弧顶的任意球机会！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
60'距离球门22米！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
61'埃尔纳内斯和拉维奇站在球前！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
61'埃尔纳内斯的右脚弧线球！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
61'球贴着右侧立柱，出了底线，质量很高啊！！                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
62'王林后场的过顶长传，可惜没有队友啊                   59'第59分钟陶金阻挡尹鸿博犯规，埃尔纳内斯任意球擦着右门柱而出
68'华夏幸福的进攻，尹鸿博禁区左侧起脚打门                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
68'太正，被李帅倒地没收！！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
68'莫雷诺前场拿球，斜传禁区右侧                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
69'毛剑卿让球到身前，变向内切                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
69'丁海峰转身卡位，将球拦截，出脚解围                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
69'华夏幸福的反击，赵明剑右路内切                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
70'赵明剑突破到禁区，小角度的外脚背打门，被李帅封堵！！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
70'申花的反击，曹赟定的打门，打偏！！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
70'申花再次换人：2号熊飞上，换下16号李运秋！！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
70'曹赟定右路拿球，强突下底传中，被丁海峰挡出底线！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
71'申花获得右侧角球机会，曹赟定主罚！！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
71'角球开出到后点，瓜林外围拿球                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
71'调整一下，拉弓射箭，打飞啦！！                   68'第68分钟特维斯送球太软被截断，主队从左路快攻，尹鸿博杀入禁区射门被李帅扑住
70'赵明剑突破到禁区，小角度的外脚背打门，被李帅封堵！！                   70'第70分钟熊飞换下李运秋
70'申花的反击，曹赟定的打门，打偏！！                   70'第70分钟熊飞换下李运秋
70'申花再次换人：2号熊飞上，换下16号李运秋！！                   70'第70分钟熊飞换下李运秋
70'曹赟定右路拿球，强突下底传中，被丁海峰挡出底线！                   70'第70分钟熊飞换下李运秋
71'申花获得右侧角球机会，曹赟定主罚！！                   70'第70分钟熊飞换下李运秋
71'角球开出到后点，瓜林外围拿球                   70'第70分钟熊飞换下李运秋
71'调整一下，拉弓射箭，打飞啦！！                   70'第70分钟熊飞换下李运秋
72'张呈栋前场右路拿球，等待队友上来接应                   70'第70分钟熊飞换下李运秋
72'张呈栋分球右侧找阿洛伊西奥，被断啦                   70'第70分钟熊飞换下李运秋
72'王寿挺抢断分球，失误，出了边线！！                   70'第70分钟熊飞换下李运秋
74'华夏幸福换人：30号李行上，换下21号阿洛伊西奥！！                   73'第73分钟换下李行换下阿洛依西奥
75'阿洛伊西奥下场，也是迎来球迷的热烈掌声！！                   73'第73分钟换下李行换下阿洛依西奥
75'拉维奇左路拿球，内切横传给李行                   73'第73分钟换下李行换下阿洛依西奥
75'李行再分左侧给尹鸿博                   73'第73分钟换下李行换下阿洛依西奥
75'尹鸿博分球中间拉维奇                   73'第73分钟换下李行换下阿洛依西奥
75'没机会，回传张呈栋                   73'第73分钟换下李行换下阿洛依西奥
76'张呈栋再给埃尔纳内斯，埃尔纳内斯分球左侧给拉维奇                   73'第73分钟换下李行换下阿洛依西奥
76'拉维奇强突禁区，左脚打门，打在边网上！！                   73'第73分钟换下李行换下阿洛依西奥
76'张呈栋再给埃尔纳内斯，埃尔纳内斯分球左侧给拉维奇                   76'第76分钟莫雷诺直接禁区外远射高出
76'拉维奇强突禁区，左脚打门，打在边网上！！                   76'第76分钟莫雷诺直接禁区外远射高出
77'毛剑卿前场中路拿球，分球右侧给曹赟定                   76'第76分钟莫雷诺直接禁区外远射高出
