11'果然，张野无法比赛，被肇俊哲换下！！                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
82'主裁判给桑科出示了黄牌！                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
83'桑科与丁海峰理论，用头对着头，丁海峰应声倒地！                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
84'从慢镜来看，丁海峰确实有表演的成份！桑科因此吃到了黄牌                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
84'任意球发到禁区内，肇俊哲头球顶门，皮球高出！                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
85'中场河南建业队得球大脚长传找马科斯，张鹭出击把球没收！                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
88'河南建业队换人：李昭楠上场，换下尹鸿博                   88'第88分钟，李昭楠替下尹鸿博
89'李志南接球，奥里斯上抢犯规，这个动作有些大                   88'第88分钟，李昭楠替下尹鸿博
89'李志南受伤倒在地上                   88'第88分钟，李昭楠替下尹鸿博
89'奥里斯上前示意李志南要快起来，并且想抱他起来！双方发生争执                   88'第88分钟，李昭楠替下尹鸿博
90'奥里斯上前有挑衅的动作！但主裁判并没有警告对方                   88'第88分钟，李昭楠替下尹鸿博
90'下半场比赛要补时 4 分钟                   88'第88分钟，李昭楠替下尹鸿博
90'马科斯左路接球，横带回传                   88'第88分钟，李昭楠替下尹鸿博
90'肖智左路长传，对方挡回来                   88'第88分钟，李昭楠替下尹鸿博
90'河南建业队再挑传前场，肖智接球，在对方逼抢下球出底线，辽宁宏运队门球                   88'第88分钟，李昭楠替下尹鸿博
91'辽宁宏运队大脚长传前场，被对方抢断下来                   88'第88分钟，李昭楠替下尹鸿博
91'马科斯中前场得球，看到张鹭站位靠前，一脚超远距离吊门！！张鹭打到球后偏出底线！                   88'第88分钟，李昭楠替下尹鸿博
91'河南建业队得到角球机会                   88'第88分钟，李昭楠替下尹鸿博
93'马科斯右路接球，突破到禁区一脚打门，被挡出底线，河南建业队再得角球机会！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
93'拉斐尔和马科斯都站在角球区附近！！就是打战术，拖时间！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
93'马科斯传球想打在对方身上再出界，但没能碰到对方                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
93'辽宁宏运队长传前场，河南建业队断球反击，奥里斯中场故意犯规啦！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
94'主裁判给奥里斯出示了黄牌，必须啊！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
94'辽宁宏运队长传球到前场，奥里斯外围远射偏出！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
94'这个球是打在队友身上出底线，给了角球！！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
95'角球发到前点，乱军中对方把球解围出来！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
95'全场比赛结束！河南建业队1-0战胜辽宁宏运队，取得了久违的胜利！！                   93'第93分钟，马科斯又觅得机会劲射，但再次被防守队员挡出
