7'皇家马德里球员C罗左侧很远处右脚射门,命中门柱横梁.给他传球的是摩德里奇.                   7'开场7分钟，C罗左侧距门27米处小角度抽出落叶球击中横梁上沿弹出
57'皇家社会C-马丁内斯受伤倒地,比赛暂停                   56'第56分钟，贝尔传球，C罗禁区左侧射门偏出远门柱，防守C罗的卡洛斯-马丁内斯受伤接受治疗
57'暂停结束,球员们重新开始比赛.                   56'第56分钟，贝尔传球，C罗禁区左侧射门偏出远门柱，防守C罗的卡洛斯-马丁内斯受伤接受治疗
58'祖鲁图萨为皇家社会赢得一个任意球.                   56'第56分钟，贝尔传球，C罗禁区左侧射门偏出远门柱，防守C罗的卡洛斯-马丁内斯受伤接受治疗
58'皇家马德里球员赫迪拉拼抢犯规,对手获得控球权.                   56'第56分钟，贝尔传球，C罗禁区左侧射门偏出远门柱，防守C罗的卡洛斯-马丁内斯受伤接受治疗
59'皇家社会换人,安索特吉上,C-马丁内斯因伤下场.                   56'第56分钟，贝尔传球，C罗禁区左侧射门偏出远门柱，防守C罗的卡洛斯-马丁内斯受伤接受治疗
61'进球啦！！！皇家社会球员格里斯曼大禁区中央左脚射门,球从右上角飞进球门,球进了! 皇家马德里 4-1 皇家社会.                   61'第61分钟，格列兹曼突入禁区面对迭戈-洛佩斯倒地，主裁判没有中断比赛，从慢镜来看，格列兹曼似乎是为躲避迭戈-洛佩斯而倒地
62'冈萨雷斯将球处理出底线,皇家马德里获得角球.                   61'第61分钟，格列兹曼突入禁区面对迭戈-洛佩斯倒地，主裁判没有中断比赛，从慢镜来看，格列兹曼似乎是为躲避迭戈-洛佩斯而倒地
63'皇家马德里球员瓦拉内手球犯规,对手获得球权.                   61'第61分钟，格列兹曼突入禁区面对迭戈-洛佩斯倒地，主裁判没有中断比赛，从慢镜来看，格列兹曼似乎是为躲避迭戈-洛佩斯而倒地
67'射门!!!皇家马德里球员摩德里奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是本泽马.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
67'皇家社会球员乔-安赫尔拼抢犯规,对手获得控球权.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
67'瓦拉内为皇家马德里在右路,赢得一个任意球.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
68'皇家社会球员贝尔加拉拼抢犯规,对手获得控球权.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
68'摩德里奇为皇家马德里在右路,赢得一个任意球.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
69'皇家马德里球员贝尔大禁区中央尝试,可惜皮球稍稍偏出了右球门.给他传球的是阿隆索.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
69'皇家社会球员格里斯曼大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是贝拉.                   67'第67分钟，摩德里奇远射太正被布拉沃得到
70'皇家马德里换人,伊利亚拉门迪换下阿隆索                   67'第67分钟，摩德里奇远射太正被布拉沃得到
77'皇家马德里换人,伊斯科换下赫迪拉                   77'C罗第77分钟完成帽子戏法，米克尔-冈萨雷斯阻挡摩德里奇，被黄牌警告，C罗左侧距门25米处任意球入近角，5比1，这是他第2次单场打进1个点球、1个任意球和1个运动战进球，上次是2010年主场对阵毕尔巴鄂
79'皇家社会球员贝拉拼抢犯规,对手获得控球权.                   77'C罗第77分钟完成帽子戏法，米克尔-冈萨雷斯阻挡摩德里奇，被黄牌警告，C罗左侧距门25米处任意球入近角，5比1，这是他第2次单场打进1个点球、1个任意球和1个运动战进球，上次是2010年主场对阵毕尔巴鄂
79'阿韦洛亚为皇家马德里赢得一个任意球.                   77'C罗第77分钟完成帽子戏法，米克尔-冈萨雷斯阻挡摩德里奇，被黄牌警告，C罗左侧距门25米处任意球入近角，5比1，这是他第2次单场打进1个点球、1个任意球和1个运动战进球，上次是2010年主场对阵毕尔巴鄂
85'皇家社会球员格里斯曼小禁区右侧尝试头球,可惜皮球稍稍高出球门.给他传球的是安索特吉.                   85'第85分钟，德拉贝拉突入禁区右侧距门12米处大力斜射被迭戈-洛佩斯横身封出远门柱
87'射门!!!皇家社会球员贝拉大禁区右侧右脚射门,被对方守门员横身扑出.                   85'第85分钟，德拉贝拉突入禁区右侧距门12米处大力斜射被迭戈-洛佩斯横身封出远门柱
87'洛佩兹将球处理出底线,皇家社会获得角球.                   85'第85分钟，德拉贝拉突入禁区右侧距门12米处大力斜射被迭戈-洛佩斯横身封出远门柱
88'皇家马德里球员莫拉塔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是C罗.                   85'第85分钟，德拉贝拉突入禁区右侧距门12米处大力斜射被迭戈-洛佩斯横身封出远门柱
