1'上半场比赛开始！                   1'双方第1分钟拼抢激烈
56'庞琼左路突进到禁区内传中，本特克高高跃起头球砸向球门                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
56'布拉沃将球封出，本特克补射打在后卫身上出底线                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
56'庞琼再传禁区内，本特克再次顶到球                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
56'门前混战，还是曼城解围                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
56'水晶宫气势如虹                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
57'庞琼左路沿底线切入，萨尼亚将球拦截出底线                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
57'庞琼的传中，奥塔门迪头球解围                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
57'这段时间水晶宫攻势很猛                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
58'吹的是阿圭罗的犯规，水晶宫右路的任意球                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
58'卡巴耶传中，奥塔门迪顶出                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
58'外围麦克阿瑟往左路分，给大了，庞琼没能追上                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
59'曼城获得一个左路的角球机会                   56'水晶宫第56分钟险些扳平，庞琼左路传中，本特克小禁区边缘头球攻门被布拉沃神勇救出，扎哈小禁区右侧补射被萨巴莱塔挡出
65'费尔南迪尼奥，对不起                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
65'庞琼控球，内切分左路                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
65'凯利横扫门前被萨尼亚解围                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
65'德布劳内与斯特林做二过一，                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
66'德布劳内下底传中，阿圭罗抢前点扫前被亨尼西倒地将球扑出！                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
66'反过来威克姆进球了！                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
66'扎哈右路得球传到中路，威克姆停球后身位压过了萨巴莱塔劲射破网！                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
67'主场球迷开始兴奋了                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
67'曼城换人，21号席尔瓦换下了9号诺利托                   65'第65分钟，德布劳内右路传中，阿圭罗前点小禁区边缘捅射被亨尼西勉强扑挡，丹恩门线前及时滑铲解围
83'斯特林右路的加速度，汤姆金斯将球解围出底线                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
83'德布劳内地滚球传中                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
83'球进了，亚亚图雷梅开二度！                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
84'德布劳内角球发出地滚球，前点席尔瓦一漏， 中路亚亚图雷近距离推射入网                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
84'萨尼亚长传上来，丹恩顶走                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
85'这回曼城应该不会再让煮熟的鸭子飞走吧                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
85'沃德长传，萨尼亚顶到第一点                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
85'亚亚图雷右路来了，扣球过人，回做                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
85'席尔瓦再打斯特林                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
86'曼城换人，6号费尔南多换下10号阿圭罗！                   83'曼城第83分钟再次超出，德布劳内开出角球，席尔瓦抢前点错过皮球，亨尼西试图拦截前点落空，亚亚-图雷小禁区边缘推射空门入网，2-1
