7'科瓦契奇前场中路拿球，直塞给到阿森西奥                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
90'纳瓦斯后退中，将球拿到                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
90'下半场比赛补时3分钟！！                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
91'阿什拉夫前场右路拿球，传中被解围                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
91'巴斯克斯中场拿球，斜传打身后                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
91'本泽马胸部停球，停给了阿森西奥                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
91'阿什拉夫前场右路拿球，传中被解围                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
91'巴斯克斯中场拿球，斜传打身后                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
91'本泽马胸部停球，停给了阿森西奥                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
92'阿森西奥强突下底，横传门前                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
92'后点回来解围的纳瓦罗，差点送上乌龙                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
92'球擦着立柱出了底线，门球                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
92'不好意思，皇马角球。。                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
92'角球开出到前点，拉莫斯头球，被挡出                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
93'西班牙人进球了！！！                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
93'杰拉德-莫雷诺进球，绝杀皇马啊！！                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
94'杰拉德-莫雷诺前场中路拿球，分球右路给到加西亚，加西亚拿球调整一下，斜传禁区，杰拉德-莫雷诺插上，无人防守下的凌空抽射，打进球门右上角！                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
94'皇马中圈开球，裁判鸣哨                   91'第91分钟，阿森西奥禁区右侧下底传中，纳瓦罗远点解围险些自摆乌龙
