4'内马尔刚刚完成了一记头球攻门，没有顶上力量。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
11'巴萨继续进攻，球在内马尔脚下，传梅西的时候梅西没处理好，西班牙人球权。                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
11'资深球迷情 :桑切斯(23:10---被乐乐的陷阱骗了~~嘿嘿                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
12'巴萨继续控球组织进攻，哈维控球。                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
12'巴萨实在是太耐心了！                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
12'球找到了内马尔，给中路的梅西，被破坏了！                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
12'长传找皮齐，没控制好球，巴萨后场拿球。                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
13'大家注意西班牙人的门将叫 卡西利亚 不要看成了卡西利亚斯哟                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
13'球在哈维脚下，中路不停倒脚。                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
18'ASUKA_VS_飞鸟 :什么叫做梅西冲击空白？(23:16-----梅西在西班牙人主场从未有过运动战进球。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
18'起个网名很难啊 :乐乐你上夜班吗(23:14---是啊~~                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
18'西班牙人在左路控球，桑切斯。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
18'长传直接给了门将平托。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
18'[qiangda]西班牙人阵中哪一名球员曾效力于巴塞罗那？A西芒 B.桑切斯 C.皮齐 D.卡西利亚                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
18'看看巴萨反击！                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
19'阿尔维斯右路下底传中，内马尔打空门球没进啊！！                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
19'这个球传的很准，可惜内马尔没抓住得分的机会！                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
20'巴萨继续控球，西班牙人逼的很紧。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
20'布茨克斯带球的时候被撞倒了，后场定位球。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
20'哈维长传找内马尔，给的比较大，内马尔没追上。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
21'巴萨右路控球，球在中路。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
21'球被断了！西班牙人反击！                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
21'马斯切拉诺破坏了加西亚的突破。                   18'西班牙人第18分钟也险些破门，塞尔吉奥-加西亚传球，平齐10码处左脚射门高出
22'开场21分钟，双方节奏很快啊！                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
22'加西亚右边告诉突破！                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
22'加西亚右边高速突破！                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
22'斜传给皮齐，皮齐打飞了！可惜啊                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
23'西班牙人右边进攻，洛佩斯在禁区里倒地了！                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
23'马斯切拉诺也倒在地上。                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
24'看情况马斯切拉诺伤到了膝盖。                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
24'马斯切拉诺伤的不轻啊！                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
24'西班牙人进攻，球在左路。                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
25'长传到禁区直接出了底线，巴萨球门球。                   22'西班牙人第22分钟再次浪费机会，塞尔吉奥-加西亚妙传，平齐小禁区前的单刀射门同样高出
39'内马尔接梅西的传球打门！！！！                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
39'球稍稍偏出了！擦着后点立柱啊！                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
39' 今天状态确实一般。                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
40'西班牙人进攻，球在左路。                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
40'洛佩斯传中被挡出底线，西班牙人角球。                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
40'西班牙人队的身体、高度很有优势啊！看看角球！                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
40'球在前点被马斯切拉诺解围，西班牙人球权。                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
41'西班牙人获得了前场右路边线球。                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
41'加西亚逼出一个角球！                   39'第39分钟，阿尔巴传球，内马尔禁区左侧的小角度射门偏出远角
46'看看西班牙人这个定位球，比较远。                   45'第45分钟，科洛托传球，斯图亚尼远射偏出
46'克罗托头球摆渡想找队友，被皮克解围。                   45'第45分钟，科洛托传球，斯图亚尼远射偏出
47'好的，上半场的比赛结束了，双方战成0-0，稍微休息一下，我们继续看下半场的比赛！                   45'第45分钟，科洛托传球，斯图亚尼远射偏出
65'西班牙人右边拿到一个前场边线球。                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
65'球被皮克断了，可惜巴萨的推进失误了。                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
65'巴萨又断球了！梅西！                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
66'西班牙人高大壮的后卫西德尼解围了！                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
66'加西亚突破皮克的时候皮克卡位置球出了底线。                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
67'巴萨左边内马尔控球，还是选择回传。                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
67'西班牙人反击！2打3！                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
68'回防的阿尔维斯拉倒了加西亚，犯规了！                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
68'看看西班牙人的定位球。                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
68'定位球是西班牙人的武器！                   65'第65分钟，梅西传球，阿尔维斯禁区右侧的射门被封堵
71'西班牙人中场断球，还是找加西亚的时候被断了，巴萨反击。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
71'球到了内马尔脚下。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
71'又回给中路梅西，梅西分佩德罗的时候佩德罗没有想到。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
72'佩德罗在禁区被推倒了！裁判没有表示！                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
72'裁判很谨慎啊！                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
72'巴萨在后场控球，西班牙人逼抢断球了。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
73'整个场面来看反而西班牙人更加有利一些！                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
73'总是能在中场把巴萨的球断下来。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
73'西班牙人反击，速度比较慢。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
74'斯图亚尼在禁区里自己蹚大了，出了底线。                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
74'巴萨在后场倒脚要小心啊！西班牙人逼的很紧！                   71'第71分钟，法布雷加斯和梅西在禁区内的射门相继被封堵，佩德罗的射门被卡西利亚救下
74'斯图亚尼在禁区里自己蹚大了，出了底线。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
74'巴萨在后场倒脚要小心啊！西班牙人逼的很紧！                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
75'梅西也是一脸无奈啊！突破总是被断！对方身材比较高大。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
75'巴萨传球失误，西班牙人反击。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
75'远端的富恩特斯接球犹豫了，皮克断球。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
76'巴萨拿球反击，在中场稳稳拿球。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
76'内马尔今天没什么好机会啊。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
76'梅西突破分给内马尔，失误了。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
77'这边西班牙人断球以后自己的传球也很乱。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
77'巴萨后场边线球。                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
77'哈维找内马尔又被断了！                   74'第74分钟，皮克角球混战中的头球攻门打中横梁
80'今天西班牙人的高位防守完全限制住了巴萨啊，再加上身体的优势。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
80'内马尔一拿球3人围抢他。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
80'梅西跟阿尔维斯打2过1，阿尔维斯打门被西德尼干扰了，没打好。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
81'西班牙人队换人了！皮齐被阿莱士换下。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
82'内马尔防守的时候动作有点大，狠狠的撞了一下洛佩斯，被裁判口头警告。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
82'巴萨断球反击！                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
82'佩德罗要了一个角球。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
83'角球开出到前点，哈维抢到了，可惜被卡西利亚直接抱住。                   80'第80分钟，哈维传球，内马尔禁区右侧的射门被卡西利亚扑出
83'角球开出到前点，哈维抢到了，可惜被卡西利亚直接抱住。                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
84'哈维在前场带球也是频频被断啊。                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
84'西班牙人的防守确实太凶了。                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
84'巴萨现在也只能不停倒脚，没什么好的机会。                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
85'前场内马尔、梅西、哈维一拿球就被围抢                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
85'西班牙人反击，西芒！                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
85'皮克直接卡身位断球了，                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
85'伊涅斯塔要上场了！                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
86'巴萨反击！                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
86'内马尔在左路传中被克罗托封出底线。                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
86'克罗托身材高大！                   83'第83分钟，伊涅斯塔直传，梅西禁区前的射门被封堵
89'梅西禁区里要了一个角球。                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
89'哈维角球开到中路！！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
89'皮克的垫射打中了横梁！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
90'皮克面对空门的垫射打高了！可惜啊！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
90'黄黑之爱 :马蒂诺还不换？？？(00:30---马蒂诺没有要换的意思啊....                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
90'手球了！这边哈维-洛佩斯手球！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
91'阿尔维斯长传找内马尔的时候，洛佩斯手球了！裁判判罚了点球！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
91'梅西来主罚点球！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
91'看看梅西主罚的点球怎么样。                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
92'梅西点球打中路，命中！                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
92'梅西依旧没有打进运动战进球啊！又收获一粒点球。                   89'第89分钟，梅西传球，桑切斯禁区右侧小角度射门被哈维-洛佩斯用腿救下
92'梅西点球打中路，命中！                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
92'梅西依旧没有打进运动战进球啊！又收获一粒点球。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
93'西班牙人又换人了，科尔多巴换下了西芒。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
93'20岁的小将科尔多巴。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
94'加西亚抬脚过高，巴萨球权。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
94'科尔多巴给了加西亚，再找科尔多巴被平托没收。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
94'内马尔到了右边路！                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
94'伊涅斯塔在左边。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
95'内马尔右脚打门有一个反弹被卡西利亚托出，角球。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
95'阿尔维斯动作也比较大啊，双方火药味很浓。                   92'第92分钟，阿尔维斯传球，桑切斯禁区右侧的射门又被哈维-洛佩斯扑出
