2'力帆中场拿球给到左路                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'禁区外围，力帆重新拿到球权                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'国安队开场后有些被动                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
7'拉尔夫后场防守延缓对方进攻                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
8'力帆中场传导                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
8'大范围转移给到费尔南多                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
9'费尔南多利用速度突破                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
9'底线的附近国安队先破坏                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
9'角球送禁区内                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
9'双方乱战后被杨智在门线上按住                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
9'国安队右路推进被破坏出边线                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
10'吴庆这边反抢犯规                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
10'奥古斯托中路突破被断                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
10'国安队很快将球反抢                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
10'奥古斯托送直塞                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
10'队友没有意识到                   7'第7分钟，国安阵型前压形成首次中前场连续传递，但赵和靖在中场等待徐云龙拿球时出现失误，费尔南多前插拼抢时赵和靖拦截犯规，领到黄牌
13'国安队右路下底到禁区后点                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
14'张稀哲头球摆渡下来                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
14'克莱伯得球后将球给到位置更好的宋博轩                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
14'宋博轩接球不做调整直接打门                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
14'球是打在了边网上！！！                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
14'张稀哲中场大范围转移                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
14'这球给到了队友的身后                   12'第12分钟，张呈栋右路传中策动攻势，张稀哲与克莱伯在禁区内连续向右侧摆渡，宋博轩小角度攻门打偏在边网上
18'克里梅茨这边摔倒在禁区内                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
18'一直倒地不起                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
18'慢镜头回放，克里梅茨争抢位置的时候被米洛维奇肘击了一下                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
18'是一个击打动作                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
19'张呈栋中场争抢头球的时候被侵犯                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
19'国安队左路进攻被断                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
19'力帆这边反击的速度没有打出来                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
19'长传直接打到边路                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
19'张呈栋收到自己的位置                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
19'拉尔夫协防将球抢断                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
20'国安队右路传球送禁区                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
20'后点先被对方先破坏                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
21'国安队这边获得角球机会                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
21'角球送中路                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
21'禁区内，克莱伯跟对方有身体接触                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
21'克莱伯被吹了进攻犯规                   18'第18分钟，力帆角球攻势中米洛维奇对克里梅茨使出手肘小动作，克里梅茨一时倒地不起
28'国安队这边将换上张池明                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
28'也是面对旧主                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
28'力帆左路进攻没有威胁                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
28'国安队换人，宋博轩下，张池明上！                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
30'赵和靖中场拿球一扣                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
30'费尔南多上抢踢到脚了                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
30'费尔南多得到一张黄牌！                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
30'国安队前场断球                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
30'张池明拿球被侵犯                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
31'张池明右路起球送禁区                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
31'刘宇头球顶了出来                   28'第28分钟，国安被迫换人：宋博轩因腿部拉伤退赛，张池明登场反戈旧主
33'力帆前场获得任意球                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
33'直接打到了禁区内                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
34'吉吉利奥蒂头槌攻门，球弹地后被杨智扑出！！                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
34'力帆的角球机会                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
34'角球给到后点                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
34'国安队这边拿到第一点                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
34'彭欣力边路进攻先手球了                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
35'克里梅茨中场对吉利奥蒂犯规                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
35'力帆右路起球送禁区                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
35'杨智将球得到                   33'连获任意球的力帆在第33分钟形成威胁攻势：王栋将球传入禁区，吉利奥蒂头球攻门被杨智扑出底线
48'张稀哲左路起球送禁区                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
48'前点被力帆球员顶出                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
48'禁区外围，赵和靖突施冷剑                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
48'邓小飞将球得到                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
48'国安队换人，克莱伯下，张晓彬上！                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
49'力帆这边获得角球机会                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
49'角球送后点                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
49'禁区内，双方都没有顶到                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
50'彭欣力前场边路放倒了张池明                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
50'这球裁判也是赶快跑向事发地点                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
50'彭欣力这边身上有一张黄牌啊                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
50'裁判这边也是手下留情了                   48'3分钟后费尔南多右翼内切连续摆脱赵和靖与徐云龙，禁区前攻门时打偏
41'奥古斯托推射被人墙挡了下来                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
41'跟进奥古斯托再补，击中了立柱！！                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
43'国安队中场断球下来                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
43'张稀哲直接长传打到前场                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
43'边路起球被后卫挡出底线                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
44'角球打了一个战术                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
44'右路起球送禁区                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
44'乱战中被力帆解围                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
44'上半场比赛已经临近尾声了                   41'第41分钟，国安形成威胁攻势：朴成内切赢得禁区弧前任意球，奥古斯托攻门被人墙挡下，皮球弹回后奥古斯托再射击中立柱
48'张稀哲左路起球送禁区                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
48'前点被力帆球员顶出                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
48'禁区外围，赵和靖突施冷剑                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
48'邓小飞将球得到                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
48'国安队换人，克莱伯下，张晓彬上！                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
49'力帆这边获得角球机会                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
49'角球送后点                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
49'禁区内，双方都没有顶到                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
50'彭欣力前场边路放倒了张池明                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
50'这球裁判也是赶快跑向事发地点                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
50'彭欣力这边身上有一张黄牌啊                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
50'裁判这边也是手下留情了                   48'第48分钟，张稀哲左路传中被郑又荣顶出，赵和靖上抢断球后快速劲射，注意力很集中的邓小飞将球挡下
50'彭欣力前场边路放倒了张池明                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
50'这球裁判也是赶快跑向事发地点                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
50'彭欣力这边身上有一张黄牌啊                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
50'裁判这边也是手下留情了                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
53'力帆这边获得角球机会                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
53'角球送中路                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
53'力帆这边抢到点了                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
53'但二点被克里梅茨解围                   50'第50分钟，彭欣力前场犯规放倒张池明，林君本有出示黄牌的趋势，但似乎因意识到彭欣力有黄牌在身，改为了口头警告，国安球员非常不满
61'丁捷这边得到一张黄牌！                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
61'丁捷侧向的滑铲带倒了朴成                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
62'张池明右路分球被对方破坏                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
62'国安队的角球机会                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
62'角球送中路                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
62'米洛维奇将球解围出来                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
63'拉尔夫这边争抢受伤                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
63'队医也是进场进行查看                   61'第61分钟，丁捷贴地滑铲但身体带倒朴成，主裁向丁捷出示黄牌，力帆将帅表示了抗议
70'张池明边路拿球                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
70'朴成禁区内抽射远角                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
71'这球没有压住！！                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
71'力帆长传球打过顶                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
71'费尔南多的打门被赵和靖挡出底线                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
71'费尔南多角球开出                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
72'前点被奥古斯托顶了出来                   70'国安在第70分钟形成威胁攻势：张稀哲一脚触球助朴成在右翼斜插，朴成禁区内攻门打高
78'重庆力帆换人，吴庆下，刘卫东上！                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
79'国安队长传打到前场                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
79'张池明拿球后到了禁区里                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
79'小角度打门被邓小飞没收                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'国安队大范围转移                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'朴成拿球还是给到右路                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'禁区弧顶，国安队传球被断                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'范围的反击机会                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'费尔南多右路带球被徐云龙撞倒                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'裁判这球没有吹罚                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
81'0-1！！！！！                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
81'张晓彬！！！                   78'第78分钟，张呈栋右路传中后国安在禁区内形成头球接力，张池明头球顶高
80'国安队大范围转移                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
80'朴成拿球还是给到右路                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
80'禁区弧顶，国安队传球被断                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
80'范围的反击机会                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
80'费尔南多右路带球被徐云龙撞倒                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
80'裁判这球没有吹罚                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
81'0-1！！！！！                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
81'张晓彬！！！                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
82'.国安队前场拿球做小范围配合，张晓彬得球后横向带球，禁区外围势大力沉的远射攻破了邓小飞的十指关！！                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
83'接下来的时间对双方来说都是一个考验                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
83'1-1！！！                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
83'刘宇！！！！                   80'第80分钟，费尔南多中场断球后展开奔袭，禁区前与徐云龙相撞倒地，裁判没有理会令力帆阵营非常不满，林君用身体做出了合理冲撞的解释
83'接下来的时间对双方来说都是一个考验                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
83'1-1！！！                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
83'刘宇！！！！                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
84'力帆前场任意球给到禁区内，杨智出击没有拿到，刘宇后点将球顶入球网！！                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
85'国安队前场拿球控一下                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
85'挑传往禁区里送                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
85'队友这边没有去跑                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
86'费尔南多右路拿球连续变线                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
86'边路的传中被杨智得到                   83'力帆在第83分钟扳平比分：刘宇右路内切制造徐云龙犯规，徐云龙对判罚非常不满；王栋将任意球传至小禁区线前，攻防球员多人抢位中杨智出击未能触到皮球，刘宇头球攻破空门
93'力帆挑传送禁区                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'底线没有传出来                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'左路力帆再传                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'维埃拉跟进头球被干扰                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'没有顶上力量                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'杨智在门线上将球拿到                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'国安队大范围转移                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
93'中路，张稀哲拿球给到朴成                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
94'国安队右路起球送禁区                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
94'第一点被郑又荣顶出来                   93'第93分钟，王栋左路传中险些引出绝杀机会，替补出场的维埃拉头球未顶上力量，杨智将球没收
