8'曼联球员鲁尼大禁区外右脚射门,被防守球员封堵.给他传球的是香川真司.                   8'第8分钟，香川真司禁区左侧回传，鲁尼禁区弧内射门被斯帕西奇封堵挡出
43'曼联球员鲁尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   43'第43分钟，多纳蒂禁区前对范佩西犯规，鲁尼左路30码处任意球直接射门稍稍偏出近角
44'曼联球员香川真司大禁区左侧右脚射门,被防守球员封堵.给他传球的是瓦伦西亚.                   43'第43分钟，多纳蒂禁区前对范佩西犯规，鲁尼左路30码处任意球直接射门稍稍偏出近角
44'埃姆雷-詹将球处理出底线,曼联获得角球.                   43'第43分钟，多纳蒂禁区前对范佩西犯规，鲁尼左路30码处任意球直接射门稍稍偏出近角
45'曼联球员范佩西大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   43'第43分钟，多纳蒂禁区前对范佩西犯规，鲁尼左路30码处任意球直接射门稍稍偏出近角
45'+1'上半场结束,曼联 1-0 勒沃库森,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，多纳蒂禁区前对范佩西犯规，鲁尼左路30码处任意球直接射门稍稍偏出近角
45'曼联球员范佩西大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   45'第45分钟，范佩西10码处勉强打门偏出
45'+1'上半场结束,曼联 1-0 勒沃库森,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，范佩西10码处勉强打门偏出
49'多纳蒂为勒沃库森赢得一个任意球.                   46'曼联1分钟后错失扩大比分良机，斯帕西奇滑倒被鲁尼抢断，鲁尼晃过莱诺后禁区左侧小角度传射空门滑门而出，中路无人防守的范佩西也未能跟上皮球
49'曼联球员埃弗拉拼抢犯规,对手获得控球权.                   46'曼联1分钟后错失扩大比分良机，斯帕西奇滑倒被鲁尼抢断，鲁尼晃过莱诺后禁区左侧小角度传射空门滑门而出，中路无人防守的范佩西也未能跟上皮球
57'勒沃库森球员萨姆大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是基斯林.                   57'第57分钟，基斯林传球，萨姆禁区前射门偏出
58'托普拉克将球处理出底线,曼联获得角球.                   57'第57分钟，基斯林传球，萨姆禁区前射门偏出
59'进球啦！！！曼联球员范佩西大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是瓦伦西亚. 曼联 2-1 勒沃库森.                   57'第57分钟，基斯林传球，萨姆禁区前射门偏出
67'曼联球员鲁尼大禁区外右脚射门,被防守球员封堵.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
68'曼联球员瓦伦西亚大禁区外右脚射门,被防守球员封堵.给他传球的是鲁尼.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
68'伯尼施将球处理出底线,曼联获得角球.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
69'萨姆为勒沃库森赢得一个任意球.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
69'曼联球员香川真司拼抢犯规,对手获得控球权.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
69'射门!!!勒沃库森球员拉斯-本德大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是基斯林.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
70'进球啦！！！曼联球员鲁尼大禁区左侧右脚射门,球从左下角飞进球门,球进了! 曼联 3-1 勒沃库森.                   67'第67分钟，鲁尼24码处任意球直接射门被人墙挡出
70'进球啦！！！曼联球员鲁尼大禁区左侧右脚射门,球从左下角飞进球门,球进了! 曼联 3-1 勒沃库森.                   70'曼联第70分钟拉开差距，德赫亚长传，斯帕西奇头球解围失误，鲁尼禁区左侧12码处射近角入网，3-1
71'曼联换人,阿什利-扬换下香川真司                   70'曼联第70分钟拉开差距，德赫亚长传，斯帕西奇头球解围失误，鲁尼禁区左侧12码处射近角入网，3-1
73'曼联球员卡里克一脚直塞球给瓦伦西亚,但是边裁举旗显示后者已经越位.                   70'曼联第70分钟拉开差距，德赫亚长传，斯帕西奇头球解围失误，鲁尼禁区左侧12码处射近角入网，3-1
76'射门!!!勒沃库森球员萨姆大禁区外左脚射门,被对方守门员横身扑出.                   76'第76分钟，范佩西禁区前犯规，萨姆30码处任意球直接射门被德赫亚没收
78'勒沃库森换人,克鲁斯换下萨姆                   76'第76分钟，范佩西禁区前犯规，萨姆30码处任意球直接射门被德赫亚没收
78'勒沃库森换人,德尔迪约克换下基斯林                   76'第76分钟，范佩西禁区前犯规，萨姆30码处任意球直接射门被德赫亚没收
79'进球啦！！！曼联球员瓦伦西亚大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是鲁尼. 曼联 4-1 勒沃库森.                   76'第76分钟，范佩西禁区前犯规，萨姆30码处任意球直接射门被德赫亚没收
80'曼联换人,克莱维利换下费莱尼                   80'第80分钟，克莱维利换下费莱尼
82'斯帕希奇将球处理出底线,曼联获得角球.                   80'第80分钟，克莱维利换下费莱尼
82'曼联球员瓦伦西亚大禁区外右脚射门,被防守球员封堵.                   80'第80分钟，克莱维利换下费莱尼
82'拉斯-本德将球处理出底线,曼联获得角球.                   80'第80分钟，克莱维利换下费莱尼
83'射门!!!曼联球员鲁尼大禁区左侧头球,被对方守门员横身扑出.给他传球的是埃弗拉.                   80'第80分钟，克莱维利换下费莱尼
88'勒沃库森球员雷纳茨球门线跟前头球,命中门柱横梁.给他传球的是埃姆雷-詹.                   88'勒沃库森第88分钟扳回一城，埃姆雷-詹开出角球，赖纳茨近距离头球攻门打中横梁，托普拉克近距离补射入网，2-4
88'进球啦！！！勒沃库森球员托普拉克球门线跟前左脚射门,球从中路偏上飞进球门,球进了! 曼联 4-2 勒沃库森.                   88'勒沃库森第88分钟扳回一城，埃姆雷-詹开出角球，赖纳茨近距离头球攻门打中横梁，托普拉克近距离补射入网，2-4
89'曼联球员范佩西球门线跟前尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是瓦伦西亚.                   88'勒沃库森第88分钟扳回一城，埃姆雷-詹开出角球，赖纳茨近距离头球攻门打中横梁，托普拉克近距离补射入网，2-4
90'+1'勒沃库森球员埃姆雷-詹大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是雷纳茨.                   88'勒沃库森第88分钟扳回一城，埃姆雷-詹开出角球，赖纳茨近距离头球攻门打中横梁，托普拉克近距离补射入网，2-4
90'+4'下半场结束,曼联 4-2 勒沃库森                   88'勒沃库森第88分钟扳回一城，埃姆雷-詹开出角球，赖纳茨近距离头球攻门打中横梁，托普拉克近距离补射入网，2-4
