6'徐亮开到中路被解围了，绿地申花球权。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
21'这边李文博拦截的时候手球了，建业前场左路定位球，这个位置可以射门啊！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
21'收買爛嘢- :乐乐我爱你！(20:04)---真情表白！感动！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
22'看看这个定位球！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
22'黄希扬打近脚！质量很高啊！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
22'身高1.91米的耿晓峰扑出！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
26'约翰逊在进攻的时候踢到了李文博，犯规了。                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
27'双方都还没有打出很有威胁的进攻啊                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
27'建业左边路界外球，曹秉局后场长传找路易斯，拿到了边线球。                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
27'边线球又打回到了后场，节奏比较慢啊。                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
28'禁区里路易斯抢在门将周亚君触球之前碰到了皮球，双方都倒地了，有点争议啊！                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
28'裁判没有给出点球判罚，球门球。                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
29'曹赟定自己带球失误了，建业球权。                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
29'球在右路，马科斯！                   26'第26分钟高迪右路传中时滑倒，皮球依然向球门方向滚去，绿地申花前锋路易斯和河南门将周亚君同时上前抢球，两人相撞后路易斯倒地，主裁夏军判球门球，绿地申花这侧表示不满
35'比赛进行到上半时34分钟，比分0-0                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
35'双方现在很僵持，上半时比赛剩下10分钟，也是进球发生的高峰期，看看谁能打破僵局！                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
36'公布答案啦！答案是B.2，高迪截止本场之前打进2球，你答对了吗？                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
36'稍后乐乐将抽出幸运会员！                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
36'建业左边路进攻，李文博对李磊犯规了，定位球。                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
37'这边李磊完成一脚射门，打的太正了，                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
37'球权还在建业这边，左边马科斯没有突破成功，被解围了。                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
37'绿地申花防守反击，高迪！                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
38'高迪转移到了左边曹赟定，被断了，。                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
38'建业反击，左边马科斯！                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
38'马科斯传中到后点，约翰逊抢到了第一点，头球高出了球门！                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
38'绿地申花后场拿球，组织。                   35'看到绿地申花进攻没什么大威胁，河南队大胆整体压上，第35分钟买提江禁区外射门被耿晓峰接住，第37分钟马科斯左路传中，约翰逊力压柏佳骏头球稍稍高出
61'好的，下半时比赛开始了！                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
61'莫雷诺在前场被断球了                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
61'莫雷诺反抢的时候犯规了。                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
62'下半时一开始双方很积极！                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
62'建业反击了！左边！                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
62'约翰逊突破的时候被曹秉局断了。                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
62'黄希扬中路反抢成功，中路控制皮球。                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
62'虹口体育场也是下起了小雨！                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
63'抢答又来啦！！！                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
63'[qiangda]上海绿地申花外援路易斯来自哪个国家？A.哥伦比亚 B.美国 C.阿根廷 D.巴西                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
63'绿地申花右边起球，后点曹赟定传中被李磊解围。                   60'下半场头15分钟，绿地申花方面只有莫雷诺和王寿挺两脚不着边际的远射
69'中场莫雷诺断球了，给回到后场。                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
70'建业前场逼的很凶！绿地申花后卫慌乱了！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
70'约翰逊犯规了。                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
70'这个时候绿地申花用菲拉斯换下了路易斯！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
70'恭喜以下用户获得直播室会员资格: 郭彦莹-不明觉厉                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
70'答案是A哥伦比亚！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
71'建业反击了，速度很快！黄希扬！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
71'黄希扬的射门没能形成威胁啊！建业还是要做出调整才行！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
72'黄希扬找左边的马科斯，球给大了。                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
72'刚上场的菲拉斯很积极！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
72'河南建业做出调整了！徐洋、拉斐尔上场！                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
72'换下了黄希扬、约翰逊。                   69'第69分钟河南队险些得分，绿地申花角球开出后被破坏，河南队大脚开到前场，尹鸿博形成单刀之势冲入禁区，但他速度稍慢，被绿地申花后卫追上
72'黄希扬找左边的马科斯，球给大了。                   72'第72分钟买提江拦截莫雷诺吃到黄牌
72'刚上场的菲拉斯很积极！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
72'河南建业做出调整了！徐洋、拉斐尔上场！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
72'换下了黄希扬、约翰逊。                   72'第72分钟买提江拦截莫雷诺吃到黄牌
73'马科斯在突破到禁区被柏佳俊破坏出边线了。                   72'第72分钟买提江拦截莫雷诺吃到黄牌
73'边线球直接扔到禁区里，被绿地申花解围了。                   72'第72分钟买提江拦截莫雷诺吃到黄牌
74'绿地申花左边反击曹赟定传中，周亚君单拳出击！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
74'中爱建业 :黄14下了，建业不要中场了吗。(21:00----黄希扬今天在中场也没有很好的发挥！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
75'建业前场失误了！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
75'长传找到右边的莫雷诺！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
75'高迪接球传中被断了，建业的后防线不是很默契！                   72'第72分钟买提江拦截莫雷诺吃到黄牌
78'建业右边边线球。                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
78'建业的反击初见成效，菲拉斯很活跃！                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
79'格瑞特2006 :肖智今天表现咋样？(21:04---上半时不错，插上几次传中，下半时主要还是在防守，表现平平吧。                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
79'建业反击了！马科斯在左边路！                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
80'耿晓峰手抛球直接扔到前场！大力啊！                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
80'绿地申花失误了，建业球权。                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
81'这边尹鸿博一脚吊门没能形成威胁。球权到了绿地申花这边！                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
81'大家真想让我失业！以后大家看不到乐乐就后悔了！                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
81'建业禁区前拉斐尔的射门！！                   78'第78分钟莫雷诺单刀之势扑向禁区，但他带球跑得过慢，被桑科解围成功
84'绿地申花左边路菲拉斯和曹赟定传控。                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
84'徐亮的传中直接到了另一边，有点离谱。                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
84'绿地申花获得了右路的角球！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
85'角球开到中路被解围了！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
85'建业的反击！！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
85'2打1！！！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
86'哎哟，最后一脚马科斯面对空门打飞了！！！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
86'尹鸿博横传马科斯，马科斯面对耿晓峰的出击打偏了！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
86'比赛打到了70分钟，比分0-0                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
86'绿地申花的反击也打不起来，总是在倒脚。                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
87'禁区里菲拉斯拿球！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
87'回传高迪的打门被解围了！双方现在很积极！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
87'双方的体力都有一定的问题了，但是还是想争胜！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
87'相识何须相逢 :我这停电了！(21:13)---没事，有乐乐在！                   84'第84分钟绿地申花右路长传，冲上来的安德列头球回摆，哈蒂布侧身怒射打偏
89'球到右边，没机会，又回传了！揪心啊！                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
89'菲拉斯的突破被断了，建业反击，马科斯打到了左边路。                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
89'左边起球被柏佳俊解围出底线，建业角球！                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
90'恋叶风 :建业进攻要再坚决一点啊，(21:15+--是啊，现在有点拖泥带水。                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
90'买提江开出角球直接被摘下！                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
91'绿地申花反击，左边找曹赟定没跟上，建业球门球。                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
91'大家快来预测一下，今天会不会出现绝杀！                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
91'建业在前场控球寻找机会。                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
92'买提江把球回传给了周亚君，长传到了前场。                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
92'徐亮断球了，绿地申花的球权，                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
92'球到了右边莫雷诺脚下。                   89'第89分钟李文博右路下底传中，祝一帆用手拦了一下，裁判没有表示，哈蒂布抢先近乎零角度攻门，球中门柱弹出后碰后卫身体弹出界外
91'绿地申花反击，左边找曹赟定没跟上，建业球门球。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
91'大家快来预测一下，今天会不会出现绝杀！                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
91'建业在前场控球寻找机会。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
92'买提江把球回传给了周亚君，长传到了前场。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
92'徐亮断球了，绿地申花的球权，                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
92'球到了右边莫雷诺脚下。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
93'莫雷诺直塞找高迪，高迪右脚打门被挡出底线！角球！                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
93'角球开出，菲拉斯控球。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
93'曹秉局被能接住曹赟定的传球啊！可惜了。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
93'建业在后场倒脚，开到了前场。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
94'马科斯在右路！                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
94'建业的射门没形成威胁，耿晓峰没收皮球。                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
94'莫雷诺有一个单刀的机会！速度太慢了！被桑科破坏                   91'比赛进入到补时阶段，第91分钟绿地申花获得任意球机会，徐亮约35米外直接起脚远射，又是周亚君，奋力飞扑把球拍了出去
