1'比赛开始了，天津亿利率先开球                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
23'国安重新组织进攻，过顶的长传，奥古斯托左侧前插越位                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
23'杜佳后场把球开起来                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
23'大脚转移到前场，中圈附近，球是被国安得到，右侧交给晋鹏翔                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
23'在回敲给雷腾龙，分到左侧克里梅茨脚下                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
23'观察一下，向前直塞给拉尔夫                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
29'短传身前找到迪亚涅，做轴，在过渡到左侧                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
29'惠家康左侧得球，斜45度搓起来                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
29'禁区内先被防守队员挡出底线                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
29'右侧角球机会                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
29'场上有人受伤，是于洋，不过问题不大                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
29'右侧角球开起来                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
30'送入禁区中央，争顶中米克尔犯规了                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
30'国安门球开起来                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
30'中圈左侧拼抢，买提江背身拿球，于洋从身后连人带球一起扫倒                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
30'于洋吃到了黄牌                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
30'天津前场右侧定位球                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
31'弧线球开起来，吊入禁区，被挡出，外围买提江拼抢手球犯规了                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
31'国安后场交给雷腾龙，观察一下，过顶的长传                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
31'送到前场右侧，拼抢中巴顿把球拿到                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
31'横向的转移，左侧于洋得球，在来斜传                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
31'远端直接飞出右侧底线了                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
32'双方上半场踢的着实比较闷，不是各种大脚，就是各种犯规                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
32'杜佳大脚开起来                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
32'中圈附近，迪亚涅右侧把球拿到                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
32'迪亚涅埋头向前，被断                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
32'米克尔过来帮忙，清理出边线                   29'第29分钟，亿利获得角球机会，角球开出前于洋突然倒地，国安球员向裁判示意迪亚涅有肘击动作，裁判对迪亚涅稍作警告后示意于洋起身
34'右侧的拼抢，球被邱添一解围出去                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
34'边路的争抢，惠家康正面的凶狠铲抢，直接踢翻晋鹏翔犯规                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
34'前场右侧定位球，开起来，一个斜传到左路                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
34'奥古斯托拿球，回敲身后                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
34'中路克里梅茨拿球，直塞给到禁区前沿                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
34'邱添一把球挡出                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
35'雷腾龙跟上在拿球，右侧分边晋鹏翔                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
35'斜45度再起来，禁区内来到左肋                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
35'强行的突破下底，杨立瑜把球挡出底线                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
35'战术角球，奥古斯托挑入禁区                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
35'被挡出来                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
36'禁区外围拼抢吕鹏拿球被对方侵犯倒地                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
36'禁区外左侧定位球机会，奥古斯托主罚                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
36'开起来送入小禁区前沿，门前晋鹏翔反越位前插，背身头球一甩，偏出底线                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
37'杜佳大脚开出来                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
37'中圈的争顶，国安把球拦截                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
37'中路晋鹏翔拿球推进，赵宏略凶狠的犯规                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
37'右翼的滑铲，直接干倒对手，吃到黄牌                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
37'铲翻的是姜涛                   34'第34分钟，奥古斯托下底传中，晋鹏翔的包抄被邱添一挡出，拉尔夫禁区内似传似射又被封堵
