1'裁判一声哨响，比赛开始                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
51'阿森纳后场将球控制下来                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
51'穆斯塔菲送出长传球                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
51'危险                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
52'越位了                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
52'哈德这边要换人了                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
53'继续看比赛                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
53'扎卡的传球被挡出了边线                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
83'前场还是阿森纳的进攻                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
83'这边进球了！！！！！！！！！                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'倒勾进球呀！！！                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'稳住了这球                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'是奥巴梅杨的传球                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'我们看下慢镜头                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'阿森纳全队围在一起                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'不容易呀这球                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
84'外围传球禁区，奥巴梅杨拿球，勾一下球，然后传球中路，托雷拉直接倒勾，将球打进                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
85'这球最大功劳感觉还是奥巴梅杨，这个勾球太厉害了                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
85'技术完美                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
86'OK继续看比赛                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
86'哈德这边又吃到了黄牌呀，今天第九张                   83'阿森纳第83分钟打破僵局，贡多齐斜传，奥巴梅扬小禁区右侧传射被封堵，他在底线附近传中，无人防守的托雷拉小禁区边缘倒钩破门
