1'比赛开始了，曼城开球                   1'曼城第1分钟展开积极攻势
44'这样的话，曼城下半场就简单许多了，斯托克城必须攻出来                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
45'左侧何塞卢得球，传中进去，落点不错啊                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
45'门前乔哈特出击，双龙出海打出禁区                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
45'因布拉外围做给维兰，维兰直接拔脚怒射，高了                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
45'上半场到了尾声                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
45'上半场补时2分钟                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'双方中场争夺，阿瑙托维奇犯规了                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'曼城后场倒脚，想耗掉上半场最后的时间                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'奥塔门迪遭遇围抢，回给哈特                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'下半场开始了，斯托克城开球                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'左路进攻，何塞卢直塞禁区内                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'阿瑙托维奇没有追上，出了底线                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
46'曼城中路的组织，费尔南多交给席尔瓦                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
64'曼城再入一球，应该锁定胜局了                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
64'这次是小将伊赫纳乔                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
64'此时此刻值得来杯嘉士伯                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
65'右侧曼城发动进攻，纳瓦斯一脚直塞给到套上的萨巴莱塔，萨巴莱塔杀入禁区，横敲门前，伊赫纳乔舒服的推射轻松破网                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
65'阿圭罗被博尼替下，阿圭罗可以好好下去休息一下了                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
66'曼城右路再次打穿了斯托克城的防线                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
66'图雷突破到禁区边缘，阿瑙托维奇回防到位                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
67'图雷直趟，阿瑙托维奇挡住图雷，球出了底线                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
67'这个球有阻挡嫌疑，但是在禁区内，裁判肯定会谨慎                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
67'左路迪乌夫拿球突破了两个人的夹抢                   64'曼城第64分钟锁定胜局，萨巴莱塔突入禁区右侧回传，无人防守的伊赫纳乔10码处第一时间推射左下角入网，3-0
74'科拉罗夫主罚，到前点                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
74'第一点被穆涅萨解围                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
74'德尔夫外围在给奥塔门迪，顺势回给哈特                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
74'阿瑙托维奇在向教练席示意，自己受伤了                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
74'曼城再入一球，小将伊赫纳乔梅开二度                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
75'此时此刻值得来杯嘉士伯                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
76'德尔夫中场附近给到博尼，博尼转身一记斜塞给到快速插上的伊赫纳乔，沃尔沙伊德速度慢了，伊赫纳乔迅速形成单刀，过掉门将推射空门得手                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
76'查理亚当替下阿瑙托维奇                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
77'主裁玛德利把因布拉和科拉罗夫叫在一起，刚才两个人有点不愉快                   74'第74分钟，博尼传球，伊赫纳乔趟球摆脱斯托克城防线后又晃过门将打入空门，4-0
