1'埃弗顿率先开球                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
37'斯特林左路拿球，给德布劳内                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
47'阿圭罗左路拿球横带                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
48'给德布劳内，左路克里希插上                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
48'传中去后点，萨尼亚头球被门线上的戴维斯解围                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
48'上半场比赛结束！                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
47'卢卡库拿球直塞，被斯通斯拦截                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
47'埃弗顿又进球了！！                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
47'米拉拉斯！                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
47'曼城后场又失误，斯通斯铲截之后球到巴克利脚下，直塞，米拉拉斯推远角破门                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
48'埃弗顿2-0领先曼城                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
48'阿圭罗右路拿球，威廉姆斯顶防犯规了                   47'埃弗顿第47分钟扩大比分，亚亚-图雷中场丢球，卢卡库直传被斯通斯拦截，巴克利斜传，米拉拉斯禁区右肋12码处劲射远角入网，2-0
79'席尔瓦左路横敲，戴维斯断球                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
79'一条龙到前场，连续磕球过人                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
79'埃弗顿再入一球！                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
79'戴维斯！！！                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
80'戴维斯带球到禁区前，横敲，米拉拉斯反向再直塞回来，单刀面对门将挑射破门                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
80'埃弗顿3-0领先曼城                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
81'阿圭罗禁区右侧突破，闪出空挡                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
81'低射被门将扑住了                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
81'科尔曼右路突破斯通斯                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
82'下底的横传被门将拿到                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
82'斯特林左路拿球强行传中被封堵                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
82'球弹到他自己身上出底线，球门球                   79'埃弗顿第79分钟锁定胜局，汤姆-戴维斯右路带球突进后横传，巴克利送出直传，汤姆-戴维斯小禁区右上角外射门打在试图封堵的亚亚-图雷腿上偏转入近角，3-0
92'戴维斯后场把球转移出来                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
92'卢卡库背身接应，奥塔门迪把他放倒了                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
93'卢卡库起来，直接顶倒奥塔门迪                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
93'裁判各打五十大板，一人一张黄牌                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
94'曼城后场长传，被门将拿到                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
94'瓜迪奥拉一直在找第四官员说着什么                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
95'埃弗顿进球了！！！                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
95'刚刚出场的卢克曼！                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
95'LOOKMAN！                   92'第92分钟，奥塔门迪背后犯规后被卢卡库顶头撞倒，两人均被黄牌警告
94'曼城后场长传，被门将拿到                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
94'瓜迪奥拉一直在找第四官员说着什么                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
95'埃弗顿进球了！！！                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
95'刚刚出场的卢克曼！                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
95'LOOKMAN！                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
96'科尔曼右路插上，斯通斯解围反弹到了禁区内，卢克曼无人防守，斜射破门                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
96'埃弗顿4-0曼城                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
96'裁判鸣哨结束全场比赛                   94'第94分钟，斯通斯解围打中科尔曼弹回，卢克曼小禁区右上角低射从布拉沃双腿间穿过入网，4-0
