1'随着主裁判一声哨响，比赛开始                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
23'毛剑卿的射门                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
23'顾超将球扑出来                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
25'毛剑卿传球中路，球被解围出来                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
25'申花继续传球禁区                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
25'裁判哨响，吹了攻方的犯规                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
32'特谢拉快速带球突破，来到了禁区                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
32'摔倒了                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
32'裁判给了点球                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
33'特谢拉准备自己来主罚                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
33'稍作调整，左脚推射，将球打进！！！！！！！！！                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
33'苏宁2比0领先了                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
34'继续看比赛                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
34'中场陶源将球控制下来                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
35'申花这边做出了换人调整                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
35'曹赟定上场了，换下了徐俊敏                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
35'苏宁进攻                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
35'特谢拉带球向前，传球禁区，杨博宇的打门                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
35'打偏了                   32'第32分钟特谢拉从左路突击入禁区，金基熙拦截时一脚踢在特谢拉双腿中间，黄牌加点球
33'特谢拉准备自己来主罚                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
33'稍作调整，左脚推射，将球打进！！！！！！！！！                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
33'苏宁2比0领先了                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
34'继续看比赛                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
34'中场陶源将球控制下来                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
35'申花这边做出了换人调整                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
35'曹赟定上场了，换下了徐俊敏                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
35'苏宁进攻                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
35'特谢拉带球向前，传球禁区，杨博宇的打门                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
35'打偏了                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
36'吴曦中场将球断下来                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
36'上半场打了35分钟，苏宁在局势上完全压制住了申花呀                   33'第33分钟申花开始换人，曹赟定换下徐骏敏
38'申花继续换人                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
38'王寿亭换下了瓜林                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
38'瓜林应该是受伤坚持不了了                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
38'上半场也马上接近尾声了                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
38'继续看比赛把                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
39'申花的进攻                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
39'曹赟定拿球传中，球被解围出来                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
39'莫雷诺拿球，被犯规了                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
40'孙世林传球禁区，球被挡出来                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
41'外围争抢，裁判哨响，给了申花的定位球机会                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
41'莫雷诺来主罚                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
41'莫雷诺横传曹赟定，直接选择了打门                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
41'打偏了                   38'第38分钟张晓彬禁区外拉倒毛剑卿，曹赟定的弧线任意球稍稍偏出
49'裁判哨响，吹了苏宁的犯规                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
49'申花定位球机会                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
49'曹赟定将球开到禁区                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
49'球被解围出来                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
51'吴曦中场控制球                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
51'马丁内斯禁区前沿的打门                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
51'打偏了                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
52'李帅大脚将球开出来                   49'下半场江苏继续强攻，第49分钟吴曦在双人夹击中送球，马丁内斯轻巧挑球过陶金之后，在禁区右侧凌空扫射偏出
52'李帅大脚将球开出来                   52'第52分钟孙世林撞倒马丁内斯吃到黄牌
53'高天意带球突破                   52'第52分钟孙世林撞倒马丁内斯吃到黄牌
53'一路向前，直接选择了打门                   52'第52分钟孙世林撞倒马丁内斯吃到黄牌
53'球被防守球员挡出来                   52'第52分钟孙世林撞倒马丁内斯吃到黄牌
55'孙世林外围犯规了，吃到了黄牌                   52'第52分钟孙世林撞倒马丁内斯吃到黄牌
55'孙世林外围犯规了，吃到了黄牌                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
56'苏宁获得定位球机会                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
56'定位球开到禁区，球被解围出来                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
56'争抢球，裁判继续哨响                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
57'并且继续出示了黄牌                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
57'这次是周云吃到了黄牌                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
57'吴曦带球突破，横传球给到拉米雷斯，在给到马丁内斯，来一脚打门                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
58'球被扑出来了                   55'第55分钟拉米雷斯右路突破受阻，马丁内斯跟上斜线怒射，球被李帅扑出界外
62'吴曦分球边路                   61'第61分钟莫雷诺在右路爆发，他在边线卸下球后，斜线杀入禁区，但在周云干扰下，都杀到小禁区的莫雷诺最后一脚射门没打上
62'杨晓天传球禁区，球被李帅没收                   61'第61分钟莫雷诺在右路爆发，他在边线卸下球后，斜线杀入禁区，但在周云干扰下，都杀到小禁区的莫雷诺最后一脚射门没打上
62'李帅大脚将球开出来                   61'第61分钟莫雷诺在右路爆发，他在边线卸下球后，斜线杀入禁区，但在周云干扰下，都杀到小禁区的莫雷诺最后一脚射门没打上
63'莫雷诺将球控制下来                   61'第61分钟莫雷诺在右路爆发，他在边线卸下球后，斜线杀入禁区，但在周云干扰下，都杀到小禁区的莫雷诺最后一脚射门没打上
63'自己带球过人，没能成功                   61'第61分钟莫雷诺在右路爆发，他在边线卸下球后，斜线杀入禁区，但在周云干扰下，都杀到小禁区的莫雷诺最后一脚射门没打上
64'陶源分球禁区，球被门将没收                   61'第61分钟莫雷诺在右路爆发，他在边线卸下球后，斜线杀入禁区，但在周云干扰下，都杀到小禁区的莫雷诺最后一脚射门没打上
71'杨笑天挑传球，给到特谢拉                   70'第70分钟朱建荣换下毛剑卿
72'特谢拉带球突破，球被大脚解围出来                   70'第70分钟朱建荣换下毛剑卿
72'申花这边又换人了                   70'第70分钟朱建荣换下毛剑卿
72'朱建荣换下了毛剑卿                   70'第70分钟朱建荣换下毛剑卿
73'申花这边角球机会                   70'第70分钟朱建荣换下毛剑卿
73'看看怎么样                   70'第70分钟朱建荣换下毛剑卿
80'王寿亭背身拿球，被犯规了                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
81'吉翔将球断下来                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
82'特谢拉拿球，被逼抢，回敲拉米雷斯                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
82'拉米雷斯直接传球禁区，球被解围出来                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
83'李运球带球过半场                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
83'申花进球了！！！！！！！没看错是外援                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
83'莫雷诺！！！！！！！！！！！                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
83'等下回放                   80'第80分钟朱建荣在本方后场踢倒拉米雷斯犯规，特谢拉直接吊门被李帅接住
83'李运球带球过半场                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
83'申花进球了！！！！！！！没看错是外援                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
83'莫雷诺！！！！！！！！！！！                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
83'等下回放                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
84'曹赟定边路拿球传中，莫雷诺插上直接头球将球打进                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
84'OK，继续看比赛                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
85'吴曦送出直塞球，特谢拉拿球，稍作调整，直接来一脚                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
85'打偏了                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
86'苏宁前场获得定位球机会                   83'第83分钟高天意前场送球，特谢拉转身打远角，李帅准备不足，但皮球稍稍偏出
87'杨博宇直接传球禁区，球被解围出来                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
87'陶源拿球，继续传球禁区，球被门将没收                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
87'李帅大脚将球开出来                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
88'中场争抢，球出界了                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
88'苏宁的球权                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
88'苏宁这边换人了                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
89'曹海清换下了陶源                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
89'继续看比赛把                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
89'下半场马上也要结束了                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
89'双方还能取得进球吗                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
90'特谢拉带球突破，遭遇逼抢                   87'第87分钟曹赟定禁区外右脚弹传，莫雷诺强行跃起头球顶高
89'曹海清换下了陶源                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
89'继续看比赛把                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
89'下半场马上也要结束了                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
89'双方还能取得进球吗                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
90'特谢拉带球突破，遭遇逼抢                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
91'回传队友，球被挡出来                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
91'争抢中，裁判哨响，吹了犯规                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
91'吹的是申花的犯规                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
91'全场补时4分钟                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
92'苏宁进攻                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
92'看看怎么样把                   89'第89分钟谢鹏飞换下 本场比赛补时4分钟，第91分钟拉米雷斯传球，皮球穿了金基熙的档，特谢拉形成单刀，但他的最后射门偏门而出
49'裁判哨响，吹了苏宁的犯规                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
49'申花定位球机会                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
49'曹赟定将球开到禁区                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
49'球被解围出来                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
51'吴曦中场控制球                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
51'马丁内斯禁区前沿的打门                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
51'打偏了                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
52'李帅大脚将球开出来                   49'比赛补时4分钟，第93分钟曹赟定再次左路长传，莫雷诺力压周云，高高跃起飞身头球攻门，球进
