42'白岳峰长传球，大了些！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
58'天津泰达队长传球，郑智争抢侵犯了李源一                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
59'天津泰达队得到任意球机会                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
59'买提江站在球前                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
59'任意球发到禁区内，曾诚没收！                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
59'于汉超中场接球，被阿奇姆彭断球！                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
59'惠家康边路传中，对方头球解围                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
60'郑智长传球，杨帆争顶犯规                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
60'任意球发出来，分右路进攻                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
60'郑智长传球，杨帆争顶犯规                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
60'任意球发出来，分右路进攻                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
61'李学鹏前场得球，回传一脚                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
61'冯潇霆右路带球进攻！传球                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
61'李学鹏下底传中，巴斯蒂安斯解围出来                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
62'保利尼奥接球，传球给塔利斯卡！                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
62'塔利斯卡传禁区，杜佳出击将球没收                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
63'李学鹏分边，于汉超接球出底线                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
63'杜佳大脚开球，冯潇霆把球争顶下来                   60'第15分钟，李学鹏边路弧线球传中，塔利斯卡头球攻门未能顶上力量，杜佳轻松将球没收
65'买提江直传球，巴斯蒂安斯横传禁区，曾诚没收                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
65'高拉特传球交给塔利斯卡！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
65'高拉特接于汉超传球，交给保利尼奥                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
66'惠家康带球到前场！郑龙抢球犯规                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
66'天津泰达队得到任意球机会                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
67'任意球发出来，巴斯蒂安斯横传右路                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
67'后场天津泰达队倒郐，将球回传门将！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
67'高嘉润斜传球！李源一接球突破！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
68'郭皓分球到边路，惠家康突破直传禁区！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
68'天津泰达队进球啦！！啊，好象越位啦！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
68'惠家康突破传球，阿奇姆彭抢点打门球进！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
68'助理裁判举旗！！不过好象吹掉了一个好球！                   65'第20分钟，广州恒大获得破门良机，高拉特单刀球被对方破坏，角球传入禁区，张琳芃头球攻门，球被杜佳扑出
74'界外球发出来，郑智争抢犯规！                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
75'天津泰达队发球快速进攻！塔利斯卡犯规！                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
75'主裁判给塔利斯卡出示了黄牌！                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
75'巴斯蒂安斯接球，被抢断                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
76'高拉特前场得球！劲射，打偏啦！                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
76'天津泰达队换下，张池明上场，换下惠家康                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
76'杜佳开出球！张琳芃争抢犯规                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
77'任意球发出来，广州恒大队断球反击                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
77'冯潇霆带球进攻，交给于汉超！                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
77'塔利斯卡右路接球！交给郑智                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
77'高拉特前场得球，分边路的郑龙！                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
77'高拉特传球，塔利斯卡一脚远射！杜佳没收                   74'第29分钟，塔利斯卡做球，高拉特接球转身斜射偏出
87'杨帆受伤啦！高拉特争抢犯规！                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
87'塔利斯卡断球交给保利尼奥组织进攻                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
87'高拉特直传球，被巴斯蒂安斯断球                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
87'阿奇姆彭在前场得球，廖力生上抢犯规！                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
87'任意球机会                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
88'阿奇姆彭发任意球！郭皓再分边                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
88'杨帆长传球到禁区内，李源一争抢，冯潇霆将球破坏出底线                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
88'天津泰达队得到角球机会                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
89'角球发到禁区内，对方解围                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
90'杨帆分边，劲射！打在边网上                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
90'曾诚大脚开球，张琳芃头球顶了一下，到了巴斯蒂安斯脚下                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
90'阿奇姆彭前场得球，被断                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
90'下半场要补时 4 分钟                   87'第42分钟，广州恒大打破僵局，张琳芃后场送出斜长传，保利尼奥快速插上获得单刀机会，面对门将推射得手，广州恒大1-0领先
95'任意球发出来，冯潇霆争抢犯规！                   95'下半场易边再战，第50分钟，阿奇姆彭带球快速反击，分给后插上的惠家康，后者晃过张琳芃后射近角，球击中边网
95'天津泰达队最后一攻！                   95'下半场易边再战，第50分钟，阿奇姆彭带球快速反击，分给后插上的惠家康，后者晃过张琳芃后射近角，球击中边网
95'赵英杰打门！高出                   95'下半场易边再战，第50分钟，阿奇姆彭带球快速反击，分给后插上的惠家康，后者晃过张琳芃后射近角，球击中边网
95'全场比赛结束，最终广州恒大队客场3-0战胜天津泰达队！                   95'下半场易边再战，第50分钟，阿奇姆彭带球快速反击，分给后插上的惠家康，后者晃过张琳芃后射近角，球击中边网
