1'上半场比赛开始                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'长传到禁区被邓克头球顶一下                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
4'坎特控球                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
4'切尔西在后场倒脚                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
19'法布雷加斯再传后点，鲁迪格头球回点                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
19'巴卡约科有点反应不过来，推射打偏了                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
19'莱恩发门球                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
19'摩西右路推进，传前场，杜菲拦截                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
19'史蒂芬斯分给谢洛托                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'直传，赫迈德拿球                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'回传，被断了                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'阿扎尔回来拿球扣过一人                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'再变向，右路没人，交给法布雷加斯，直传                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'阿扎尔带多了，自己倒地但裁判没有吹                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'谢洛托控球，转移给了邓克                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'分给舒特纳                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
20'长传被拦截了                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
21'法布雷加斯放长传                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
21'被邓克顶一下                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
21'鲁迪格放长传找到摩西                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
22'内切交给阿斯皮利奎塔，传中，邓克头球清脆解围                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
22'鲁迪格左路控球分给阿隆索                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
22'直传，谢洛托将球护出底线                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
22'但裁判给了角球                   19'切尔西第19分钟错失良机，小法禁区右侧传中，吕迪格远点头球回摆，巴卡约科近距离捅射偏出左侧立柱
60'法布雷加斯传前点，漂亮                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
60'阿隆索头球薄蹭，球入远角！                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
61'法布雷加斯平快球发前点，阿隆索薄蹭球顶入远端的下角                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
61'阿斯皮利奎塔的传中被邓克解围                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
62'进球的两人都是西班牙人，而送出助攻的同样是两位西班牙人                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
62'4位西班牙球星包揽了进球的所有角色                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
63'舒特纳左路带球，回传被阿扎尔断了                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
63'传到中路，莫拉塔又被杜菲撞翻                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
63'鲁迪格也压过半场                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
63'以右路的法布雷加斯                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
63'回传给阿斯皮利奎塔                   60'切尔西第60分钟扩大比分，小法开出角球，阿隆索前点小角度头球攻门顶入远角，2-0
