2'纳乔后场拿球，直塞克罗斯                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
12'克罗斯战术角球给到马塞洛，再回给克罗斯，横传禁区，C罗插上左脚扫射，打进！！                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
13'赫罗纳前场的进攻，右路传中到后点                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
13'卡瓦哈尔头球解围，顶向边路                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
13'巴斯克斯在和莫西卡争抢，球被巴斯克斯捅出了边线                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
14'皇马前场的进攻，马塞洛左路强突                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
23'巴斯克斯停球横切，起脚搓射，打飞！                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
23'克罗斯前场中路拿球，直塞打身后                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
23'巴斯克斯插上拿球，面对索拉，推射打进，可惜被吹越位无效！                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
23'慢镜回放显示，这个球是好球啊                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
24'C罗也是向边裁示意，这球就算自己越位，自己并未拿球，也没参与进攻，球是后排插上的巴斯克斯拿到打进的                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
25'马塞洛左路拿球，直塞本泽马                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
25'波图格斯的逼抢，将球破坏出边线                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
25'卡瓦哈尔前场右路拿球，横传巴斯克斯                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
25'巴斯克斯内切，强突再分卡瓦哈尔                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
25'球被贝尔纳尔多上抢拦截                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
26'分球左侧给莫西卡                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
26'莫西卡的强突，传中到后点                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
26'马塞洛回防解围，将球破坏出底线                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
26'这球无人逼抢，马塞洛的解围。。。                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
26'赫罗纳获得右侧角球机会！！                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
26'加西亚角球开出到前点                   23'第23分钟出现争议，克罗斯送出直传，卢卡斯12码处推射破门被判越位，进球无效
47'赫罗纳后场的抢断，长传球到前场                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
47'波图格斯头球后蹭                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
47'斯图亚尼再抢，球被马塞洛抢先拿到                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
47'马塞洛左路再突，斯图亚尼逼抢，将球碰出边线                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
48'皇马再进一球！！                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
48'C罗梅开二度！！                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
49'科瓦契奇中场拿球强突，直塞给到巴斯克斯，再给本泽马，本泽马转身直塞打身后，C罗插上面对索拉，起脚抽射，击中横梁下檐弹进网窝！                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
49'克罗斯后场拿球，带至中线附近                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
50'分球左侧马塞洛，带球至前场                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
50'再给阿森西奥，回传克罗斯                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
50'再分左侧给马塞洛，直塞C罗                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
50'过度给到本泽马，下底回传马塞洛                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
50'马塞洛的传中到后点，被防守球员解围                   47'皇马第47分钟再次超出，本泽马传球，斜插入禁区的C罗10码处单刀射入上角，2-1
59'3-1！！！                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
59'卢卡斯-巴斯克斯！！！                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
60'马塞洛左路直塞打身后，本泽马插上拿球横传门前，C罗点球点附近背身停球，横拨给跟进的巴斯克斯，巴斯克斯推射打进球门右侧！                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
61'这球本泽马和马塞洛的配合很犀利，C罗的无球显得很无私                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
61'赫罗纳前场进攻，传中到门前                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
61'波图格斯的抢点垫射，被挡出底线                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
61'赫罗纳获得左侧角球，没能形成威胁！！                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
62'皇马前场进攻，赢得左侧角球机会！！                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
62'战术角球开出，马塞洛给到克罗斯                   59'皇马第59分钟扩大比分，本泽马左路传中，C罗横敲，卢卡斯14码处射入右下角，3-1
67'到了左侧，急停转身，晃倒了两名防守球员                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
67'接着横传球到门前，贝尔纳尔多将球解围                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
67'赫罗纳的反击，格拉尼尔的直塞找斯图亚尼                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
67'斯图亚尼中路强突，禁区弧顶遭遇夹击                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
67'瓦拉内将球解围出底线                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
67'赫罗纳获得了左侧角球机会！！                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
68'4-2！！！                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
68'斯图亚尼的进球！！                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
68'赫罗纳左侧战术角球开出，格拉尼尔传中到门前，斯图亚尼力压卡瓦哈尔头球顶进球门左侧！！                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
69'阿森西奥前场拿球强突，身后回防的列拉防守犯规                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
70'赫罗纳换人：19号洛萨诺上，换下了24号加西亚                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
70'皇马获得了前场左路的任意球机会                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
70'克罗斯的任意球传中，被解围！！                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
70'赫罗纳的反击，斯图亚尼前场和波图格斯的配合                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
70'可惜波图格斯的停球没停好，被瓦拉内回防一捅                   67'第67分钟，博尔哈-加西亚左路战术角球传中，斯图亚尼近距离力压卡瓦哈尔头球破门，2-4
86'莫德里奇后场左路拿球，回传巴斯克斯                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
86'再给中间的克罗斯，分球伊斯科                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
86'再给左侧马塞洛，直塞找到C罗                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
86'C罗拿球内切，横传球到中路                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
86'5-2！！！                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
86'贝尔的进球！！                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
88'C罗前场左路内切，横传伊斯科，再给莫德里奇，直塞打身后，贝尔插上面对索拉，右脚抽射，打在索拉身上弹起，慢慢滚进球网！！                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
88'赫罗纳再次换人：7号斯图亚尼被换下，换上14号奥伦加                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
88'赫罗纳再次扳回一个！！                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
88'拉米雷斯的进球！！！                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
89'赫罗纳的进攻赢得角球，格拉尼尔传中到门前，无人防守的拉米雷斯，头球顶进网窝！                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
89'阿代右路拿球，面对逼抢                   86'第86分钟，摩德里奇直传，贝尔禁区右肋10码处斜射打在博诺身上偏转入网，5-2
91'下半场比赛补时3分钟！！                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
91'莫西卡左路拿球，带球过中线                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
91'斜传转移打身后到禁区                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
91'纳瓦斯出击，抢在波图格斯之前，将球拿到                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
91'皇马的反击！！                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
91'6-3！！！                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
92'C罗大四喜！！                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
92'莫德里奇中场拿球反击，斜塞左侧给到克罗斯，克罗斯禁区左上角斜塞门前，C罗插上倒地铲射，打进！！                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
93'阿代前场右路的强突，被放倒在地                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
93'赫罗纳再次获得前场右路的任意球                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
93'格拉尼尔任意球斜传禁区，被解围！                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
94'马塞洛后场拿球，转身被奥伦加抢断                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
94'马塞洛被撞到了腰部，受伤倒地                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
94'奥伦加拿球进攻，禁区左上角的抽射，打飞                   91'第91分钟，克罗斯斜传，C罗12码处推射入网，6-2
