1'今天的主裁是赵治治                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
8'吴曦横敲刘建业给的有点歪，被亚泰抢断                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
9'亚泰进攻速度打的非常快，裴帅左侧已经下底                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
9'一扣晃开后卫，传中时候犹豫了，被许友志挡出底线                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
10'杜震宇角球开出，第一点还是对手先解围                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
10'孙可左路下底传中，阎峰前点头球顶出底线                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
10'孙可操刀角球，第一点还是被亚泰解围                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
10'双方的节奏还是蛮快的，主场作战的舜天更加占据主动权                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
11'杨笑天左路的传中，禁区内后点孙可把球拿住                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
11'孙可横拨卡尔坦森，卡尔坦森一停，起脚就射                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
11'伊斯梅洛夫和孙捷前仆后继奋勇堵住枪眼                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
14'张笑非面前无人阻挡，一记传中质量不高，被前点的吉翔挡出                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
14'舜天右路进攻，吉翔45度斜传禁区内                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
14'孙可跟进头球攻门，没有顶正部位，吴亚轲轻松没收                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
15'莫雷罗右路得球，杀入禁区内，对手有隐蔽的拉扯，莫雷罗强硬的起脚打门，被补防的奥特森封堵                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
15'转眼之间舜天的反击就打到了亚泰的禁区内                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
15'卡尔坦森一对一面对孙捷，卡尔坦森利用爆发力生吃，被孙捷断下                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
16'卡尔坦森在抢，犯规了                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
16'胡斯蒂组织进攻，左路突破分球给左路的杜震宇                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
16'杜震宇传中，太靠近球门，被邓小飞轻易没收                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
17'舜天右路斜传，禁区后点吴曦垫射，想吊后角，高了                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
17'舜天再次起长传冲吊往门前给                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
17'卡尔坦森强势包抄，张笑非防守经验老道抢先破坏                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
17'舜天左路的角球机会                   14'第14分钟，吉翔45度斜传禁区，孙可跟进头球攻门被吴亚轲没收
25'亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
25'舜天反击，长传给卡尔坦森，孙捷从身后推倒了卡尔坦森犯规                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
26'孙捷得到了一张黄牌                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
27'胡斯蒂左路弯刀送入禁区中央，莫雷罗倚住后卫，把球停下，顺势倒钩打门                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
27'动作一气呵成，非常漂亮，但最后的射门没有力量，被邓小飞没收                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
27'吴曦中场拼抢对阎峰犯规                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
27'杨笑天左路突破，传中被后卫一挡，球滚到弧顶附近                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
28'裴帅保护住危险地带，把球解围                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
28'亚泰反击再找马祖，马祖速度很快，但还是被后卫断下                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
28'.舜天进球了                   25'第25分钟，亚泰右路再造杀机，低球给到门前，莫雷罗包抄抢点，差了一点点，脚尖碰了一下可惜没有改变球的方向
28'裴帅保护住危险地带，把球解围                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
28'亚泰反击再找马祖，马祖速度很快，但还是被后卫断下                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
28'.舜天进球了                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
29'吴曦的一脚世界波，国脚水准                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
30'舜天前场一系列的配合打的很流畅，左路下底的传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射，直挂远角，几乎是十分角                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
31'亚泰前场进攻直塞交给莫雷罗                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
31'莫雷罗晃开许友志直奔禁区而去，许友志无奈趁对手还没入禁区抢先犯规拉倒对手                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
31'许友志得到一张黄牌                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
31'亚泰右路禁区前沿的任意球                   28'江苏舜天在第28分钟打破僵局——舜天前场一系列的配合打的很流畅，左路杨笑天下底传中，卡尔坦森中路一蹭，后点吴曦迎着来球，半转身的凌空抽射直挂远角，几乎是十分角，1-0
39'杨笑天分给中路的张晓彬，再交孙可                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
39'孙可扯动到右侧，传给身后的吉翔                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
39'吉翔内切打门，被后卫挡出                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
40'卡尔坦森禁区内得球，面对蒋哲，闪开空当强行起脚，打偏了                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
40'卡尔坦森有意识的兜射后角，但被防守队员干扰，没有把握好‘                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
40'伊斯梅洛夫中场防守犯规                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
41'舜天右路进攻给到孙可脚下，孙可再交吉翔                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
41'吉翔一记斜传塞入禁区内给到插上的张晓彬                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
42'张晓彬一领，杀到底线传中，球滑门而过，非常危险啊                   39'第39分钟孙可右路带球横向摆脱后大力抽射被挡出
49'身前的中卫赶紧一脚解围掉                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
49'亚泰中场获得一个定位球                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
49'直接传到禁区右侧，孙捷插上垫到门前                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
49'这个球给的距离球门太近，被邓小飞压在身下                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
50'伊斯梅洛夫后场斜传转移到右路，给的很准，马祖把球卸下                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
50'舜天加强了对马祖的防范，马祖没有突破的线路，在横敲中路                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
51'亚泰尝试从左路走，张笑非和杜震宇的配合失误                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
51'舜天右路进攻，孙可突入禁区内，一脚低射，吴亚轲倒地把球扑出                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
51'孙捷第二点头球解围                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
52'吴亚轲今天表现比较抢眼啊，多次化解对手的射门                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
52'亚泰右路的一记传中，后点胡斯蒂垫射，直接飞出底线                   49'下半场易边再战，第49分钟，杨笑天主罚任意球直接传入门前，落点不错，乱战中舜天队员抢射一脚，但守在门前的吴亚轲反应机敏倒地把球挡住
55'莫雷罗杀入禁区右侧，一记外脚背小角度轰门，偏出                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
55'舜天再次打穿亚泰的右路，杨笑天左侧快下，面对蒋哲内切一下                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
56'杨笑天没有直接传，而是选择直接射门，低平球奔远角而去，吴曦中路包抄，挡了一下，偏出底线                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
56'舜天的进攻越来越得心应手                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
56'又是左侧，这次是吉翔的传中                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
57'后点孙可凌空抽射，没有踢正，被后卫挡出                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
57'亚泰的反击，左路张笑非的下底，传中到门前                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
57'马祖包抄争抢头球，被后卫先出一头把球破坏                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
58'亚泰右路的界外球，裴帅一领，传中，莫雷罗前点头球被后卫碰出底线                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
58'亚泰角球开出，第一点被舜天解围                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
58'外围跟进一记远射，没有造成威胁                   55'第55分钟，莫雷罗杀入禁区右侧，一记外脚背小角度轰门偏出
71'莫雷罗背身一挑，抹过后卫，转身一记捅射，直奔远角，但速度太慢，被邓小飞倒地扑住                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
71'这是目前为止亚泰最有威胁的一脚射门，莫雷罗处理的非常好，可惜最后一下没有捅上力量                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
72'亚泰继续组织进攻，阿克斯分边交给右路的马祖                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
72'马祖不停球，直接做给莫雷罗，传大了                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
72'比赛已经过了70分钟，时间对于亚泰来说还是比较充裕的                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
73'杨笑天前场头球摆渡给卡尔坦森                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
73'卡尔坦森回做一下，吴曦在直塞左路被断                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
73'舜天前场的配合显得很娴熟                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
73'在胡斯蒂下场后裴帅被提到了前腰的位置上                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
74'裴帅右侧得球，闪开空当，起球传中，太靠近邓小飞                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
74'亚泰继续组织进攻，裴帅中路做球交给杜震宇                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
74'杜震宇和阿克斯做配合，杜震宇左侧的传中，莫雷罗前点鱼跃头球，顶偏了                   71'第71分钟，莫雷罗背身一挑抹过后卫，转身一记捅射直奔远角，但速度太慢被邓小飞倒地扑住
90'阿克斯中路梳理，分边到右路马祖                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
90'阿克斯上场之后中场节拍器的作用很明显，亚泰的进球正是来自于他的策划                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
91'马祖右路的传中，落点太靠外，同伴没有拿到                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
91'下半场补时3分钟                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
91'康斯坦丁后场抢断韩德明                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
92'亚泰再把球抢下，最后时刻亚泰有点反客为主的意思                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
92'杜震宇前场推进，45度斜传后点，给大了                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
92'莫雷罗追回来，在交回中场重新组织                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
92'亚泰再次起球到禁区，任航抢在莫雷罗之前把球顶出边线                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
93'蒋哲把球交给莫雷罗，莫雷罗面对两名后卫，技术很好，再次赢得界外球                   90'最终经过90分钟战罢，江苏舜天主场1-1被长春亚泰逼平
