7'现在拜仁开始控球了，开场5分钟汉堡攻势很盛。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
42'这个球穆勒也是怕受伤，没有冲，否则有可能撞到门柱。                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
42'范德法特！前场拿球转身打门！                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
42'诺伊尔神勇的扑救，虽然有小失误，但是毕竟诺伊尔实力在那里啊！                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
43'寻爱考拉 :左边沃尔科特右边贝尔，两翼齐飞------这是英国队么？                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
43'上半场比赛时间不多了，虽然汉堡很积极，但是比分还是拜仁领先。                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
43'寻爱考拉 :左边沃尔科特右边贝尔，两翼齐飞------这是英国队么？                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
43'上半场比赛时间不多了，虽然汉堡很积极，但是比分还是拜仁领先。                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
44'汉堡队又是一次组织，左路底线拿球回敲，伊利切维奇打门太离谱了。                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
45'十四岁的天5015976004 :雯雯，我来啦！我是你的粉丝，永远支持你！------谢谢你的支持！                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
45'赛场上也是出现了阳光，有点晃眼。                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
45'现场的汉堡球迷也是很给力，卖力的为主队呐喊助威！                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
46'好的，上半场比赛结束了！凭借着格策的进球拜仁1比0领先！                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
46'好的，下半场比赛开始！                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
46'永不放弃-雪儿 :雯雯，明天要早起，所以不能看你下半场的直播了，晚安------晚安！                   43'第43分钟，恰尔汉奥卢左侧底线回敲，伊利切维奇在门前15米处斜射偏出
55'格策！2比0！                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
55'角球打出来没人看格策，直接打门碰到了穆勒的脚，稍稍偏了一点。                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
56'但是官方还是算在了格策身上~                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
56'现在比分2比0了，汉堡机会不大了。                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
57'作为一名足球迷，大家见过的最大逆转是什么呢？                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
57'恭喜以下用户获得直播室会员资格: 俺略水                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
58'比赛还有半个多小时，汉堡心态不知道是怎么样了。                   55'第55分钟，罗本右侧开出角球，格策前点距门12米低射，球碰穆勒左脚变线骗过阿德勒入网，2比0
66'看了大家的回答我觉得自己还是要多了解足球历史啊~球迷朋友真是最强大的存在。                   66'第66分钟，恰尔汉奥卢在门前17米处抽射被诺伊尔托出横梁，他接着开出角球，诺伊尔出击失误，曼辛头球偏出左门柱
66'汉堡一脚很有威胁的打门！                   66'第66分钟，恰尔汉奥卢在门前17米处抽射被诺伊尔托出横梁，他接着开出角球，诺伊尔出击失误，曼辛头球偏出左门柱
67'约翰右路拿球给到禁区，一阵混乱后察尔汗奥卢打门被诺伊尔打了出去！                   66'第66分钟，恰尔汉奥卢在门前17米处抽射被诺伊尔托出横梁，他接着开出角球，诺伊尔出击失误，曼辛头球偏出左门柱
68'海丰人7818 :雯雯你身为红魔球迷会讨厌我们红军吗。------我比较理智，喜欢球队也不会贬低对手，今年红军很强！                   66'第66分钟，恰尔汉奥卢在门前17米处抽射被诺伊尔托出横梁，他接着开出角球，诺伊尔出击失误，曼辛头球偏出左门柱
69'3比0！！！                   66'第66分钟，恰尔汉奥卢在门前17米处抽射被诺伊尔托出横梁，他接着开出角球，诺伊尔出击失误，曼辛头球偏出左门柱
69'3比0！！！                   69'第69分钟，穆勒传球，罗本禁区左侧斜射被阿德勒封出，穆勒顶给格策，格策在门前9米处左脚凌空抽射入左下角，3比0
70'罗本拿球直接打门被挡，穆勒头球给格策，格策凌空打门！                   69'第69分钟，穆勒传球，罗本禁区左侧斜射被阿德勒封出，穆勒顶给格策，格策在门前9米处左脚凌空抽射入左下角，3比0
70'帽子戏法了！                   69'第69分钟，穆勒传球，罗本禁区左侧斜射被阿德勒封出，穆勒顶给格策，格策在门前9米处左脚凌空抽射入左下角，3比0
72'已为陈 :第2球不是算给穆勒的？------字幕显示是格策。                   69'第69分钟，穆勒传球，罗本禁区左侧斜射被阿德勒封出，穆勒顶给格策，格策在门前9米处左脚凌空抽射入左下角，3比0
72'汉堡扳回一分！！                   69'第69分钟，穆勒传球，罗本禁区左侧斜射被阿德勒封出，穆勒顶给格策，格策在门前9米处左脚凌空抽射入左下角，3比0
75'皮萨罗上场就进球啊！！                   75'第75分钟，皮萨罗接应格策直传，突入禁区左侧距门13米处左脚推射被阿德勒扑出，紧接着漂亮倒钩入网，4比1
75'一个精彩的倒钩！                   75'第75分钟，皮萨罗接应格策直传，突入禁区左侧距门13米处左脚推射被阿德勒扑出，紧接着漂亮倒钩入网，4比1
76'皮萨罗接传球单刀打门被门将挡了一下，弹得很高，皮萨罗第二次倒钩，很精彩啊！                   75'第75分钟，皮萨罗接应格策直传，突入禁区左侧距门13米处左脚推射被阿德勒扑出，紧接着漂亮倒钩入网，4比1
78'现在汉堡也不想再打了，保持球员别出问题，目前的比分保持到最后，保级主动权还是在汉堡手里。                   75'第75分钟，皮萨罗接应格策直传，突入禁区左侧距门13米处左脚推射被阿德勒扑出，紧接着漂亮倒钩入网，4比1
83'场下的曼朱基奇也是脚痒，这场他要是上场应该对于争夺最佳射手很有帮助，                   83'第83分钟，拉姆挑传禁区右侧，穆勒脚后跟巧妙做球，拉姆在门前12米处凌空抽射偏出左门柱
84'红尘谁是渡我彼岸之人 :下赛季莱万来拜仁，皮萨罗还得是替补，就是不知道曼朱怎么办。------所以现在他也是憋着一股劲想要争最佳射手啊。                   83'第83分钟，拉姆挑传禁区右侧，穆勒脚后跟巧妙做球，拉姆在门前12米处凌空抽射偏出左门柱
85'场上有点冲突，博阿滕和特舍顶牛较劲，诺伊尔把博阿滕推开了，场面有点滑稽。                   83'第83分钟，拉姆挑传禁区右侧，穆勒脚后跟巧妙做球，拉姆在门前12米处凌空抽射偏出左门柱
86'但是裁判给了博阿滕红牌！对手只有一张黄牌啊                   83'第83分钟，拉姆挑传禁区右侧，穆勒脚后跟巧妙做球，拉姆在门前12米处凌空抽射偏出左门柱
86'可能是觉得博阿滕是先挑事的，这个有点不应该啊。                   83'第83分钟，拉姆挑传禁区右侧，穆勒脚后跟巧妙做球，拉姆在门前12米处凌空抽射偏出左门柱
