4'热刺球员诺顿大禁区外尝试右脚射门,可惜皮球偏出球门.
28'卡迪夫城特纳受伤倒地,比赛暂停
29'暂停结束,球员们重新开始比赛.
32'卡迪夫城金甫炅受伤倒地,比赛暂停
33'暂停结束,球员们重新开始比赛.
34'射门!!!热刺球员汤森德大禁区外左脚射门,被对方守门员横身扑出.给他传球的是沃克尔.
37'热刺球员汤森德大禁区外左脚射门,被防守球员封堵.给他传球的是索尔达多.
37'冈纳尔森将球处理出底线,热刺获得角球.
40'卡迪夫城球员F-坎贝尔手球犯规,对手获得球权.
42'卡迪夫城F-坎贝尔受伤倒地,比赛暂停
43'暂停结束,球员们重新开始比赛.
44'洛里斯将球处理出底线,卡迪夫城获得角球.
44'卡迪夫城球员冈纳尔森拼抢犯规,对手获得控球权.
44'洛里斯为热刺赢得一个任意球.
45'+2'金甫炅为卡迪夫城在对方半场,赢得一个任意球.
45'+2'热刺球员道森拼抢犯规,对手获得控球权.
45'+4'上半场结束,卡迪夫城 0-0 热刺,稍事休息,我们一会来看看下半场两队的表现.
47'金甫炅为卡迪夫城在左路,赢得一个任意球.
47'热刺球员汤森德拼抢犯规,对手获得控球权.
47'黄牌！热刺球员汤森德因为恶意犯规,被主裁判出示黄牌.
48'卡迪夫城球员贝拉米大禁区外右脚射门,被防守球员封堵.
48'道森将球处理出底线,卡迪夫城获得角球.
50'卡特兰将球处理出底线,热刺获得角球.
50'射门!!!热刺球员汤森德大禁区外左脚射门,被对方守门员横身扑出.给他传球的是沃克尔.
51'热刺球员西古德森大禁区外右脚射门,命中门柱横梁.给他传球的是汤森德.
51'射门!!!热刺球员索尔达多大禁区中央右脚射门,被对方守门员横身扑出.
52'热刺球员保利尼奥大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是登贝莱.
53'特纳将球处理出底线,热刺获得角球.
54'热刺球员保利尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是西古德森.
55'热刺球员诺顿一脚直塞球给索尔达多,但是边裁举旗显示后者已经越位.
57'射门!!!热刺球员保利尼奥大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是西古德森.
57'马绍尔将球处理出底线,热刺获得角球.
59'F-坎贝尔为卡迪夫城在右路,赢得一个任意球.
59'热刺球员诺顿拼抢犯规,对手获得控球权.
63'卡迪夫城球员特纳拼抢犯规,对手获得控球权.
63'汤森德为热刺在对方半场,赢得一个任意球.
63'黄牌！卡迪夫城球员特纳因为恶意犯规,被主裁判出示黄牌.
64'热刺球员汤森德大禁区外左脚射门,被防守球员封堵.
64'射门!!!热刺球员登贝莱大禁区外左脚射门,被对方守门员横身扑出.
64'卡迪夫城球员考尔克一脚直塞球给F-坎贝尔,但是边裁举旗显示后者已经越位.
65'卡迪夫城换人,奥登文杰换下F-坎贝尔
66'热刺球员诺顿大禁区左侧尝试右脚射门,可惜皮球高出球门.给他传球的是埃里克森.
68'卡迪夫城球员冈纳尔森大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是奥登文杰.
69'卡迪夫城球员奥登文杰大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是贝拉米.
70'金甫炅为卡迪夫城在对方半场,赢得一个任意球.
70'热刺球员道森拼抢犯规,对手获得控球权.
70'黄牌！热刺球员道森因为恶意犯规,被主裁判出示黄牌.
71'卡迪夫城球员冈纳尔森一脚直塞球给特纳,但是边裁举旗显示后者已经越位.
71'热刺换人,拉梅拉换下西古德森
72'卡迪夫城球员金甫炅一脚直塞球给奥登文杰,但是边裁举旗显示后者已经越位.
74'奥登文杰为卡迪夫城在对方半场,赢得一个任意球.
74'热刺球员维尔通亨拼抢犯规,对手获得控球权.
75'卡迪夫城球员特纳一脚直塞球给奥登文杰,但是边裁举旗显示后者已经越位.
78'卡迪夫城换人,康维换下贝拉米
81'卡迪夫城球员冈纳尔森大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是奥登文杰.
81'热刺换人,凯恩换下汤森德
82'卡迪夫城球员惠廷汉姆手球犯规,对手获得球权.
83'安德鲁-泰勒将球处理出底线,热刺获得角球.
84'热刺球员索尔达多大禁区中央尝试右脚射门,可惜皮球高出球门.
86'卡迪夫城球员安德鲁-泰勒手球犯规,对手获得球权.
88'热刺球员凯恩大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是诺顿.
89'热刺换人,霍尔特比换下埃里克森
90'热刺球员沃克尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是凯恩.
90'+1'射门!!!热刺球员保利尼奥大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是霍尔特比.
90'+2'马绍尔将球处理出底线,热刺获得角球.
90'+2'热刺球员道森大禁区左侧右脚射门,被防守球员封堵.
90'+3'进球啦！！！热刺球员保利尼奥球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是拉梅拉. 卡迪夫城 0-1 热刺.
90'+4'热刺球员索尔达多被主裁判出示了一张黄牌.
90'+5'卡迪夫城球员惠廷汉姆大禁区外左脚射门,被防守球员封堵.给他传球的是冈纳尔森.
90'+5'康维将球处理出底线,热刺获得角球.
90'+6'下半场结束,卡迪夫城 0-1 热刺
