1'上半场比赛开始！                   1'双方第1分钟均小心谨慎应对
37'路易斯分左路，拉维奇脚下打滑了                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
38'夏次别秋：加油巴黎                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
39'马图伊迪左路插上，卡希尔卡住了位置                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
54'路易斯中场护球，小法身后推人                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
54'大巴黎进球了！！！                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
54'卡瓦尼！！！                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
55'马图伊迪拉到左路，下底传中准确找到卡瓦尼，后者一记甩头破门！                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
55'场上比分1-1，巴黎扳平了                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
56'下半场开局的压制，巴黎成功收到了效果                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
56'威廉左路带球，被破坏出边线                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
57'阿兹皮利奎塔左路下底，拿到一个角球                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
57'角球去门前被西里古拿到                   54'巴黎下半场加强攻势并在第54分钟扳平比分，马图伊迪左路传中，卡希尔冒顶，无人防守的卡瓦尼7码处头球破门，1-1
80'马图伊迪送身后，夸德拉多解围                   80'巴黎第80分钟又错失良机，马图伊迪传球，卡瓦尼切入禁区左侧扣过马蒂奇后小角度捅射，皮球擦远角立柱偏出
81'卡瓦尼和队友2过1进禁区，一个拉球过人面对门将，捅射远角打偏！                   80'巴黎第80分钟又错失良机，马图伊迪传球，卡瓦尼切入禁区左侧扣过马蒂奇后小角度捅射，皮球擦远角立柱偏出
81'巴黎换人，拉维奇被帕斯托雷换下                   80'巴黎第80分钟又错失良机，马图伊迪传球，卡瓦尼切入禁区左侧扣过马蒂奇后小角度捅射，皮球擦远角立柱偏出
82'切尔西用雷米换下科斯塔                   80'巴黎第80分钟又错失良机，马图伊迪传球，卡瓦尼切入禁区左侧扣过马蒂奇后小角度捅射，皮球擦远角立柱偏出
83'马克斯韦尔横传，帕斯托雷远射打飞                   80'巴黎第80分钟又错失良机，马图伊迪传球，卡瓦尼切入禁区左侧扣过马蒂奇后小角度捅射，皮球擦远角立柱偏出
83'切尔西换人，奥斯卡换下法布雷加斯                   80'巴黎第80分钟又错失良机，马图伊迪传球，卡瓦尼切入禁区左侧扣过马蒂奇后小角度捅射，皮球擦远角立柱偏出
92'后点伊布的头球弹地后被库尔图瓦扑出！                   92'巴黎第92分钟险些绝杀，马克斯维尔传中，伊布10码处顶出反弹球被库尔图瓦神勇救出
92'巴黎有角球机会                   92'巴黎第92分钟险些绝杀，马克斯维尔传中，伊布10码处顶出反弹球被库尔图瓦神勇救出
92'角球开出，路易斯抢位置犯规了                   92'巴黎第92分钟险些绝杀，马克斯维尔传中，伊布10码处顶出反弹球被库尔图瓦神勇救出
92'全场比赛结束！                   92'巴黎第92分钟险些绝杀，马克斯维尔传中，伊布10码处顶出反弹球被库尔图瓦神勇救出
