3'巴萨获得了一个边路定位球                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
6'Gooooooooooooooooooal~~~~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
7'马竞后场长传！阿德里安禁区内的抽射击中了横梁弹出~~~而巴萨的后卫还没回过神来，科克左路接到队友的头球传球~小角度抽射破门！                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
7'马竞取得了梦幻般的开局                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
7'布斯克茨后场被抢断~~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
7'完全被打懵了~~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
7'比利亚禁区内的打门被后卫封堵出了底线                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
8'马竞战术角球~传球出了底线                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
8'巴萨显然还没进入比赛状态                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
8'平托禁区内又在玩火了~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
8'没能及时将球解围出去！                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
8'马竞断球之后~可惜阿德里安越位了                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
7'马竞后场长传！阿德里安禁区内的抽射击中了横梁弹出~~~而巴萨的后卫还没回过神来，科克左路接到队友的头球传球~小角度抽射破门！                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
7'马竞取得了梦幻般的开局                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
7'布斯克茨后场被抢断~~~                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
7'完全被打懵了~~~                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
7'比利亚禁区内的打门被后卫封堵出了底线                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
8'马竞战术角球~传球出了底线                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
8'巴萨显然还没进入比赛状态                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
8'平托禁区内又在玩火了~~                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
8'没能及时将球解围出去！                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
8'马竞断球之后~可惜阿德里安越位了                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
9'巴萨在中场完全脱节                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
9'马竞全队上下就像打了鸡血一样                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
10'马竞再次逼得了一个角球                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
10'传向前点~小法头球顶出了边线                   7'第7分钟，加比禁区前的射门被封堵，比利亚禁区内的射门也被挡出
12'好不容易过了半场~                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
12'小法的转身射门距离球门太远~                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
13'巴萨在利用自己的控球稳一稳节奏                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
13'梅西~~~                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
13'接到了阿尔维斯的传中~小禁区前甩头攻门！！！                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
13'球擦着立柱飞出底线                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
13'这球只要稍微再正一点，库尔图瓦也是没有办法                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
14'小白大范围长传转移~                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
15'马竞全队都回收参与防守                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
15'马竞的战术太明确了                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
15'又是断球反击~                   12'第12分钟，梅西传球，法布雷加斯禁区前劲射被库尔图瓦没收
19'又是横梁~~~                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
19'马竞就打巴萨的右边路~                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
19'头球点下来之后，禁区内的射门再次击中横梁！                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
19'3次了~~                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
19'这又是比利亚的射门                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
20'葫芦娃运气不佳~两次击中门框                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
20'今天马竞特别注重对梅西的围抢                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
20'一旦抢下来，反击也相当犀利                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
20'直接将球吊过后卫头顶~                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
20'因为皮克的缺阵，让巴萨在禁区内的高度下降                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
21'内马尔前场争抢被吹了犯规                   19'马竞第19分钟再次憾中门框，劳尔-加西亚头球前顶，比利亚禁区右侧面对巴特拉的防守小角度抽射打中横梁弹回
24'内马尔左边路利用速度突破~                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
24'传到了门前~好机会！                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
24'梅西近距离打门居然偏了~                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
24'内马尔之前的一系列过人相当漂亮~                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
24'而梅西~今天的状态堪忧啊                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
24'                    24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
25'马竞的疯狂进攻之下漏洞也不小                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
25'比利亚左路的传中被平托拿到~                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
26'在身体对抗方面巴萨全面处于下风                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
27'巴萨需要拿出一点血性出来~                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
27'不过这正好是巴萨所欠缺的一面                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
27'小白前场断球~禁区外选择了远射！太着急了一点                   24'巴萨第24分钟错过机会，内马尔连续过人后禁区左侧传中，梅西前点小禁区边缘的射门偏出近角
36'巴萨慢吞吞的推进速度，让马竞有足够的时间退防                   36'第36分钟，伊涅斯塔传球，巴特拉远射偏出
36'没防守就算了，还没速度~                   36'第36分钟，伊涅斯塔传球，巴特拉远射偏出
37'让马竞可以很轻松打反击                   36'第36分钟，伊涅斯塔传球，巴特拉远射偏出
37'科克前场反抢被吹了犯规                   36'第36分钟，伊涅斯塔传球，巴特拉远射偏出
43'马竞继续摆大巴                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
43'小法倒在了禁区附近~                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
43'裁判依旧没有理会                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
43'巴萨的球员想要点球，显然是不现实的                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
44'阿尔维斯这一次边路传中落点不错~                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
44'胡安弗兰头球破坏出底线                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
45'库尔图瓦今天都快要着凉了吧                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
45'上半场巴萨就没有一次射正的情况                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
45'伊涅斯塔的直塞出现了失误~                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
46'内马尔就地反抢，拉倒了胡安弗兰                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
46'上半场要补时1分钟                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
46'内马尔逼得了一个角球                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
46'下半场比赛开始了                   43'第43分钟，法布雷加斯同样在禁区右侧边缘摔倒，裁判韦伯同样不予理会
48'巴萨的角球~                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
48'传中没有取得效果                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
50'伊涅斯塔大范围转移，阿尔维斯第一下没停好                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
50'马竞完全放弃了中场                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
51'有吗？禁区内犯规了                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
51'阿尔巴~接应队友的传球，手球了                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
51'巴萨后场断球~反击的机会                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
51'内马尔脚下粘球了~                   48'第48分钟，哈维直传内马尔，巴西人第一时间错过射门机会，库尔图瓦及时出击将皮球拦出
53'角球给出来，阿尔维斯长传~出了底线                   53'第53分钟，梅西传球，法布雷加斯禁区左侧的射门被封堵
54'哈维中场抢断，在对方的反抢之下巴萨的反击没办法打出来                   53'第53分钟，梅西传球，法布雷加斯禁区左侧的射门被封堵
55'下半场巴萨的速度稍微提快了一点                   53'第53分钟，梅西传球，法布雷加斯禁区左侧的射门被封堵
56'梅西回撤来要球~                   53'第53分钟，梅西传球，法布雷加斯禁区左侧的射门被封堵
56'巴萨又一次失误了~                   53'第53分钟，梅西传球，法布雷加斯禁区左侧的射门被封堵
56'比利亚断球之后体能跟不上了                   53'第53分钟，梅西传球，法布雷加斯禁区左侧的射门被封堵
65'传中出来，又是马竞的球员顶到了头球                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
65'平托将球得到                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
65'马竞将阵线前提~                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
65'这是巴萨打反击的好机会么？                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
66'梅西为巴萨赢得了一个位置不错的定位球                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
67'看了大半场比赛，马竞并没有给巴萨多少定位球机会                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
67'梅西的定位球射门击中了人墙                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
67'马竞的反击~                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
67'阿尔巴的速度体现出了优势                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
68'巴萨仿佛又睡着了                   65'第65分钟，比利亚头球摆渡，迭戈突入禁区右侧小角度射门被平托扑出，随后小角度补射又被布斯克茨挡出
70'马竞角球传中落点不好                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
70'平托伸手将球摘下                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
71'比利亚倒在了巴萨的禁区内                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
71'裁判示意比赛继续                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
71'巴萨的后卫堵了枪眼~                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
71'佩德罗换下了伊涅斯塔                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
71'巴萨用上了4前锋                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
72'今年佩德罗也是伤病很多                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
73'阿尔维斯为巴萨制造了一个角球                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
73'战术角球~阿尔巴传中！                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
73'队友没办法抢到落点                   70'马竞第70分钟也错过机会，比利亚传球，加比突入禁区左侧12码处推射被平托用腿挡出底线
79'同样的，看台上的马竞球迷也很着急                   78'巴萨第78分钟险些扳平，桑切斯右路传中，内马尔11码处头球攻门擦左侧立柱偏出
79'越是临近比赛结束，就越危险                   78'巴萨第78分钟险些扳平，桑切斯右路传中，内马尔11码处头球攻门擦左侧立柱偏出
80'布斯克茨脚下一慢，被断球了                   78'巴萨第78分钟险些扳平，桑切斯右路传中，内马尔11码处头球攻门擦左侧立柱偏出
80'罗德里格斯带球行进中拉倒了哈维被吹犯规                   78'巴萨第78分钟险些扳平，桑切斯右路传中，内马尔11码处头球攻门擦左侧立柱偏出
81'阿尔维斯右路传中，给到了后点~                   78'巴萨第78分钟险些扳平，桑切斯右路传中，内马尔11码处头球攻门擦左侧立柱偏出
86'巴萨制造了一个角球                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
86'哈维角球传中被对方后卫顶到                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
87'还是想起脚传中~没效果啊                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
87'而且巴萨也缺少能远射的人                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
87'让马竞的防守就更简单了                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
88'到现在巴萨已经完全放弃了自己的传统打法                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
88'罗德里格斯~~~                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
89'反击中带球到了禁区内~左脚小角度打门被平托扑出                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
89'马斯切拉诺完全跟不上对方的脚步                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
89'马竞丢球之后的犯规为他们的退防赢得了时间                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
89'不过科克被出示了一张黄牌                   86'第86分钟，科凯前场左路抢断后传球，劳尔-加西亚禁区弧边缘低射偏出
