1'上半场比赛开始了，先由阿森纳开球                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
21'阿森纳中场卡索拉分球到左侧给桑切斯，球被对手铲出边线                   18'第18分钟，张伯伦禁区右侧传中，吉鲁10码处抢点令皮球击中右侧立柱弹回，法国中锋近距离补射又被爱德华多用腿挡出
40'任意球试图传到人墙前面！球被后卫破坏                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
40'吉鲁后场防守踢人犯规！！黄牌！！！                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
40'吉鲁之前拿到过黄牌啊！两黄变红被罚下了！                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
41'吉鲁的红牌两次黄牌都比较勉强                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
41'特别是第一次，就是一次普通的高球拼抢                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
41'温格也是对判罚极不满意！！                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
42'萨格勒布任意球射门打在人墙上！                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
42'这样的话，阿森纳就麻烦了。                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
42'阿森纳现在没有了前锋，人数少一人，比分还落后                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
42'看看温格如何调整吧                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
43'萨格勒布右边路通过简单的2过1打穿了防守                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
43'但萨格勒布的边路传中质量太差！                   40'阿森纳第40分钟遭遇打击，伊沃-平托远射被封堵后试图再次控制皮球，吉鲁禁区前将其钩倒累计两张黄牌被罚下
58'2-0！！费尔南德斯，角球发到前点，费尔南德斯头球攻门顶入近角！！                   58'萨格勒布迪纳摩第58分钟扩大比分，儒尼奥尔-费尔南德斯12码处射门被德布希铲堵出底线
58'这下阿森纳就没办法了啊！2球落后                   58'萨格勒布迪纳摩第58分钟扩大比分，儒尼奥尔-费尔南德斯12码处射门被德布希铲堵出底线
59'进球一瞬间，萨格勒布替补席沸腾了！                   58'萨格勒布迪纳摩第58分钟扩大比分，儒尼奥尔-费尔南德斯12码处射门被德布希铲堵出底线
59'张伯伦右边路一路带球突破到底线，传中传出了底线！可惜                   58'萨格勒布迪纳摩第58分钟扩大比分，儒尼奥尔-费尔南德斯12码处射门被德布希铲堵出底线
59'看台上萨格勒布球迷也是欢呼雀跃啊！                   58'萨格勒布迪纳摩第58分钟扩大比分，儒尼奥尔-费尔南德斯12码处射门被德布希铲堵出底线
61'萨格勒布后场抢断长传反击，球被科斯切尔尼头球破坏                   58'萨格勒布迪纳摩第58分钟扩大比分，儒尼奥尔-费尔南德斯12码处射门被德布希铲堵出底线
79'阿森纳扳回一球！！沃尔科特  2-1                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
79'阿森纳中场抢断后，桑切斯送出直塞！沃尔科特快速前插形成单刀，面对出击的门将推射远角得分！                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
80'80分钟，阿森纳将比分扳成1-2，还落后一球                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
80'阿森纳右侧坎贝尔拿球，转身过人后只剩！前插的德布希被阻挡，裁判没有吹罚                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
81'坎贝尔右侧控球，被对手拉拽，裁判依然无动于衷                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
81'坎贝尔右侧斜传到禁区里，沃尔科特头球没有蹭到皮球！                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
82'萨格勒布换人，30号罗格换下安东里奇                   79'阿森纳第79分钟扳回一城，桑切斯直传，沃尔科特突入禁区左侧12码处单刀推射入网，1-2
