4'楚克乌泽右侧内切！                   2'开场仅2分钟，弗尔纳斯传球，楚克乌泽突入禁区右侧低射近角被扑出
20'阿森霍选位有问题！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
20'飞身扑不到！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
21'球弹进了！！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
21'皇马20分钟就完成了逆转！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
22'比利亚雷亚尔左侧挑传禁区中路！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
22'被解围出去！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
22'卡瓦哈尔点给瓦拉内！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
22'回传库尔图瓦！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
23'长传前场右侧！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
23'巴斯克斯争顶犯规了！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
33'往回带趟大了！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'分中路贝尔！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'给禁区左侧！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'本泽马打门被挡出！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'弧顶克罗斯得球！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'左脚爆射！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'阿森霍扑救脱手了！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'莫德里奇禁区右侧补射！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'球进了！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'但是越位在先了！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
33'拉云险些酿成大祸！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'莫德里奇斜传前场右侧本泽马！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'交给巴斯克斯！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'回传本泽马！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'回传给卡瓦哈尔！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'横传给中圈瓦拉内！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'长传找左侧马塞洛！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
34'给大了出了边线！                   33'第33分钟，贝尔传球，本泽马禁区左侧射门被封堵挡出，克罗斯禁区弧边缘射门被扑出，摩德里奇补射破门因越位在先被判无效
65'巴斯克斯中路连续突破！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
65'强行拿到一个单刀！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
65'选择推射！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
65'被门将挡出右侧底线！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
65'巴斯克斯错失良机啊！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
65'点球点的单刀推射被扑出！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'皇马右侧角球！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'给到前点！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'被解围出底线！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'皇马继续右侧角球！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'角球给禁区中路！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'被破坏出去！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'伊斯科左侧得球！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'回传马塞洛！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'传中球送给了对手！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'比利亚雷亚尔反击给前场右侧1                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
66'楚乌泽得球内切禁区！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
67'横传球没有队友拿到！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
67'偏出了禁区！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
67'马塞洛左侧突破禁区！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
67'内切右脚打门！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
68'被防守球员挡出！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
68'马塞洛左侧得球回传克罗斯！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
68'交给巴斯克斯！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
68'被绊倒犯规！                   65'皇马第65分钟错过机会，黄色潜水艇后卫相撞出现失误，卢卡斯12码处单刀射门被阿森霍挡出底线
82'比利亚雷亚尔后场推进！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
82'左侧挑传禁区！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
82'传中到小禁区前沿！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
82'卡索拉头球攻门！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
82'球进了！！！！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
82'比利亚雷亚尔扳平了！！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
83'这球穿了库尔图瓦大小龙门啊！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
83'一个无意义的跃起！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
83'上纳瓦斯不至于这样不稳啊！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
84'皇马左侧分球失误！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
84'比利亚雷亚尔反击长传找巴卡！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
84'越位了！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'伊斯科禁区线上打门被扑出！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'比利亚雷亚尔左侧推进！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'失误了！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'巴斯克斯交给拉莫斯！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'分左侧马塞洛！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'回传克罗斯！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
85'斜传失误了！                   82'比利亚雷亚尔第82分钟扳平，弗尔纳斯禁区左侧传中，无人防守的卡索拉近距离顶出反弹球从库尔图瓦双腿间穿过入网，2-2
