2'王长杰给王永珀                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
19'回给中线附近队友                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
19'王杰分左路赵旭日                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
19'低平球被伊沃拦截                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
29'右侧角球开出                   29'比赛僵局在第29分钟被河南建业率先打破
29'禁区前沿争顶                   29'比赛僵局在第29分钟被河南建业率先打破
29'陈灏顶到，球打到储今朝身上出界                   29'比赛僵局在第29分钟被河南建业率先打破
29'建业队角球                   29'比赛僵局在第29分钟被河南建业率先打破
29'左侧开出                   29'比赛僵局在第29分钟被河南建业率先打破
29'里卡多奋力一跃                   29'比赛僵局在第29分钟被河南建业率先打破
29'头球进啦！！！！                   29'比赛僵局在第29分钟被河南建业率先打破
30'比赛进行到第29分钟，在小禁区前沿，里卡多接左侧开出的角球，奋力将球顶入球门右侧！！！                   29'比赛僵局在第29分钟被河南建业率先打破
31'建业队在客场先声夺人！                   29'比赛僵局在第29分钟被河南建业率先打破
31'建业这场会带来惊喜吗                   29'比赛僵局在第29分钟被河南建业率先打破
32'权健要抓紧了                   29'比赛僵局在第29分钟被河南建业率先打破
32'权健队员将球碰出边线                   29'比赛僵局在第29分钟被河南建业率先打破
32'建业队边线球                   29'比赛僵局在第29分钟被河南建业率先打破
32'伊沃被推到                   29'比赛僵局在第29分钟被河南建业率先打破
