1'比赛开始了，曼城率先开球                   1'曼城第1分钟控制比赛
12'古赞立了大功啊，扑的漂亮                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
13'曼城再次的角球没造成威胁                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
13'曼城连续的进攻，又是莱斯科特禁区内的解围，给了对手角球机会                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
13'纳瓦斯传中，奥塔门迪后蹭，曼城后点没有人包抄                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
14'维拉右路进攻，韦勒图传给哈顿                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
14'哈顿下底传中，阿邦拉霍中路跟进，但球被出击的哈特收下                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
14'左路曼城的进攻，克里希助攻上来，斜传一个低球到禁区内，给的非常舒服                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
36'奥塔门迪今天很活跃啊，频频参与进攻                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
36'维拉今天摆大巴，虽然也有破绽，但古赞神勇发挥力保大门不失                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
37'阿圭罗反击拿球，快速推进                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
37'分边给费尔南迪尼奥，左侧面对理查兹                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
37'费尔南迪尼奥把球给到中间找阿圭罗，莱斯科特把球挡下                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
38'萨尼亚右路回敲给的小了                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
38'孔帕尼上前一步，抢在阿尤之前把球捅出                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
38'阿尤收脚不及，踢到了孔帕尼被吹犯规                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
38'右路曼城把球开起来                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
39'禁区内博尼再次抢到点，顶出一个吊门，对古赞没什么威胁                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
39'曼城中路的一脚直塞，阿圭罗跑过了位置                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
39'纳瓦斯禁区内再插，古赞出击把球踢出边线                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
39'奥塔门迪左路给克里希，再找费尔南迪尼奥                   36'维拉上半场唯一机会出现在第36分钟，乔丹-阿尤混战中禁区边缘内低射右下角被乔-哈特扑出
48'右路纳瓦斯得球，面对西索科，飙起来                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
48'强行从外道超车，被西索科铲出底线                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
48'角球开出，门前制造混乱，阿邦拉霍踢出边线                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
48'曼城进球了                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
49'亚亚图雷的进球                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
49'此时此刻值得来杯嘉士伯                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
50'边线球给到阿圭罗，阿圭罗迅速突破下底倒三角给中间席尔瓦，席尔瓦在横拨给亚亚图雷，亚亚图雷顺势推射，打在理查兹腿上稍稍变线，滚入左下角，古赞扑救不及                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
50'曼城下半场刚刚开始就取得进球了                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
50'连续的破门啊，曼城迅速扩大比分了                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
51'这次是阿圭罗的进球，博尼送出助攻                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
51'此时此刻值得来杯嘉士伯                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
51'这个球又是和理查兹有关啊，理查兹倒霉蛋                   48'曼城下半场开场3分钟连入2球，第48分钟，阿圭罗突入禁区右侧回传，席尔瓦横传中路，亚亚-图雷13码处第一时间扫射入网
59'下底传中，到后点啊，稍稍大了一些                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
59'右路纳瓦斯突破，内切过来，横拨阿圭罗                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
59'阿圭罗左脚一停，右脚跟上就射，踢在莱斯科特身上                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
60'席尔瓦中场得球，在给克里希，阿圭罗出来接应                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
60'维拉不积极啊，士气有些受打击啊                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
60'曼城走着踢，维拉也不怎么紧逼上抢                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
60'曼城又进球了                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
61'阿圭罗梅开二度，这次助攻的是大卫席尔瓦                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
61'此时此刻值得来杯嘉士伯                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
62'阿圭罗左侧领球过来，突破之后和席尔瓦做二过一配合，席尔瓦巧妙给入禁区内，阿圭罗停球摆脱理查兹顺势抽射，角度不大的情况下把握住机会攻入左下死角                   59'曼城第59分钟锁定胜局，阿圭罗同席尔瓦踢墙配合，后者凌空直传，阿圭罗胸部停球后禁区左侧12码处抽射反弹球入左下角，3-0
66'场面进程来看，完全在曼城的掌控之中                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
66'右侧曼城进攻过来，禁区内连续的传递，斯特林起脚之际被克拉克抢先捅掉                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
66'曼城继续猛攻，纳瓦斯下底传中，又有了                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
66'斯特林进球了，纳瓦斯的助攻                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
66'此时此刻值得来杯嘉士伯                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
68'萨尼亚右侧给到纳瓦斯，纳瓦斯下底，低球横敲到门前，穿越了整条防线，斯特林小禁区包抄在哈顿身后轻松推射，几乎是打空门                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
68'确实啊，博尼打了60分钟不进球，斯特林上来没多一会就开胡啊                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
68'曼城下半场短短20多分钟连轰4球，维拉这场算是彻底交待了                   66'第66分钟，纳瓦斯禁区右侧传中，皮球穿过维拉数人防线，斯特林远点8码处推射破门，4-0
73'伊赫纳乔禁区内突破，急停之后被防守他的克拉克扫倒在地，梅森果断吹了点球                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
73'阿圭罗主罚点球，打进就是帽子戏法                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
74'阿圭罗助跑，推射右下角，要的很刁钻，重重击中立柱，弹出底线                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
74'维拉继续换人，韦勒图下来，巴库纳上来                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
75'阿圭罗啊，真是浪费机会啦，射手榜上他还需要迈开大步去追赶                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
76'维拉上下半场判若两队，这样的表现，起伏太大了，这场下来维拉的自信又将遭受打击啊                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
76'曼城右路继续打传控                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
76'孔帕尼右侧直塞给到伊赫纳乔                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
76'伊赫纳乔转身突破，突施冷箭，偏了                   73'第73分钟，克拉克禁区内对伊赫纳乔犯规，阿圭罗主罚点球击中右侧立柱弹出
