8'拜仁慕尼黑球员沙奇里大禁区外左脚射门,被防守球员封堵.给他传球的是克罗斯.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
53'拜仁慕尼黑球员拉菲尼亚一脚直塞球给沙奇里,但是边裁举旗显示后者已经越位.                   51'第51分钟，沙奇里左侧开出角球，罗本在门前7米处头球高出
54'拜仁慕尼黑球员穆勒大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是皮萨罗.                   51'第51分钟，沙奇里左侧开出角球，罗本在门前7米处头球高出
54'佐尔格为弗赖堡赢得一个任意球.                   51'第51分钟，沙奇里左侧开出角球，罗本在门前7米处头球高出
54'拜仁慕尼黑球员克罗斯拼抢犯规,对手获得控球权.                   51'第51分钟，沙奇里左侧开出角球，罗本在门前7米处头球高出
64'拜仁慕尼黑换人,格策换下拉姆                   64'第64分钟，格策换下拉姆
65'弗赖堡球员默罕默迪大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是金特尔.                   64'第64分钟，格策换下拉姆
65'拜仁慕尼黑球员克罗斯大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是皮萨罗.                   64'第64分钟，格策换下拉姆
67'赫恩为弗赖堡在对方半场,赢得一个任意球.                   64'第64分钟，格策换下拉姆
67'拜仁慕尼黑球员克罗斯拼抢犯规,对手获得控球权.                   64'第64分钟，格策换下拉姆
67'黄牌！拜仁慕尼黑球员克罗斯因为恶意犯规,被主裁判出示黄牌.                   64'第64分钟，格策换下拉姆
77'射门!!!拜仁慕尼黑球员皮萨罗大禁区外左脚射门,被对方守门员横身扑出.给他传球的是罗本.                   77'第77分钟，皮萨罗在门前18米处低射被鲍曼托出左门柱
77'鲍曼将球处理出底线,拜仁慕尼黑获得角球.                   77'第77分钟，皮萨罗在门前18米处低射被鲍曼托出左门柱
78'拜仁慕尼黑换人,范比滕换下罗本                   77'第77分钟，皮萨罗在门前18米处低射被鲍曼托出左门柱
79'拜仁慕尼黑球员格策大禁区外右脚射门,被防守球员封堵.给他传球的是哈维-马丁内斯.                   77'第77分钟，皮萨罗在门前18米处低射被鲍曼托出左门柱
86'拜仁慕尼黑球员哈维-马丁内斯大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.                   86'第86分钟，马丁内斯单刀突入禁区右侧，左看右看没人可传，自己推射击中边网
87'弗赖堡球员舒斯特大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是费尔南德斯.                   86'第86分钟，马丁内斯单刀突入禁区右侧，左看右看没人可传，自己推射击中边网
88'进球啦！！！拜仁慕尼黑球员皮萨罗大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是格策. 拜仁慕尼黑 4-0 弗赖堡.                   86'第86分钟，马丁内斯单刀突入禁区右侧，左看右看没人可传，自己推射击中边网
