2'勒沃库森球员雷纳茨尝试,可惜皮球偏出球门.                   1'第1分钟，施特里德出现在左路
49'射门!!!勒沃库森球员罗尔费斯,被对方守门员横身扑出.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
50'                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
51'勒沃库森球员拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
51'拉姆为拜仁慕尼黑赢得一个任意球.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
66'射门!!!勒沃库森球员罗尔费斯,被对方守门员横身扑出.                   66'第66分钟，孙兴O禁区内回做，罗尔费斯在门前16米处左脚推射被诺伊尔得到
68'勒沃库森球员拼抢犯规,对手获得控球权.                   66'第66分钟，孙兴O禁区内回做，罗尔费斯在门前16米处左脚推射被诺伊尔得到
68'Rico Strieder为拜仁慕尼黑赢得一个任意球.                   66'第66分钟，孙兴O禁区内回做，罗尔费斯在门前16米处左脚推射被诺伊尔得到
69'贝拉拉比为勒沃库森赢得一个任意球.                   66'第66分钟，孙兴O禁区内回做，罗尔费斯在门前16米处左脚推射被诺伊尔得到
69'拜仁慕尼黑球员拼抢犯规,对手获得控球权.                   66'第66分钟，孙兴O禁区内回做，罗尔费斯在门前16米处左脚推射被诺伊尔得到
76'勒沃库森球员拼抢犯规,对手获得控球权.                   76'第76分钟，特勒胸部停球直传，格策禁区右侧单刀射门犹豫，距门10米处推射被莱诺封堵
76'格策为拜仁慕尼黑赢得一个任意球.                   76'第76分钟，特勒胸部停球直传，格策禁区右侧单刀射门犹豫，距门10米处推射被莱诺封堵
76'射门!!!拜仁慕尼黑球员格策,被对方守门员横身扑出.                   76'第76分钟，特勒胸部停球直传，格策禁区右侧单刀射门犹豫，距门10米处推射被莱诺封堵
77'将球处理出底线,获得角球.                   76'第76分钟，特勒胸部停球直传，格策禁区右侧单刀射门犹豫，距门10米处推射被莱诺封堵
