3'上海上港球员蔡慧康大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是武磊.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
32'傅欢为上海上港赢得一个任意球.                   32'第32分钟，冯仁亮右路突入禁区制造角球，他主罚右侧角球开到前点被武磊解围
33'傅欢将球处理出底线,广州恒大获得角球.                   32'第32分钟，冯仁亮右路突入禁区制造角球，他主罚右侧角球开到前点被武磊解围
35'上海上港球员卡贝萨斯大禁区中央尝试左脚射门,可惜皮球高出球门.                   32'第32分钟，冯仁亮右路突入禁区制造角球，他主罚右侧角球开到前点被武磊解围
42'赵旭日为广州恒大赢得一个任意球.                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
42'上海上港球员卡贝萨斯拼抢犯规,对手获得控球权.                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
42'赵旭日为广州恒大在右路,赢得一个任意球.                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
42'上海上港球员卡贝萨斯拼抢犯规,对手获得控球权.                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
45'+1'弋腾将球处理出底线,上海上港获得角球.                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
45'+2'上半场结束,上海上港 0-0 广州恒大,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
45'广州恒大换人,黄佳强换下赵鹏                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
45'上海上港换人,朱峥嵘换下林创益                   42'第42分钟，赵旭日右路拿球，卡贝萨斯防守犯规，廖力生主罚任意球传到前点被解围
50'弋腾将球处理出底线,上海上港获得角球.                   49'易边再战，第49分钟上港队角球被解围后形成二次进攻，蔡慧康突入禁区一脚低射变向后出底线
50'上海上港球员蔡慧康大禁区外右脚射门,被防守球员封堵.给他传球的是李运秋.                   49'易边再战，第49分钟上港队角球被解围后形成二次进攻，蔡慧康突入禁区一脚低射变向后出底线
50'弋腾将球处理出底线,上海上港获得角球.                   49'易边再战，第49分钟上港队角球被解围后形成二次进攻，蔡慧康突入禁区一脚低射变向后出底线
52'上海上港球员朱峥嵘大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是李运秋.                   49'易边再战，第49分钟上港队角球被解围后形成二次进攻，蔡慧康突入禁区一脚低射变向后出底线
56'广州恒大球员弋腾拼抢犯规,对手获得控球权.                   56'第56分钟，朱峥嵘任意球传中，王龀后点头球攻门，皮球砸在李帅身上出了边线
56'卡贝萨斯为上海上港在左路,赢得一个任意球.                   56'第56分钟，朱峥嵘任意球传中，王龀后点头球攻门，皮球砸在李帅身上出了边线
57'上海上港球员王燊超球门右侧小角度头球,命中门柱右侧立柱.给他传球的是朱峥嵘.                   56'第56分钟，朱峥嵘任意球传中，王龀后点头球攻门，皮球砸在李帅身上出了边线
61'上海上港球员卡贝萨斯一脚直塞球给武磊,但是边裁举旗显示后者已经越位.                   61'占据优势的上港队在防守时出现失误，广州恒大在第61分钟取得进球――黄佳强底线处倒三角回传，冯俊彦中路跟进推射空门得手，1-0，恒大队本场比赛第一次像样的进攻就取得进球
61'广州恒大球员开提大禁区外右脚射门,被防守球员封堵.给他传球的是杨超声.                   61'占据优势的上港队在防守时出现失误，广州恒大在第61分钟取得进球――黄佳强底线处倒三角回传，冯俊彦中路跟进推射空门得手，1-0，恒大队本场比赛第一次像样的进攻就取得进球
61'广州恒大球员杨超声大禁区右侧右脚射门,被防守球员封堵.                   61'占据优势的上港队在防守时出现失误，广州恒大在第61分钟取得进球――黄佳强底线处倒三角回传，冯俊彦中路跟进推射空门得手，1-0，恒大队本场比赛第一次像样的进攻就取得进球
62'进球啦！！！广州恒大球员冯俊彦大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是黄佳强. 上海上港 0-1 广州恒大.                   61'占据优势的上港队在防守时出现失误，广州恒大在第61分钟取得进球――黄佳强底线处倒三角回传，冯俊彦中路跟进推射空门得手，1-0，恒大队本场比赛第一次像样的进攻就取得进球
69'上海上港换人,郑达伦换下卡贝萨斯                   69'第69分钟傅欢左路传中，武磊点球点附近甩头攻门打高
70'上海上港球员武磊大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是傅欢.                   69'第69分钟傅欢左路传中，武磊点球点附近甩头攻门打高
70'广州恒大换人,胡威威上,张宏楠因伤下场.                   69'第69分钟傅欢左路传中，武磊点球点附近甩头攻门打高
71'麦克布雷恩为上海上港在对方半场,赢得一个任意球.                   69'第69分钟傅欢左路传中，武磊点球点附近甩头攻门打高
71'广州恒大球员秦升拼抢犯规,对手获得控球权.                   69'第69分钟傅欢左路传中，武磊点球点附近甩头攻门打高
72'上海上港球员麦克布雷恩大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是武磊.                   69'第69分钟傅欢左路传中，武磊点球点附近甩头攻门打高
76'上海上港球员武磊大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是麦克布雷恩.                   75'第75分钟，傅欢禁区外搓传，麦克布林头球回做，武磊跟进凌空抽射打偏
76'广州恒大球员赵旭日拼抢犯规,对手获得控球权.                   75'第75分钟，傅欢禁区外搓传，麦克布林头球回做，武磊跟进凌空抽射打偏
76'蔡慧康为上海上港赢得一个任意球.                   75'第75分钟，傅欢禁区外搓传，麦克布林头球回做，武磊跟进凌空抽射打偏
78'广州恒大球员胡威威拼抢犯规,对手获得控球权.                   75'第75分钟，傅欢禁区外搓传，麦克布林头球回做，武磊跟进凌空抽射打偏
78'傅欢为上海上港在左路,赢得一个任意球.                   75'第75分钟，傅欢禁区外搓传，麦克布林头球回做，武磊跟进凌空抽射打偏
83'上海上港球员武磊大禁区中央尝试头球,可惜皮球高出球门.给他传球的是朱峥嵘.                   82'第82分钟麦克布林弧顶处射门，皮球打到秦升手臂上但裁判未判
84'上海上港球员郑达伦大禁区右侧右脚射门,被防守球员封堵.给他传球的是麦克布雷恩.                   82'第82分钟麦克布林弧顶处射门，皮球打到秦升手臂上但裁判未判
84'荣昊将球处理出底线,上海上港获得角球.                   82'第82分钟麦克布林弧顶处射门，皮球打到秦升手臂上但裁判未判
85'上海上港球员李运秋一脚直塞球给武磊,但是边裁举旗显示后者已经越位.                   82'第82分钟麦克布林弧顶处射门，皮球打到秦升手臂上但裁判未判
89'进球啦！！！上海上港球员麦克布雷恩小禁区右侧头球,球从右下角飞进球门,球进了!助攻的是朱峥嵘. 上海上港 1-1 广州恒大.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'广州恒大球员杨超声拼抢犯规,对手获得控球权.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'蔡慧康为上海上港赢得一个任意球.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+1'上海上港球员武磊大禁区中央尝试,可惜皮球稍稍偏出了左球门.给他传球的是傅欢.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+2'杨超声为广州恒大在右路,赢得一个任意球.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+2'上海上港球员蔡慧康拼抢犯规,对手获得控球权.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+3'广州恒大球员秦升拼抢犯规,对手获得控球权.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+3'朱峥嵘为上海上港赢得一个任意球.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+4'上海上港球员郑达伦球门右侧小角度左脚射门,被防守球员封堵.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+4'上海上港球员麦克布雷恩大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是李运秋.                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'+5'下半场结束,上海上港 1-1 广州恒大                   89'第89分钟，朱峥嵘禁区左侧连续晃动后下底搓传，后点无人盯防的麦克布林头槌将球砸进网窝
90'广州恒大球员杨超声拼抢犯规,对手获得控球权.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'蔡慧康为上海上港赢得一个任意球.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+1'上海上港球员武磊大禁区中央尝试,可惜皮球稍稍偏出了左球门.给他传球的是傅欢.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+2'杨超声为广州恒大在右路,赢得一个任意球.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+2'上海上港球员蔡慧康拼抢犯规,对手获得控球权.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+3'广州恒大球员秦升拼抢犯规,对手获得控球权.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+3'朱峥嵘为上海上港赢得一个任意球.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+4'上海上港球员郑达伦球门右侧小角度左脚射门,被防守球员封堵.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+4'上海上港球员麦克布雷恩大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是李运秋.                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
90'+5'下半场结束,上海上港 1-1 广州恒大                   90'最终经过90分钟鏖战，广州恒大客场1-1战平上海上港，积分达到74分
