7'张小宇为辽宁宏运赢得一个任意球.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
54'张小宇为辽宁宏运赢得一个任意球.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
54'长春亚泰球员吕建军拼抢犯规,对手获得控球权.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
55'辽宁宏运球员王皓拼抢犯规,对手获得控球权.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
55'伊萨克为长春亚泰在右路,赢得一个任意球.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
55'黄牌！辽宁宏运球员王皓因为恶意犯规,被主裁判出示黄牌.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
56'射门!!!长春亚泰球员张文钊大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是曹添堡.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
56'刘洋将球处理出底线,长春亚泰获得角球.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
57'张小宇为辽宁宏运在左路,赢得一个任意球.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
57'长春亚泰球员吕建军拼抢犯规,对手获得控球权.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
55'辽宁宏运球员王皓拼抢犯规,对手获得控球权.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
55'伊萨克为长春亚泰在右路,赢得一个任意球.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
55'黄牌！辽宁宏运球员王皓因为恶意犯规,被主裁判出示黄牌.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
56'射门!!!长春亚泰球员张文钊大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是曹添堡.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
56'刘洋将球处理出底线,长春亚泰获得角球.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
57'张小宇为辽宁宏运在左路,赢得一个任意球.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
57'长春亚泰球员吕建军拼抢犯规,对手获得控球权.                   55'第55分钟，亚泰队前场进攻，曹添堡传球，张文钊禁区远端凌空射门，被门将刘D封出底线，辽宁宏运队逃过一劫
68'刘洋为辽宁宏运赢得一个任意球.                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
68'长春亚泰球员张文钊拼抢犯规,对手获得控球权.                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
68'长春亚泰换人,雷泽克换下刘晓东                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
69'辽宁宏运球员郑涛大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是布兰丹.                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
70'王亮将球处理出底线,长春亚泰获得角球.                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
70'长春亚泰球员张文钊手球犯规,对手获得球权.                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
70'黄牌！长春亚泰球员张文钊因为恶意犯规,被主裁判出示黄牌.                   67'第67分钟，长春亚泰做出人员调整20号雷泽克换下19号刘晓东
74'长春亚泰球员曹添堡大禁区中央右脚射门,被防守球员封堵.给他传球的是张文钊.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
74'射门!!!长春亚泰球员张文钊小禁区左侧右脚射门,被对方守门员横身扑出.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
74'射门!!!长春亚泰球员伊萨克小禁区左侧左脚射门,被对方守门员横身扑出.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
74'刘洋将球处理出底线,长春亚泰获得角球.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
75'辽宁宏运换人,王珐换下张小宇                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
75'辽宁宏运球员郑涛拼抢犯规,对手获得控球权.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
75'张文钊为长春亚泰在右路,赢得一个任意球.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
76'射门!!!长春亚泰球员曹添堡大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是张文钊.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
76'进球啦！！！长春亚泰球员刘卫东球门线跟前头球,球从中路飞进球门,球进了!助攻的是雷泽克. 长春亚泰 1-0 辽宁宏运.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
77'黄牌！长春亚泰球员刘卫东因为进球后脱衣庆祝,被主裁判出示黄牌.                   74'第74分钟，张文钊禁区右侧头球回摆，曹添堡禁区线上射门，打在对方腿上反弹下来，伊萨克得球后门前打门，射门打在门将身上弹出底线
79'王亮为辽宁宏运赢得一个任意球.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
79'长春亚泰球员蒋哲拼抢犯规,对手获得控球权.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
79'黄牌！长春亚泰球员蒋哲因为恶意犯规,被主裁判出示黄牌.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
80'倪玉崧为辽宁宏运在右路,赢得一个任意球.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
80'长春亚泰球员雷泽克拼抢犯规,对手获得控球权.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
81'赵明剑将球处理出底线,辽宁宏运获得角球.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
82'辽宁宏运球员孙世林拼抢犯规,对手获得控球权.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
82'蒋哲为长春亚泰在左路,赢得一个任意球.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
82'黄牌！辽宁宏运球员孙世林因为恶意犯规,被主裁判出示黄牌.                   79'随后亚泰队用蒋哲换下伊萨克，第79分钟刚刚上场的蒋哲因犯规被黄牌警告
84'长春亚泰球员王万鹏球门线跟前尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阎峰.                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
85'辽宁宏运球员孙世林拼抢犯规,对手获得控球权.                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
85'蒋哲为长春亚泰赢得一个任意球.                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
86'长春亚泰蒋哲受伤倒地,比赛暂停                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
87'暂停结束,球员们重新开始比赛.                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
87'杨善平将球处理出底线,长春亚泰获得角球.                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
87'射门!!!长春亚泰球员蒋哲大禁区外右脚射门,被对方守门员横身扑出.                   84'第84分钟，长春亚泰队获得任意球机会，阎峰主罚任意球，传到门前，王万鹏俯身轰炸，没顶正部位啊，偏出球门
89'辽宁宏运球员倪玉崧拼抢犯规,对手获得控球权.                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
89'阎峰为长春亚泰赢得一个任意球.                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
90'长春亚泰换人,孙捷换下刘卫东                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
90'辽宁宏运球员张野拼抢犯规,对手获得控球权.                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
90'赵明剑为长春亚泰赢得一个任意球.                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
90'+3'长春亚泰球员孙捷一脚直塞球给雷泽克,但是边裁举旗显示后者已经越位.                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
90'+4'下半场结束,长春亚泰 1-0 辽宁宏运                   89'第89分钟，长春亚泰队换人，孙捷换下进球功臣刘卫东
