2'国际米兰球员桑顿拼抢犯规,对手获得控球权.                   1'国米第1分钟主动出击，埃尔纳内斯禁区前沿抽射被贝纳利奥封出
45'贝纳利奥将球处理出底线,国际米兰获得角球.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
45'卡利朱里为沃尔夫斯堡在对方半场,赢得一个任意球.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
45'国际米兰球员胡安拼抢犯规,对手获得控球权.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
45'+1'沃尔夫斯堡球员罗德里格斯大禁区外尝试左脚射门,可惜皮球稍稍高出球门.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
45'+2'上半场结束,国际米兰 0-1 沃尔夫斯堡,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
47'特雷施为沃尔夫斯堡在右路,赢得一个任意球.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
47'国际米兰球员科瓦契奇拼抢犯规,对手获得控球权.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
48'卡利朱里为沃尔夫斯堡赢得一个任意球.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
48'国际米兰球员梅德尔拼抢犯规,对手获得控球权.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
68'国际米兰换人,德安布罗西奥换下坎帕尼亚罗                   68'第68分钟，埃尔纳内斯禁区前沿低射稍稍偏出
68'国际米兰球员埃尔纳内斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是伊卡尔迪.                   68'第68分钟，埃尔纳内斯禁区前沿低射稍稍偏出
69'胡安将球处理出底线,沃尔夫斯堡获得角球.                   68'第68分钟，埃尔纳内斯禁区前沿低射稍稍偏出
71'进球啦！！！国际米兰球员帕拉西奥大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是埃尔纳内斯. 国际米兰 1-1 沃尔夫斯堡.                   68'第68分钟，埃尔纳内斯禁区前沿低射稍稍偏出
71'进球啦！！！国际米兰球员帕拉西奥大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是埃尔纳内斯. 国际米兰 1-1 沃尔夫斯堡.                   71'第71分钟，库兹曼诺维奇直传，帕拉西奥与埃尔纳内斯踢墙配合，埃尔纳内斯挑传过顶，帕拉西奥在门前8米处半凌空推射入网，1比1，这是他17场欧战第11球
73'沃尔夫斯堡换人,佩里西奇换下卡利朱里                   71'第71分钟，库兹曼诺维奇直传，帕拉西奥与埃尔纳内斯踢墙配合，埃尔纳内斯挑传过顶，帕拉西奥在门前8米处半凌空推射入网，1比1，这是他17场欧战第11球
74'国际米兰球员库兹曼诺维奇大禁区左侧尝试头球,可惜皮球稍稍高出球门.给他传球的是瓜林.                   71'第71分钟，库兹曼诺维奇直传，帕拉西奥与埃尔纳内斯踢墙配合，埃尔纳内斯挑传过顶，帕拉西奥在门前8米处半凌空推射入网，1比1，这是他17场欧战第11球
