7'毛里西奥左路拿球内切，禁区外围直接起脚远射，打高了                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
27'穆伦加前场禁区拼抢犯规                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
27'姜宁左路拿起给到中场                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
27'热尔维尼奥前场断球又是突，被拦截了                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
28'毛剑卿中场拿球传左路，球力量大了                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
28'丁海峰走路送直塞，拉维奇左路传后点，没人接应                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
29'毛剑卿左路反击，廖均健拉人犯规                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
29'冯绍顺右路斜传禁区右侧，毛里西奥接球转身打门被挡出底线                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
30'糜昊伦角球传前点被解围出去                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
30'热尔维尼奥边路把球碰出界外                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
30'大力手抛球到禁区，穆伦加犯规了                   27'第27分钟，热尔维尼奥在对方禁区弧顶抽射，皮球打在防守球员身上，未能威胁到关震把守的球门
34'董学升进球                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
35'华夏打破僵局，拉维奇禁区左侧传中，董学升小禁区内头球攻门得手，华夏1-0永昌                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
35'这时候鲁本回到场内                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
36'拉维奇左路反抢下来                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
36'丁海峰左路再给拉维奇                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
36'拉维奇再敲丁海峰，丁海峰左路传中，姆比亚头球冲顶偏出                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
37'李超在防守时犯规了                   34'第34分钟，拉维奇在对方禁区外左侧摆脱姜积弘防守后送出传中，董学升近距离头球破门，为河北华夏幸福首开记录，把场上比分改写为1-0
44'拉维奇直塞球，热鸟越位了                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
45'永昌左路下底传后点，冯绍顺后排插上打门将球打进                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
47'姆比亚中路直塞球被挡                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
47'永昌手榴弹掷出                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
47'上半场比赛结束                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
46'下半场比赛开始                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
46'华夏左路进攻，董学升拿球出了底线                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
47'姆比亚给到拉维奇，拉维奇再分罗森文                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
47'廖均健右路传中直接被门将拿到                   44'第44分钟，鲁本送出直塞球，糜昊伦左路送出传中球，禁区内中路跟进的冯绍顺左脚射门，攻破了杨程的十指关，把比分扳为1-1平
47'姆比亚中路直塞球被挡                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
47'永昌手榴弹掷出                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
47'上半场比赛结束                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
47'姆比亚给到拉维奇，拉维奇再分罗森文                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
47'廖均健右路传中直接被门将拿到                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
48'姜宁左路传中到禁区，拉维奇迎球打门，球打在董学升身上弹出                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
48'这球不挡很危险啊                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
48'热尔维尼奥还是往左路给                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
49'罗森文右路拿球上来                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
49'一对一糜昊伦，球出了边线，永昌界外球                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
49'鲁本后场转移右路                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
50'拉维奇转移左路姜宁，姜宁给到丁海峰                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
50'丁海峰横敲，热尔维尼奥内切带多了，被解围                   47'第47分钟，姜宁左路传中，拉维奇在对方禁区内扫射，皮球打在董学升身上
67'丁海峰左路传中被顶出禁区                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
67'姆比亚前场断球横敲热尔维尼奥                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
67'热尔维尼奥禁区右侧扣球摆脱后横传被解围                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
67'华夏幸福换人，李行上场替下罗森文                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
67'卡库塔上场替下拉维奇                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
68'毛剑卿左路带球被金洋洋铲出底线                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
69'鲁本角球传到禁区，球被丁海峰顶了一下，姆比亚再顶出                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
69'姆比亚后场给到姜宁                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
70'卡库塔前场和董学升撞墙，毛剑卿卡住身位                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
70'卡库塔反抢犯规了                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
70'关震大脚开出后场定位球                   67'第67分钟，李铁率先做出换人调整，卡库塔和李行替补出场
47'姆比亚中路直塞球被挡                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
47'永昌手榴弹掷出                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
47'上半场比赛结束                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
47'姆比亚给到拉维奇，拉维奇再分罗森文                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
47'廖均健右路传中直接被门将拿到                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
48'姜宁左路传中到禁区，拉维奇迎球打门，球打在董学升身上弹出                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
48'这球不挡很危险啊                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
48'热尔维尼奥还是往左路给                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
49'罗森文右路拿球上来                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
49'一对一糜昊伦，球出了边线，永昌界外球                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
49'鲁本后场转移右路                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
50'拉维奇转移左路姜宁，姜宁给到丁海峰                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
50'丁海峰横敲，热尔维尼奥内切带多了，被解围                   47'2分钟之后，王鹏带球到河北华夏幸福禁区前沿起脚射门，皮球偏出右侧门柱
87'丁海峰左路拿球横敲姜宁                   87'第87分钟，金洋洋外围大力远射，皮球飞出底线
87'金洋洋外围远射偏出                   87'第87分钟，金洋洋外围大力远射，皮球飞出底线
89'永昌中场拼抢对姆比亚犯规                   87'第87分钟，金洋洋外围大力远射，皮球飞出底线
89'冯绍顺犯规吃到一张黄牌                   87'第87分钟，金洋洋外围大力远射，皮球飞出底线
