7'两队在中场的拼抢很凶                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
31'永昌带球到了禁区弧顶                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
32'帕帕多普洛斯这边铲球犯规                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
32'帕帕多普洛斯得到一张黄牌！                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
32'永昌这边也获得一个位置不错的任意球                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
33'古德约翰森任意球直接打门                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
33'人墙里打在了莫雷诺身上                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
33'打门的是糜昊伦                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
33'不是古德约翰森                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
43'永昌右路起球送禁区内                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
43'前点，队友头球蹭了演习爱                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
43'前点，队友头球蹭了一下                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
44'中路，隆东再打，这球没有反应过来                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
44'隆东也是错过扩大比分的机会                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
45'永昌这边获得角球机会                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
45'角球送前点，永昌这边连续抢到三点                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
45'最后还是没有形成打门的机会                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
45'上半场比赛补时1分钟！                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
45'吕征右路拿球给到中路                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'申花在前场配合不起来                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'莫雷诺右路拿球到了禁区里                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'面对两人的夹击，从中间过去了                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'球过人没过！                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'下半场比赛开始！                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'下半场比赛由上海申花开球                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'永昌一上来就是一个快速反击                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'隆东禁区内拿球被铲倒                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
46'这球是一个好球                   43'第43分钟古德约翰逊右路传中，禁区内穆伦加头球蹭射没碰到，后点隆东凌空抽射高出
45'永昌这边获得角球机会                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
45'角球送前点，永昌这边连续抢到三点                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
45'最后还是没有形成打门的机会                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
45'上半场比赛补时1分钟！                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
45'吕征右路拿球给到中路                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'申花在前场配合不起来                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'莫雷诺右路拿球到了禁区里                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'面对两人的夹击，从中间过去了                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'球过人没过！                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'裁判的哨子响了！                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'莫雷诺假摔！！                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'莫雷诺得到一张黄牌！                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'这球似乎并不是假摔啊                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'下半场比赛开始！                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'下半场比赛由上海申花开球                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'永昌一上来就是一个快速反击                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'隆东禁区内拿球被铲倒                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
46'这球是一个好球                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'比赛一上来，节奏有些加快                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'隆东禁区内面对两人的防守还是强行打门了                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
47'这球低射远角将球打偏了                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
48'申花左路拿球给到登巴巴                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
48'登巴巴没有机会将球回敲                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
48'禁区外围，西索科远射打在防守球员身上                   45'第45分钟莫雷诺右路杀入禁区，漂亮的连过赵容亨和糜昊伦，随后莫雷诺在糜昊伦干扰下倒在禁区，郭宝龙判罚他假摔染黄
50'禁区中路被永昌球员解围出来                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
50'禁区外围，吕征远射将球打偏                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
50'吕征今天打得很积极                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
50'但状态一般                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
51'范凌江左路低平球传进来                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
51'永昌这边将球解围出边线                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
51'申花右路再传禁区                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
51'落点还是不太好                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
51'永昌这段时间有些被动                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
52'登巴巴禁区前沿有机会                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
52'顺着球直接转身抽射                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
52'关震的注意力很集中                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
53'申花前场获得任意球机会                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
53'王赟将球给到禁区内                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
53'第一点被永昌这边解围出来                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
53'点球！！                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
53'石家庄永昌获得点球                   50'第50分钟莫雷诺外围送球，登巴巴在禁区弧内直接转身抽射，球被关震打出
57'申花中场拿球转移到左路                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
57'莫雷诺接球后也是没有出球的机会                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
58'高迪禁区外围打门将球打高                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
58'这球是稍稍高了一点                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
59'申花前场拿球给到右路                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
59'边路直接起球送禁区                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
59'高迪的抢点没有顶到                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
59'这球传的落点还是不错的                   56'申花努力进攻，第56分钟高迪禁区外抽射擦柱而出
65'这段时间场上有点沉闷                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
65'穆伦加禁区内打勾打门打偏了                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
65'这球打得很放松                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
65'申花换人                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
66'莫雷诺下，姜坤上                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
66'永昌前场送直塞                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
66'这球没有传过去                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
67'申花右路拿球给到底线                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
67'边裁这边先举旗示意越位了                   65'第65分钟石家庄队前场精彩配合，穆伦加射门稍稍偏出
71'申花右路拿球                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
71'突然的冷射将球打高了                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
72'申花左路拿球，没有什么机会                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'申花这边又要准备换人                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'永昌这边还没有进行调整                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'申花的角球机会                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'角球送后点，落点不错                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'但是双方球员都没有抢到                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'左路再传禁区                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
73'登巴巴顶的并不好                   70'第70分钟吕征右路过掉糜昊伦之后，左脚怒射稍稍高出
74'申花禁区外围挑传                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
74'球被永昌球员碰了一下出了底线                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
74'角球开出来，落点并不好                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
75'申花换人，王赟下，郑凯木上！                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
75'申花开始为下周的足协杯做准备了                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
76'石家庄永昌换人，糜昊伦下，孙昊晟上！                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
77'申花右路快速突破到底线                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
77'下底到禁区中路被关震得到                   74'第74分钟王赟再次开出角球，高迪后脚跟射门偏出
75'申花换人，王赟下，郑凯木上！                   75'第75分钟，石家庄队用孙昊晟换下糜昊伦
75'申花开始为下周的足协杯做准备了                   75'第75分钟，石家庄队用孙昊晟换下糜昊伦
76'石家庄永昌换人，糜昊伦下，孙昊晟上！                   75'第75分钟，石家庄队用孙昊晟换下糜昊伦
77'申花右路快速突破到底线                   75'第75分钟，石家庄队用孙昊晟换下糜昊伦
77'下底到禁区中路被关震得到                   75'第75分钟，石家庄队用孙昊晟换下糜昊伦
78'西索科中场防守的时候犯规                   75'第75分钟，石家庄队用孙昊晟换下糜昊伦
82'登巴巴前场接球的时候先犯规                   82'第82分钟申花启动最后一次换人，战怡麟换下登巴巴
83'申花换人，登巴巴下，战怡麟上！                   82'第82分钟申花启动最后一次换人，战怡麟换下登巴巴
85'战怡麟禁区内扫了一下                   82'第82分钟申花启动最后一次换人，战怡麟换下登巴巴
90'吕征这边有机会啊                   90'第90分钟申花送出好球，但吕征禁区内卸球后怒射打中边网
90'吕征禁区内停球后单刀，大力抽射近角打在了边网上！                   90'第90分钟申花送出好球，但吕征禁区内卸球后怒射打中边网
91'石家庄永昌换人，古德约翰森下，王子豪上！                   90'第90分钟申花送出好球，但吕征禁区内卸球后怒射打中边网
92'隆东右路下底到中路                   90'第90分钟申花送出好球，但吕征禁区内卸球后怒射打中边网
92'黄世博这边跟进铲射没有碰到                   90'第90分钟申花送出好球，但吕征禁区内卸球后怒射打中边网
92'隆东右路下底到中路                   92'第92分钟隆东右路下底传中，黄世博小禁区内铲射没碰到球
92'黄世博这边跟进铲射没有碰到                   92'第92分钟隆东右路下底传中，黄世博小禁区内铲射没碰到球
