6'鲁能泰山队右路攻到前场，直传球给塔尔德利，对方把球破坏出底线                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
32'任意球发到禁区内，对方把球破坏出来                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
33'王永珀右路传球被抢断，上海申花队横传球到右路进攻                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
33'上海申花队中场传球失误，乌索传球也没能传好                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
33'登巴巴前场得球，想直塞，被挡出来，上海申花队再传球出底线                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
35'蒿俊闵右路下底横传，对方挡出来，王永珀一脚劲射，被门将没收                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
35'鲁能泰山队长传球到前场，有人倒在地上，但主裁判没有吹                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
39'登巴巴在前场右路接球，直传球力量大了                   39'第39分钟刘彬彬左路下底传中，王永珀头球回摆给塔尔德利时轻了一点，被耿晓峰出击拿到
40'刘彬彬左路下底横传，王永珀头球顶门，被耿晓峰没收                   39'第39分钟刘彬彬左路下底传中，王永珀头球回摆给塔尔德利时轻了一点，被耿晓峰出击拿到
40'阿洛伊西奥伤了！倒在地上                   39'第39分钟刘彬彬左路下底传中，王永珀头球回摆给塔尔德利时轻了一点，被耿晓峰出击拿到
41'鲁能泰山队发球还给对手，阿洛伊西奥进场                   39'第39分钟刘彬彬左路下底传中，王永珀头球回摆给塔尔德利时轻了一点，被耿晓峰出击拿到
42'卡希尔右路突破，戴琳大脚破坏出边线                   39'第39分钟刘彬彬左路下底传中，王永珀头球回摆给塔尔德利时轻了一点，被耿晓峰出击拿到
42'界外球发出来，卡希尔接球背身控球，郑铮抢球出边线                   39'第39分钟刘彬彬左路下底传中，王永珀头球回摆给塔尔德利时轻了一点，被耿晓峰出击拿到
48'塔尔德利挑传球，阿洛伊西奥没能控好                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
48'鲁能泰山队长传球打身后，刘彬彬的速度好快，耿晓峰出禁区头球解围                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
49'莫雷诺在前场左路接球回传，再传禁区，王大雷出击没能拿到球                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
49'西索科传球到禁区内，莫雷诺倒勾打门，没有力量                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
50'乌索在前场抢球时受伤倒地，主裁判并没有吹犯规，但吹停了比赛                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
50'乌索是与范凌江撞在一起                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
50'耿晓峰大脚开球到前场，鲁能泰山队断球反击                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
51'塔尔德利右路突破回传，乌索停大啦，李建滨把球破坏出边线                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
51'前场鲁能泰山队得球斜传禁区，耿晓峰没收                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
51'刘彬彬在前场得球，吕征上抢犯规                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
51'乌索前场得球一脚远射，打偏啦！                   48'第48分钟申花头球连续传递，最后莫雷诺倒钩射门被王大雷扑住
52'耿晓峰大脚开球过中场，尤西雷把球点下来                   52'第52分钟塔尔德利射门被陶金挡了一下，阿洛依西奥第二点补射被早有准备的耿晓峰扑出来球
52'刘彬彬横传球，阿洛伊西奥一脚远射，太远啦，没有打上力量，耿晓峰没收                   52'第52分钟塔尔德利射门被陶金挡了一下，阿洛依西奥第二点补射被早有准备的耿晓峰扑出来球
53'刘彬彬回后场拿球，陶金推人犯规                   52'第52分钟塔尔德利射门被陶金挡了一下，阿洛依西奥第二点补射被早有准备的耿晓峰扑出来球
54'塔尔德利右路突破一脚劲射被挡出来，阿洛伊西奥前插抢点补射被耿晓峰挡出                   52'第52分钟塔尔德利射门被陶金挡了一下，阿洛依西奥第二点补射被早有准备的耿晓峰扑出来球
54'刘彬彬回后场拿球，熊飞断球，刘彬彬回身再抢球犯规                   52'第52分钟塔尔德利射门被陶金挡了一下，阿洛依西奥第二点补射被早有准备的耿晓峰扑出来球
55'任意球发到禁区内被破坏出来，阿洛伊西奥争顶时抗人犯规，再送给上海申花队任意球机会                   52'第52分钟塔尔德利射门被陶金挡了一下，阿洛依西奥第二点补射被早有准备的耿晓峰扑出来球
57'莫雷诺边路突破横传球，登巴巴没能接好，球出边线                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
58'刘彬彬左路强突到大禁区线，李建滨犯规！黄牌                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
58'刘彬彬已经形成了突破，李建滨强拉对手，将其放倒                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
58'鲁能泰山队得到前左路大禁区线附近的任意球机会                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
59'王永珀发任意球直接打门，对方破坏出来                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
59'刘彬彬左路横传横传，对方挡出来                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
60'登巴巴左路强突到禁区内下底横传，卡希尔后点头球顶门！碰到郑铮后背弹起高出横梁！                   57'第57分钟李建滨左路防守刘彬彬时拉拽犯规吃到黄牌
64'任意球发到禁区内被破坏，戴琳控球，对方上抢拉人犯规，但主裁判还是吹给了上海申花队前场界外球                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
64'界外球发到禁区内，王大雷没收                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
64'鲁能泰山队长传球，阿洛伊西奥越位                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
65'鲁能泰山队换人：杨旭上场换下王永珀                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
66'莫雷诺中场传球，尤西雷拼抢撞人犯规                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
66'任意球发到前场，郑铮将球破坏出边线                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
66'界外球发出来，上海申花队斜传禁区，登巴巴倒勾打门，偏出！                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
67'[互动话题]比赛还有二十多分钟的时间，请大家预测最终谁能拿到三分？A、申花 B、鲁能 C、各拿一分[qiangda]                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
67'尤西雷前场分边路，蒿俊闵斜塞禁区，对方将球挡出                   64'第64分钟鲁能第一次换人，杨旭换下王永珀
70'吕征发任意球到禁区内，对方顶出来                   70'第70分钟范凌江严重抽筋倒地，第73分钟阿洛依西奥左路远射太正
70'塔尔德利中场得球直传，传得大了些，阿洛伊西奥追不上啦                   70'第70分钟范凌江严重抽筋倒地，第73分钟阿洛依西奥左路远射太正
72'范凌江抽筋啦，今天他的运动量真是不小                   70'第70分钟范凌江严重抽筋倒地，第73分钟阿洛依西奥左路远射太正
73'上海申花队开出边线球，王彤大脚将球破坏                   70'第70分钟范凌江严重抽筋倒地，第73分钟阿洛依西奥左路远射太正
73'上海申花队右路攻到前场，尤西雷上抢把球断下来                   70'第70分钟范凌江严重抽筋倒地，第73分钟阿洛依西奥左路远射太正
74'鲁能泰山队长传前场左路，阿洛伊西奥接球直接打门，被耿晓峰没收                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
74'上海申花队大脚长传前场左路，登巴巴控球，对方抢球出界                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
74'上海申花队换人：郑凯木上场换下范凌江，坚持不了了                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
75'界外球发出来，鲁能泰山队抢球犯规                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
75'任意球发到禁区内，莫雷诺争抢犯规                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
75'鲁能泰山队换人：韩鹏上场换下刘彬彬                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
75'鲁能泰山队要打双塔！                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
76'王大雷大脚开球到前场，对方将球顶出边线                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
76'登巴巴右路强突，已经过去啦，戴琳上抢犯规！红牌！                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
77'戴琳是连拉带绊，不吃红牌才怪呢！                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
77'上海申花队得到任意球机会                   74'第74分钟鲁能用韩鹏换下刘彬彬，山东队开始打双中锋
84'任意球发出来传到禁区，直接出底线                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
86'塔尔德利右路突破横传，对方将球破坏                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
86'吕征右路快速反击，到中场被断                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
86'乌索直传球，韩鹏接球，西索科抢球犯规                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
86'郑铮接乌索传球，左路横传禁区，陶金挡出底线                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
86'鲁能泰山队得到角球机会，比较宝贵                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
87'塔尔德利发角球到禁区内，对方顶出来，蒿俊闵右路横传，又没能传过去                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
87'西索科在前场得球，直传一脚，直接出底线                   84'第84分钟申花外围连续配合，但西索科最后左脚抽射打高
90'吕征飞铲，放倒了郑铮！黄牌，对惜日的队友应该脚下留情啊                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
90'这个黄牌是根据进攻有利没有吹，事后追罚的                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
91'下半场补时 5 分钟                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
91'莫雷诺前场得球，韩鹏背后犯规                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
92'登巴巴发任意球直接打门，高出                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
92'王大雷长传球到前场，杨旭去追，耿晓峰没收                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
93'上海申花队长传球到禁区内，莫雷诺越位，自己倒在地上表示可惜                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
93'登巴巴左路下底横传禁区，两名队员都没能顶到                   90'第90分钟韩鹏在后场防守时对莫雷诺犯规，登巴巴任意球打高
