22'大禁区前沿右侧巴舒亚伊射一脚！被后卫挡出底线！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
26'右路卡普埃拿到分中圈！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
26'阿克后场断球成功！斜传左路阿扎尔！横敲禁区前沿！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
26'坎特再分右路！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
27'阿兹皮利奎塔起球传中！普勒德尔一脚拦截！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
27'中圈附近杜库雷被肯尼迪反抢！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
27'低平球往前送！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
27'前场左路肯尼迪！直接远射！被后卫挡出！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
36'禁区左侧起球门前！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
36'戈麦斯直接扑出底线！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
36'左侧角球！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
36'球吊向禁区！普勒德尔解围！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
36'大禁区右侧阿兹皮利奎塔右脚凌空抽射！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
36'进了进了进了！！！！！！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
37'切尔西２－１领先了啊！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
37'比赛继续！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
37'切尔西再次超出比分！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
38'马里亚帕分右路阿姆拉巴特！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
38'转身摆脱！前场右路横传霍莱巴斯！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
38'遭遇尼昂逼抢！直接碰出了底线！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
38'尼昂这边出血了！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
38'看看啥情况！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
39'被坎特撞了一下鼻子！                   36'切尔西第36分钟再次超出，沃特福德前点解围角球，阿斯皮利奎塔禁区边缘内劲射左下角入网，2-1
49'前场左路威廉拿到！往里带！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
49'小禁区左侧抽射！滑门而过！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
49'后卫碰到了！切尔西右侧角球！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
50'给到中路巴舒亚伊！小禁区前沿！右脚推射！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
50'进了进了进了！！！！！！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
50'切尔西３－１领先！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
52'比赛继续！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
52'这边杜库雷斜传给到左路！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
52'扬马特突入禁区！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
52'右脚推射！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
52'又进了！                   49'切尔西第49分钟扩大比分，阿扎尔战角球传至外围，肯尼迪远射偏转，阿克停球后无私横敲，巴舒亚伊小禁区边缘射入空门，3-1
52'比赛继续！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
52'这边杜库雷斜传给到左路！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
52'扬马特突入禁区！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
52'右脚推射！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
52'又进了！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
53'扬马特再扳回一城！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
53'目前比分３－２！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
53'左路扬马特直传前场！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
53'这边克莱维利犯规了！                   51'沃特福德第51分钟再次拉近差距，特里阻截对方传球，祖马解围落空，扬马特突破至禁区左肋10码处推射远角入网，2-3
74'奥卡卡回敲一下！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
74'后场普勒德尔分球向前给贝赫拉米！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
74'再分边扬马特！横敲中路！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
74'阿姆拉巴特起球至禁区！小禁区前沿！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'奥卡卡杀出右脚低射！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'进了进了进了！！！！！！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'刚刚上场的奥卡卡收获进球！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'目前比分３－３！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'比赛继续！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'切尔西要换人！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
75'埃纳上场换下肯尼迪！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
76'中场克莱维利回敲！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
76'这边巴舒亚伊越位了！                   74'沃特福德第74分钟再次扳平，克莱维利斜传，祖马解围不力，刚刚替补出场的奥卡卡混战中10码处劲射入网，3-3
88'左路佩德罗拿到！直接被坎特拿下！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
88'分大禁区前沿右侧威廉！横敲左侧！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
88'小法跟上再来一脚爆射！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
88'进了进了进了！！！！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
88'切尔西再次领先啊！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
88'比赛继续！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
89'左路霍莱巴斯摆渡至右侧！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
89'阿姆拉巴特低平去向前！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
89'阿克这边碰出边线！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
89'马里亚帕往前一脚斜线球！后场祖玛断下！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
90'中圈附近给到佩德罗这边！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
90'往前带！大禁区前沿右侧！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
90'右脚一脚弧线球吊射！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
90'高了啊！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
90'下半场补时5分钟！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
90'沃特福德球门球！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
91'左路双方拼抢！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
91'普勒德尔这边犯规了！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
91'裁判还出示黄牌！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
91'两黄变一红被罚下了啊！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
91'切尔西中场定位球开出！                   88'第88分钟，威廉禁区右侧假射后横传，小法禁区边缘第一时间扫射入左下角，4-3
