1'上半场比赛开始！                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
38'尼昂右路起球被挡出边线                   38'第38分钟，蒙塔里远射偏出右门柱
38'米兰界外球发出，右路再起送禁区内                   38'第38分钟，蒙塔里远射偏出右门柱
38'球被那不勒斯顶了出来                   38'第38分钟，蒙塔里远射偏出右门柱
39'禁区外围蒙塔里侧身凌空没有打正部位                   38'第38分钟，蒙塔里远射偏出右门柱
39'那不勒斯中场送直塞                   38'第38分钟，蒙塔里远射偏出右门柱
40'卡瓦尼接球的时候越位                   38'第38分钟，蒙塔里远射偏出右门柱
40'蒙托利沃前场挑传往禁区内送                   38'第38分钟，蒙塔里远射偏出右门柱
40'这个球被那不勒斯先破坏了                   38'第38分钟，蒙塔里远射偏出右门柱
40'罗比尼奥中场拿球险些被断                   38'第38分钟，蒙塔里远射偏出右门柱
40'阿巴特右路拿球往前走                   38'第38分钟，蒙塔里远射偏出右门柱
41'尼昂右路传球送到禁区内                   38'第38分钟，蒙塔里远射偏出右门柱
41'帕齐尼停球后准备二次进攻                   38'第38分钟，蒙塔里远射偏出右门柱
41'结果自己脚下有些失误被解围                   38'第38分钟，蒙塔里远射偏出右门柱
41'禁区外围蒙托利沃低射被德桑克蒂斯得到                   38'第38分钟，蒙塔里远射偏出右门柱
51'潘德夫禁区外围远射，阿比亚蒂很稳的将球拿到                   51'下半时开始6分钟，潘德夫左侧距门27米处左脚大力低射被阿比亚蒂得到
52'阿巴特拿球通过中场                   51'下半时开始6分钟，潘德夫左侧距门27米处左脚大力低射被阿比亚蒂得到
53'帕齐尼前场转身摆脱被拉倒                   51'下半时开始6分钟，潘德夫左侧距门27米处左脚大力低射被阿比亚蒂得到
53'但这球裁判并没有吹                   51'下半时开始6分钟，潘德夫左侧距门27米处左脚大力低射被阿比亚蒂得到
54'蒙塔里中场直塞给的太深了                   51'下半时开始6分钟，潘德夫左侧距门27米处左脚大力低射被阿比亚蒂得到
54'蒙托利沃中场挑传打到前场                   51'下半时开始6分钟，潘德夫左侧距门27米处左脚大力低射被阿比亚蒂得到
62'蒙托利沃前场左路带球突破被贝赫拉米拉倒                   62'第62分钟，尼昂左路任意球高出
62'米兰在大禁区边缘获得任意球机会                   62'第62分钟，尼昂左路任意球高出
62'尼昂站在了球前                   62'第62分钟，尼昂左路任意球高出
63'尼昂任意球直接打门，这个球是打得有些偏                   62'第62分钟，尼昂左路任意球高出
63'罗比尼奥左路起球到禁区内                   62'第62分钟，尼昂左路任意球高出
63'那不勒斯拿到第一点                   62'第62分钟，尼昂左路任意球高出
64'阿巴特右路强突再起                   62'第62分钟，尼昂左路任意球高出
64'球直接出了底线                   62'第62分钟，尼昂左路任意球高出
64'那不勒斯这边要做出换人调整                   62'第62分钟，尼昂左路任意球高出
65'德桑克蒂斯得到一张黄牌！                   62'第62分钟，尼昂左路任意球高出
72'弗拉米尼前场的滑铲动作太大                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
72'弗拉米尼直接被出示了红牌！                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
73'马乔争辩中得到一张黄牌！                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
73'弗拉米尼双脚离地飞铲苏尼加                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
73'苏尼加问题应该不是太大                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
74'AC米兰换人，罗比尼奥下，沙拉维上！                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
75'留给沙拉维的时间差不多有20分钟的时间                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
75'卡瓦尼防守的时候得到一张黄牌！                   72'第72分钟，弗拉米尼亮鞋底飞铲苏尼加，激起那不勒斯队员怒火，罗基直接向弗拉米尼亮出红牌
79'因西涅前场拿球给到禁区内                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
79'卡瓦尼摆脱后想打上角，结果脚下没有掌控好                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
79'尼昂后场防守阿尔梅罗犯规                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
80'任意球罚到前点，队友头球蹭了一下后                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
80'那不勒斯球员示意蒙托利沃防守的时候手球了                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
81'不过从慢镜头来看蒙托利沃这个球并没有手球                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
82'那不勒斯这边又要换人了                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
82'卡莱奥准备上场                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
82'帕齐尼前场抢球的时候犯规                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
82'那不勒斯换人，马乔下，卡莱奥上！                   79'第79分钟，因西涅左路传入禁区，卡瓦尼在门前12米处弧线球偏出右门柱
84'那不勒斯右路起球送到后点                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
84'这球送的有点深，那不勒斯没有形成射门的机会                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
84'禁区前沿帕齐尼铲球放倒了苏尼加                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
84'帕齐尼得到一张黄牌！                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
85'卡瓦尼任意球直接打门，球被人墙挡了出来                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
86'阿巴特这边也是有些受伤                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
86'米兰换人，阿巴特下，德希利奥上！                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
87'米兰中场送直塞，帕齐尼启动的时候被布里托斯拉倒                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
87'布里托斯得到一张黄牌！                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
87'苏尼加场上拼的太凶也是出现了抽筋                   84'第84分钟，帕齐尼铲倒苏尼加，被黄牌警告，卡瓦尼在门前25米处主罚任意球被人墙封堵
87'米兰中场送直塞，帕齐尼启动的时候被布里托斯拉倒                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
87'布里托斯得到一张黄牌！                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
87'苏尼加场上拼的太凶也是出现了抽筋                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
88'米兰任意球送到后点，沙拉维直接打门被封堵                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
88'蒙托利沃禁区外围突然低射，球是打偏了                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
89'卡瓦尼中场拿球将球横敲                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
90'尼昂后场拿球被坎帕尼亚罗凶狠放倒                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
90'坎帕尼亚罗得到一张黄牌！                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
90'梅克斯上前跟坎帕尼亚罗理论手上有动作也是得到一张黄牌！                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
90'下半场补时4分钟！                   87'第87分钟，蒙塔里左侧低传，蒙托利沃在门前25米处底线偏出左门柱
