12'朴成组织，，回敲给吕鹏                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
36'击中了横梁啊                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
36'弹回到禁区右侧，被国安迅速解围                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
37'双方中圈拼抢，，，哨响了                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
37'吹了张修维的犯规                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
37'今天权健运气不佳啊，，横梁，立柱，，还有杨旭补射被侯森二连扑挡出，，这都是很好的机会                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
37'双方发生了争执，，，裁判过来拉架                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
38'裁判给了孙可一张黄牌，，刚才犯规的是孙可，不是张修维                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
38'国安定位球，长传吊向前场右路                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
38'张诚头球顶出来                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
39'赵旭日得球，，给到中路权敬源                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
39'分到了左侧，张诚大脚解围                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
39'张修维后场拿球，，国安队员身后逼抢，犯规了                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
39'定位球，，挑传到前场中路                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
39'第一点被顶到右侧                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
51'左侧奥古斯托主罚                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'角球开出                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'到了中路，，被顶出来                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'外围，，，第二点，巴坎布远射，，击中后卫弹出                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'比埃拉再射，被破坏出边线                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'禁区外右侧，姜涛界外球                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'大力给到禁区前点                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'被顶了出去，，禁区外右侧姜涛拿球                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'跟上，低球传中                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
51'打在对手身上出了底线                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'右侧角球，，，奥古斯托主罚                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'战术角球，给姜涛，，，右侧回给奥古斯托                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'再给到姜涛，，右路起球传中                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'中路被顶出来                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'外围左侧杨旭拿球                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'穿裆过人，，，直奔向前                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
52'左侧被回追的于洋拦截，，回敲给侯森                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
53'奥古斯托和杨旭拼抢倒地了，，，撞了腰                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
53'还好，问题不大。。。                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
53'比赛继续，，刚才是给了杨旭的犯规                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
53'后场国安定位球，左侧给吕鹏                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'中路交给比埃拉，，再分右路于大宝                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'横敲中路池忠国，，斜传                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'前场右侧，再给姜涛，，，横敲                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'中路奥古斯托拿球，，往中路带                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'回给右路的池忠国，，身后给于大宝                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'分左侧，，奥古斯托拿球，，给中圈内池忠国                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'分左侧奥古斯托，，再给身后比埃拉                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'让给池忠国，，分左侧奥古斯托                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
54'吊入禁区，，，找插上的姜涛                   51'第51分钟，比埃拉禁区前攻门被封堵，皮球击中权健球员身体后反弹蹭到手臂，裁判没有判罚
62'开起来，到了后点，权敬源后点包抄                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'跟上，，射门偏出                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'侯森大脚开出                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'前场中路争顶下来                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'前场左侧帕托得球                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'再次被于大宝拉倒在地啊                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'任意球，还是同样的战术                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'帕托直塞左路                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'孙可左侧插上，，传中                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'高球到了后点                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'王永珀包抄，，，射门，被挡出来                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
62'禁区内混战，，，裁判哨响了，吹了权健犯规                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
63'国安后场大脚开出来                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
63'前场左侧，，奥古斯托拿球                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
63'横敲，到了右侧给姜涛                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
63'跟进，，2过1的配合                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
63'禁区右侧再给奥古斯托，，横敲中路比埃拉                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
64'分到右路朴成脚下                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
64'向前直塞，被门将没收了                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'张鹭大脚开出                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'前场左侧帕托得球                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'很快被断了                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'国安的反击，，，到了前场左侧                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'给巴坎布，，，被绊倒了，，哨响                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'权健的犯规，，国安定位球位置还不错，但是远了一些                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'奥古斯托主罚，吊禁区后点                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
65'第一点被顶出                   62'第62分钟，帕托又制造于大宝犯规，帕托向裁判抱怨于大宝多次犯规，对裁判未再掏牌表示了不满
66'外围国安继续拿球，挑传                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
66'再次被顶出来                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
66'左侧帕托得球，踢在对手身上，拿到界外                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
66'权健界外球给出                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
66'连续的一脚出球，最后的直塞，给大了                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
66'侯森把球没收                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'大脚开起来                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'中圈附近，，国安得球                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'反击来了                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'巴坎布带球杀入禁区                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'甩开防守，，速度很快                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'面对张鹭，冷静的往前一趟                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
67'闪出角度，，推射，，空门，，，，得手                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
68'错进错出的一球，被巴坎布抓住机会，，单刀破门啊                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
68'中圈内双方错进错出，权健的解围是踢在了比埃拉身上，弹回，比埃拉顺势带了两步，然后巴坎布顺势劫走，形成单刀                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
69'比埃拉带球冲刺，巴坎布顺势斜插领走，突入禁区以后闪开了门将张鹭！！轻松推射得手                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
69' 不过裁判在听耳机                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
69'好像是VAR视频裁判组给出了什么意见                   66'第66分钟，国安中路向前传递中连续被权健球员拦截，但皮球击中比埃拉身体后形成了国安向前渗透的效果，巴坎布快速前插，侧向摆脱出击的张鹭后斜射攻破空门
78'到了禁区左侧，，横敲中间给孙可                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'跟进，外围来一脚                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'被挡出，，，国安这边把球解围                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'中圈左侧王永珀得球                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'再送直塞，给到张修维                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'向前交给了帕托                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'再分禁区左肋的孙可                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'挑传，到了底线附近                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
78'防守队员破坏出去，角球                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
79'战术角球，，配合失误了                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
79'国安得球反击                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
79'连续的传递，，分给禁区右侧插上的奥古斯托                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
79'奥古斯托轻巧的一挑                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
79'张鹭把球没收了。。。这球奥古斯托想直接挑一个吊射，，没过去啊                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'权健的进攻，，右侧交给王永珀                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'再分跟进的郑达伦                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'右侧半高球传中                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'第一点被顶出来                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'外围国安左侧界外球                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'比埃拉中圈左侧拿球，分朴成脚下                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'再回给到于洋                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'左侧分给朴成，，斜传                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'前场左侧找到奥古斯托                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
80'回敲给中路于洋，，，向前给到比埃拉                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'分身前的奥古斯托，，带到了禁区右侧                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'观察一下，再给身后的姜涛                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'姜涛拿球，被断了                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'权健向前，给到帕托的脚下                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'左路拿球，横敲， ，，池忠国把球拦截                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'孙可反抢犯规了                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
81'定位球快发                   78'第78分钟，帕托左路低平球回敲，孙可在禁区线附近攻门被于大宝封堵
84'国安重新组织，，直传到了禁区左侧                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
84'左路跟上，比埃拉的传中                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
84'半高球，被解围出来                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
84'前场中路，权健拿球                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
