7'任意球战术配合到底线前，横传                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
44'权健中场传球失误                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
44'拉维奇上抢单刀了                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
44'面对张鹭，进禁区，竟然打偏了                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
44'拉维奇啊，必进球机会，犹豫了                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
45'帕托左路拿球，传中被挡出边线                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
45'野牛左路带球，横敲                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
45'张利峰右路空当，自己突破趟大了                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'上半场补时3分钟                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'权健左路传中，高度不够                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'维特赛尔塞禁区前，帕托一敲                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'王永珀跟上的远射被杨程扑住                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
47'维特赛尔中场拿球被包夹                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
47'右路的传中还是没有过顶                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'下半场比赛开始！                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'华夏中圈开球                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
46'丁海峰左路突破，给尹鸿博                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
47'张利峰禁区角上拿球，射门被挡出，角球                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
47'角球开门前被张鹭击出                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
47'尹鸿博右路拿球，强行传中，还是角球                   44'第44分钟刘奕鸣在后场处理球失误被拉维奇直接断下，拉维奇形成大单刀，可惜面对张鹭的射门竟踢偏
60'赵旭日斜传左路，帕托拿球                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
60'进禁区，拿到一个角球                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
60'权健进球了！！！                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
60'郑达伦！！                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
61'角球到后点，郑达伦冲顶破门                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
61'前点都漏过了                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
61'权健1-1追平华夏                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
62'孙可左路突破变向，被张呈栋破坏                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
62'姆比亚中场拿球被维特赛尔绊倒                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
63'帕托反击走左路，跟防的赵宇豪破坏                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
63'糜昊伦传中被挡出去                   60'错失点球的天津权健在第60分钟扳平比分——帕托开出左侧角球绕到门前，郑达伦抢点俯身冲顶将球顶入死角，1-1
72'权健前场反抢，反越位到禁区内                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
72'帕托，扣过后卫                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
73'但是打门被杨程扑出去了                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
73'王永珀横敲中路，维特赛尔转移                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
74'刘奕鸣中场和拉维奇争顶，双双倒地                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
75'糜昊伦左路强行传中，拿到角球                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
75'角球到门前被顶出去                   72'第72分钟权健队前场反抢，反越位到禁区内，帕托冷静扣过后卫，但是打门被杨程扑出
84'帕托任意球直接打门，被杨程扑住                   84'第84分钟帕托任意球攻门被门将没收
85'帕托左路突破，内切趟大了                   84'第84分钟帕托任意球攻门被门将没收
85'赵旭日斜传右路，孙可做球                   84'第84分钟帕托任意球攻门被门将没收
86'帕托禁区前拉开角度，打门被杨程扑出                   84'第84分钟帕托任意球攻门被门将没收
87'维特赛尔中场继续找帕托，被高准翼拦截                   84'第84分钟帕托任意球攻门被门将没收
90'拉维奇禁区左侧，倒三角，传丢了                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
90'帕托受伤坐在地上                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
91'帕托被王杰换下                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
91'补时5分钟                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
91'华夏还是有机会                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
92'糜昊伦左路拿球，被桂宏绊倒                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
93'权敬源拖延时间，被黄牌警告                   90'最终经过90分钟激战，天津权健主场2-1逆转取胜河北华夏幸福，落后河北华夏幸福1分，排名第四位
