1'上半场比赛开始了！                   1'比赛第1分钟就呈现开放性
33'鲁尼，传中被霍尔丁头球解围                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
33'又是鲁尼，再传中被科斯切尔尼解围                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
33'厄齐尔传中路，埃雷拉断球回传给德赫亚                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
34'桑切斯中路的直传，维尔贝克差一点没有拿到球                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
34'斯马林长传左路，球直接飞出底线                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
35'穆里尼奥走到场边鼓励一下队员                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
35'桑切斯转移给霍尔丁，直传，厄齐尔回作                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
35'拉姆塞交给霍尔丁                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
35'回传给科斯切尔尼，再交给蒙雷亚尔                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
35'桑切斯拿球交给厄齐尔                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
54'这球打在了埃雷拉后背弹起形成美妙的抛物线入网                   54'阿森纳第54分钟幸运打破僵局，张伯伦掷入界外球，扎卡30码外远射打在埃雷拉后背偏转紧贴横梁下沿吊入大门
55'卡里克控球，张伯伦过来将球踢出边线                   54'阿森纳第54分钟幸运打破僵局，张伯伦掷入界外球，扎卡30码外远射打在埃雷拉后背偏转紧贴横梁下沿吊入大门
56'阿森纳又有机会                   54'阿森纳第54分钟幸运打破僵局，张伯伦掷入界外球，扎卡30码外远射打在埃雷拉后背偏转紧贴横梁下沿吊入大门
57'维尔贝克进球了！                   54'阿森纳第54分钟幸运打破僵局，张伯伦掷入界外球，扎卡30码外远射打在埃雷拉后背偏转紧贴横梁下沿吊入大门
57'张伯伦右路弧线球传中，维尔贝克中路头球攻门球进！                   54'阿森纳第54分钟幸运打破僵局，张伯伦掷入界外球，扎卡30码外远射打在埃雷拉后背偏转紧贴横梁下沿吊入大门
