1'上半场比赛开始！！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
50'马塞洛的内切打门，打偏了！！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
76'毕尔巴鄂竞技前场再攻，威廉姆斯禁区内拿球                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
76'回传劳尔-加西亚，禁区线上凌空抽射，被纳瓦斯拿到                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
76'皇马的反击，赢得右侧角球机会！！                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
76'又进了，2-0！！                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
77'本泽马梅开二度！！！                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
77'角球开出到后点，本泽马力压防守球员，头球顶进网窝！！                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
78'这球埃雷林出击到前点没拿到，本泽马力压后卫，直接顶进的空门                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
79'毕尔巴鄂竞技刚刚完成了2人调整：22号劳尔-加西亚和11号科尔多巴下，换上了23号洛佩兹和20号阿杜里斯                   76'皇马第76分钟扩大比分，摩德里奇开出角球，本泽马远点小禁区边缘头球破门，2-0
89'皇马的前场进攻，贝尔中路拿球进禁区                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
90'面对出击的埃雷林，一脚搓射，打高了一点点啊！！                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
90'阿杜里斯前场右路拿球，内切斜传禁区找威廉姆斯                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
90'纳瓦斯将球直接没收！！                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
91'皇马再进一个，3-0！！                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
91'本泽马的吊门，完成帽子戏法！！                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
92'皇马后场长传到前场，埃雷林出击到禁区外头球解围，打在了尤里身后弹回到贝尔脚下，贝尔回传本泽马，本泽马一脚吊射空门得手！！                   89'第89分钟，卡瓦哈尔反击中斜传，贝尔12码处单刀挑射高出空门
