1'斯旺西率先开球                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
21'图雷进球了！！！！                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
22'曼城右边路短传到禁区外，席尔瓦把球交给后插上的图雷，禁区线上图雷看似不紧不慢，突然原地摆腿射门，球打进了近角！！                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
23'上半场21分钟，曼城率先打破僵局                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
23'米尔纳又在右边路包抄，下底传中被后卫挡在他身上出了底线，门线！                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
23'裁判给了一个门球                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
24'佩莱格尼里也是走到场边大声的指挥起来，看起来进球并不能让他对今天球队的表现满意                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
36'代尔在右边路带球突破，下底时被克拉罗夫卡住身位，但裁判给了角球                   36'曼城第36分钟扩大比分，阿圭罗传球，米尔纳禁区左侧扣过泰勒后射入远角，2-0
36'米尔纳！！2-0                   36'曼城第36分钟扩大比分，阿圭罗传球，米尔纳禁区左侧扣过泰勒后射入远角，2-0
37'曼城防下角球，禁区外兰帕德长传发动反击，米尔纳左边路带球一路突破到禁区里，扣过后卫面对门将，小禁区角外推射远角得分！                   36'曼城第36分钟扩大比分，阿圭罗传球，米尔纳禁区左侧扣过泰勒后射入远角，2-0
38'斯旺西后场解围，球被克拉罗夫断下                   36'曼城第36分钟扩大比分，阿圭罗传球，米尔纳禁区左侧扣过泰勒后射入远角，2-0
39'曼城禁区外短传渗透到禁区里，席尔瓦控球，直塞！球传出了底线                   36'曼城第36分钟扩大比分，阿圭罗传球，米尔纳禁区左侧扣过泰勒后射入远角，2-0
64'戈米进球了！！2-2                   64'斯旺西第64分钟扳平比分，里查兹长传，曼加拉冒顶，戈米斯禁区右肋12码处射入远角，2-2
64'斯旺西快速反击，中场右侧长传到后卫身后，戈米禁区里卸好皮球，低射远角得分！                   64'斯旺西第64分钟扳平比分，里查兹长传，曼加拉冒顶，戈米斯禁区右肋12码处射入远角，2-2
65'曼加拉这次防守漏顶是这个丢球的关键！                   64'斯旺西第64分钟扳平比分，里查兹长传，曼加拉冒顶，戈米斯禁区右肋12码处射入远角，2-2
66'曼城在浪费了多次绝佳进球机会后被对手扳平，斯旺西真是大难不死必有后福啊！                   64'斯旺西第64分钟扳平比分，里查兹长传，曼加拉冒顶，戈米斯禁区右肋12码处射入远角，2-2
67'曼城又在禁区里席尔瓦和米尔纳2过2配合小禁区里面对出击的门将，推射没有打上力量！被法比安斯基扑出                   64'斯旺西第64分钟扳平比分，里查兹长传，曼加拉冒顶，戈米斯禁区右肋12码处射入远角，2-2
74'曼城中路简单的传递，图雷拿球摸到禁区线上，转身抽射近角！虽然法比安斯基扑到了皮球，但球的力量太大！                   74'曼城第74分钟再次领先，费尔南迪尼奥传球，亚亚-图雷右路禁区边缘劲射近角入网，3-2
76'费尔南迪奥中场防守故意绊人，吃到黄牌！                   74'曼城第74分钟再次领先，费尔南迪尼奥传球，亚亚-图雷右路禁区边缘劲射近角入网，3-2
77'斯旺西也用布林顿换下队友                   74'曼城第74分钟再次领先，费尔南迪尼奥传球，亚亚-图雷右路禁区边缘劲射近角入网，3-2
92'曼城前场抢断，米尔纳交给禁区里的席尔瓦，再横敲给禁区弧里的博尼，冷静推射打在门柱上弹进球门                   92'第92分钟，席尔瓦传球，博尼禁区边缘内低射击中左侧立柱内侧入网，4-2
93'这样的话这场比赛悬念就没有了                   92'第92分钟，席尔瓦传球，博尼禁区边缘内低射击中左侧立柱内侧入网，4-2
93'曼城拿到这3分也让他们稳步的往第二的位置走去                   92'第92分钟，席尔瓦传球，博尼禁区边缘内低射击中左侧立柱内侧入网，4-2
94'补时已经来到最后一分钟                   92'第92分钟，席尔瓦传球，博尼禁区边缘内低射击中左侧立柱内侧入网，4-2
95'阿奎罗小禁区里控球，法比安斯基出击把球没收                   92'第92分钟，席尔瓦传球，博尼禁区边缘内低射击中左侧立柱内侧入网，4-2
