11'圣埃蒂安球员迪奥曼德拼抢犯规,对手获得控球权.                   11'开场11分钟，伊卡尔迪接应瓜林分球，禁区右侧距门13米处抽射偏出近门柱
42'圣埃蒂安球员萨勒拼抢犯规,对手获得控球权.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
42'瓜林为国际米兰在对方半场,赢得一个任意球.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
42'黄牌！圣埃蒂安球员萨勒因为恶意犯规,被主裁判出示黄牌.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
43'国际米兰球员姆维拉大禁区外右脚射门,被防守球员封堵.给他传球的是姆巴耶.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
44'莱莫因为圣埃蒂安在对方半场,赢得一个任意球.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
44'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
45'射门!!!圣埃蒂安球员塔巴努大禁区外左脚射门,被对方守门员横身扑出.给他传球的是夏摩马.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
45'卡里索将球处理出底线,圣埃蒂安获得角球.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
45'+1'国际米兰球员瓜林一脚直塞球给姆巴耶,但是边裁举旗显示后者已经越位.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
45'+2'上半场结束,国际米兰 0-0 圣埃蒂安,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
45'射门!!!圣埃蒂安球员塔巴努大禁区外左脚射门,被对方守门员横身扑出.给他传球的是夏摩马.                   45'第45分钟，塔巴努在门前28米处左脚大力任意球被卡里索飞身托出左门角
45'卡里索将球处理出底线,圣埃蒂安获得角球.                   45'第45分钟，塔巴努在门前28米处左脚大力任意球被卡里索飞身托出左门角
45'+1'国际米兰球员瓜林一脚直塞球给姆巴耶,但是边裁举旗显示后者已经越位.                   45'第45分钟，塔巴努在门前28米处左脚大力任意球被卡里索飞身托出左门角
45'+2'上半场结束,国际米兰 0-0 圣埃蒂安,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，塔巴努在门前28米处左脚大力任意球被卡里索飞身托出左门角
47'卡拉奥为圣埃蒂安赢得一个任意球.                   45'第45分钟，塔巴努在门前28米处左脚大力任意球被卡里索飞身托出左门角
47'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   45'第45分钟，塔巴努在门前28米处左脚大力任意球被卡里索飞身托出左门角
58'克莱门特将球处理出底线,国际米兰获得角球.                   58'第58分钟，瓜林右侧开出角球，多多在门前18米处左脚打高
58'国际米兰球员多多大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是瓜林.                   58'第58分钟，瓜林右侧开出角球，多多在门前18米处左脚打高
60'圣埃蒂安球员克莱门特拼抢犯规,对手获得控球权.                   58'第58分钟，瓜林右侧开出角球，多多在门前18米处左脚打高
60'埃尔纳内斯为国际米兰在左路,赢得一个任意球.                   58'第58分钟，瓜林右侧开出角球，多多在门前18米处左脚打高
60'塔巴努为圣埃蒂安赢得一个任意球.                   58'第58分钟，瓜林右侧开出角球，多多在门前18米处左脚打高
60'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   58'第58分钟，瓜林右侧开出角球，多多在门前18米处左脚打高
68'圣埃蒂安球员迪奥曼德大禁区外右脚射门,被防守球员封堵.给他传球的是卡拉奥.                   68'第68分钟出现争议，卡特林禁区右侧传中，埃尔纳内斯解围时球反弹击中左臂，泰勒没有中断比赛，塔巴努左侧凌空打高
68'射门!!!圣埃蒂安球员塔巴努大禁区左侧左脚射门,被对方守门员横身扑出.                   68'第68分钟出现争议，卡特林禁区右侧传中，埃尔纳内斯解围时球反弹击中左臂，泰勒没有中断比赛，塔巴努左侧凌空打高
70'射门!!!圣埃蒂安球员夏摩马大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是莫内-帕基特.                   68'第68分钟出现争议，卡特林禁区右侧传中，埃尔纳内斯解围时球反弹击中左臂，泰勒没有中断比赛，塔巴努左侧凌空打高
70'圣埃蒂安球员卡特兰大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   68'第68分钟出现争议，卡特林禁区右侧传中，埃尔纳内斯解围时球反弹击中左臂，泰勒没有中断比赛，塔巴努左侧凌空打高
70'国际米兰换人,帕拉西奥换下瓜林                   68'第68分钟出现争议，卡特林禁区右侧传中，埃尔纳内斯解围时球反弹击中左臂，泰勒没有中断比赛，塔巴努左侧凌空打高
78'圣埃蒂安换人,拜塞上,卡拉奥因伤下场.                   77'第77分钟，哈穆马左路反击低传，卡特林在门前17米处打高
79'萨勒将球处理出底线,国际米兰获得角球.                   77'第77分钟，哈穆马左路反击低传，卡特林在门前17米处打高
80'国际米兰球员胡安被主裁判出示了一张黄牌.                   77'第77分钟，哈穆马左路反击低传，卡特林在门前17米处打高
