2'保利尼奥交球到左路，荣昊交给阿兰                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
16'再交给荣昊，直传，高拉特没有起动                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
17'回复：岳小飞1986  有雨吗（目前阳光普照）                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
17'热尔维尼奥中路发难，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
17'再打门被冯潇霆补位将球挡出                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
18'卡库塔发角球到禁区线附近，李行迎球推射，曾诚将球托出横梁                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
18'卡库塔再将球旋向门里，曾诚将球托出横梁                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
18'拉维奇发左路的角球，曾诚将球打出                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
19'恒大的反击，阿兰背身接应被高准翼推倒                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
19'高准翼吃到黄牌！                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
19'冯潇霆直传，郜林横敲                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
21'姜宁挑传左肋部，接应的廖均健越位                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
21'冯潇霆传球失误，热尔维尼奥断球没有第一时间冲击对方心脏                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
21'拉维奇左路的带球，带丢了                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
22'荣昊左路上来，高拉特拿球交给保利尼奥，保利尼奥远射打太偏了                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
23'热尔维尼奥带球内切打门力量太小了，曾诚将球接住                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
23'高拉特交给郑智，直传                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
23'居吕姆位置卡得很牢，将于汉超挡在身后将球让出底线                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
24'王上源右路带球，廖均健迟来的拦截犯规                   21'第21分钟高拉特拿球交给保利尼奥，后者大力远射偏出
31'还是高拉特拿球，斜传禁区左侧，于汉超侧身打凌空，打偏了                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
31'保利尼奥交给于汉超，高拉特接应                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
32'冯潇霆也助攻上来，直传，郜林倒地，主裁判吹了李行的犯规                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
32'恒大前场左路的任意球机会                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
33'于汉超任意球传中，杜威头球解围                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
33'右路还是阿兰的控球，传中，保利尼奥抢点头球攻门                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
33'杨程侧身将球扑了一下球中立柱出底线                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
34'于汉超传后点，郜林将球扫回中路踢嗤了                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
34'杜威奋不顾身头球解围                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
34'回复：zt-iii  上班用手机看文字直播，偷瞄（哈哈）                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
34'这边有一位华夏幸福的球员受伤倒地                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
34'双方球员也趁此机会到场边喝水                   31'第31分钟还是高拉特拿球，斜传禁区左侧，于汉超侧身凌空抽射稍稍偏出
39'拉维奇中路得球直传过不了冯潇霆                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
39'李行交给居吕姆，回传给杨程                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
39'高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
40'热尔维尼奥左路得球，保利尼奥与王上源夹防，球最后碰热尔维尼奥出边线                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
40'廖均健中场对郜林犯规                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
41'高拉特左路传中，姜宁的解围                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
41'冯潇霆贴防摁倒了拉维奇                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
42'李行斜传前场左路找热尔维尼奥，可惜球传得不好直接传出边线                   39'第39分钟，高拉特斜传左路，于汉超马上横扫门前，杨程出击扑阿兰脚下球成功
48'上半场比赛结束！                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
48'高拉特套边拉开空档，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门！                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
49'居吕姆交给姜宁                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
49'杜威控球，交给居吕姆                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
49'姜宁接应，拉维奇距离太近了                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
49'高拉特中场抢断                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
50'拉维奇得球传身后                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
50'热尔维尼奥插上快要单刀了，曾诚飞将杀到将球拔走                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
50'热尔维尼奥向裁判投诉曾诚出了禁区手球犯规，裁判没有表示                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
51'这边恒大的进攻速度很快，郜林右路直传                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
51'于汉超插上小角度打门被杨程封出底线                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
51'于汉超角球传中，郜林争顶时                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
51'河北华夏幸福换人，32号丁海峰换下32号居吕姆！                   48'下半场易边再战，广州恒大在第48分钟再下一城——高拉特套边拉开空当，郜林没有转而是往中路调整传后点，阿兰插上近距离头球破门，2-0
50'拉维奇得球传身后                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
50'热尔维尼奥插上快要单刀了，曾诚飞将杀到将球拔走                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
50'热尔维尼奥向裁判投诉曾诚出了禁区手球犯规，裁判没有表示                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
51'这边恒大的进攻速度很快，郜林右路直传                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
51'于汉超插上小角度打门被杨程封出底线                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
51'于汉超角球传中，郜林争顶时                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
51'河北华夏幸福换人，32号丁海峰换下32号居吕姆！                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
52'换下的是22号居吕姆                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
53'恒大中场的倒脚                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
53'阿兰接应传球打在李行身上                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
53'卡库塔直传，李行传左路过不了王上源                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
53'热尔维尼奥左路来了，可惜球先出了边线                   50'第50分钟拉维奇得球后送出直塞，热尔维尼奥插上行将单刀，曾诚飞将杀到将球拨走
62'卡库塔位置球直接打门，下坠很快，曾诚将球托出横梁                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
62'卡库塔角球传太低了，王上源俯身将球顶出禁区                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
63'高准翼战术犯规推倒了阿兰                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
63'华夏幸福换人，6号罗森文换下了33号高准翼                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
64'热尔维尼奥左路来了，走底线一扣被王上源将球抢断                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
65'阿兰中场控球交给保利尼奥，分给郜林                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
65'荣昊左路的直传被廖均健拦截出边线                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
65'丁海峰左路推进一段时间直传被拦截                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
65'于汉超带了一段交给郜林                   62'第62分钟卡库塔任意球直接打门，这球下坠很快，曾诚将球托出横梁
77'郜林带球，轻轻搓向中间，于汉超打倒钩打嗤了                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
77'罗森文控球，交给丁海峰                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
77'转移到右路廖均健，卡库塔接应回传                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
77'华夏幸福推进相当困难                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
78'冯潇霆上抢成功                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
78'拉维奇的体能状况真的相当糟糕                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
78'黄博文传中被杜威头球解围                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
79'阿兰中路控球交给右路的黄博文                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
80'黄博文与高拉特做配合，高拉特传得比较深                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
80'不过金洋洋还是将球铲出底线                   77'第77分钟郜林带球轻巧搓传中路，于汉超倒钩打门偏出
82'高拉特中场得球分给右路的王上源                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
82'高拉特再接应                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
82'横传给保利尼奥                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
82'郜林背身接球转身远射，打偏了                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
83'华夏幸福的球员逼抢也是力不从心                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
84'拉维奇交给热尔维尼奥，热尔维尼奥回传被抢断                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
84'热尔维尼奥的职业素养值得尊敬                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
84'保利尼奥长传前场，这个位置没有恒大的球员                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
85'热尔维尼奥回到中场拿球                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
85'在找人，回传给罗森文                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
85'拉维奇突破加速进了禁区横传被荣昊踢出底线                   82'第82分钟高拉特横传保利尼奥，郜林背身接球转身远射滑门而出
90'保利尼奥来一脚远射，稍稍高出横梁                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
90'恒大换人，2号廖力生换下了11号高拉特                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
91'斯科拉里向另一位准备上场的球员李源一说着什么                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
91'廖力生禁区右侧接应传球打门被金洋洋伸脚挡出底线                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
91'恒大换人，18号李源一换下了20号于汉超                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
92'保利尼奥在前场纠缠，拉倒了桂宏                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
92'下半场补时3分钟                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
93'热尔维尼奥中线附近拿球                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
93'姜宁组织一下，分右路的廖均健                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
93'拉维奇与队友做二过一配合，卡库塔传太大了，曾诚将球控制                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
93'全场比赛结束！                   90'最终经过90分钟激战，广州恒大主场2-0完胜河北华夏幸福，继续领跑积分榜
