7'可惜路易斯的传球力量过大，阿扎尔拼尽全力，还是没拿到，球出底线                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
23'胡尔城获得右侧的角球机会，这是本场胡尔城第一次角球机会                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
23'角球开出到后点，布鲁斯高高跃起，头球攻门，顶高                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
24'切尔西中场传球失误，菲格罗亚抢断                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
24'菲格罗亚中圈直接起球打后卫身后，前插的博伊德拿球准备进攻                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
24'裁判鸣哨，边裁举旗了，博伊德越位在先                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
25'胡尔城右路的过顶直传找艾莫哈马蒂，切赫跑到禁区外，直接一脚解围出边线                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
26'特里后场拿球，过度球找路易斯时被利维摩尔抢断                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
26'球到了萨格博脚下，萨格博直接一脚凌空抽射，球滑门而出                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
26'这脚打门惊出切赫一身冷汗                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
27'上半场比赛26分钟了，比分还是0-0                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
28'切尔西左路的进攻，科尔和阿扎尔配合，胡尔城多人围抢                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
28'阿扎尔背身拿球，转身强突时球先出了边线                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
29'切尔西前场抢断，阿扎尔左路强突切斯特，后者伸脚将球破坏出边线                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
29'路易斯前场中路拿球，直塞球给到托雷斯                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
29'托雷斯拿球，回带两步后斜传找奥斯卡                   26'胡尔城第26分钟险些破门，特里传球失误被拦截，萨格博禁区右侧12码处斜射偏出
33'科尔禁区左上角挑传身后给阿扎尔                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
33'阿扎尔拿球，下底倒三角回传                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
33'前点的托雷斯摔倒，奥斯卡中路跟进，无人防守                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
34'直接起脚一脚抽射，麦克格雷戈下意识的倒地封堵，将球挡出底线                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
34'这球可是必进球啊，麦克格雷戈的封堵也是漂亮至极                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
34'切尔西的角球机会，并未形成威胁                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
34'上半场至今为止切尔西最好的机会，奥斯卡浪费掉                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
35'穆里尼奥站在场边也是一脸郁闷，生闷气啊                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
35'菲格罗亚中线位置拿球，路易斯身后上抢被吹推人犯规                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
36'胡尔城的中场左侧任意球机会                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
36'任意球斜传禁区弧顶，前插的抢点的柯蒂斯越位啦                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
36'拉米雷斯左路和阿扎尔的配合                   33'切尔西第33分钟也错失良机，阿什利-科尔挑传，阿扎尔禁区左侧传中，无人防守的奥斯卡10码处劲射被麦克格雷戈扑出横梁
43'阿扎尔中场拿球，柯蒂斯上抢没能碰到                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
43'梅勒回防，在和阿扎尔争抢中，后者被撞倒在地                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
44'利维摩尔上来直接一脚将球踢飞，差点踢倒在地上的阿扎尔                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
44'路易斯不爽了，差点发生摩擦，好在被队友和裁判劝开                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
44'切尔西获得前场任意球机会                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
45'路易斯主罚任意球，电梯球攻门，直接落在球门顶上                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
45'上半场比赛补时1分钟                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
46'胡尔城后场起球到前场，博伊德争抢时倒在地上                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
46'下半场比赛开始，胡尔城开球                   43'第43分钟，阿扎尔切入禁区右侧边缘内在梅勒防守下摔倒，裁判未予判罚
47'不过主裁判鸣哨了，上半场比赛结束                   47'第47分钟，阿扎尔传球，路易斯远射偏出
47'胡尔城的转移球到到右路，力量过大，直接出了边线                   47'第47分钟，阿扎尔传球，路易斯远射偏出
47'阿扎尔的左路拿球强突，接着的内切回传                   47'第47分钟，阿扎尔传球，路易斯远射偏出
47'路易斯跟上的直接起脚打门，踢偏                   47'第47分钟，阿扎尔传球，路易斯远射偏出
48'现场两队的两个小球迷，很和气啊                   47'第47分钟，阿扎尔传球，路易斯远射偏出
48'镜头给到替补席的马塔、许尔勒等人，马塔表情淡漠，无所谓哦                   47'第47分钟，阿扎尔传球，路易斯远射偏出
49'胡尔城左路的进攻，阿兹皮利奎塔上抢将球破坏出边线                   47'第47分钟，阿扎尔传球，路易斯远射偏出
49'菲格罗亚的外脚背直传找前锋线队友                   47'第47分钟，阿扎尔传球，路易斯远射偏出
50'可惜力量稍大，直接被切赫出来没收                   47'第47分钟，阿扎尔传球，路易斯远射偏出
50'阿扎尔前场左路拿球，内切横带，接着的起脚打门，被后卫挡出底线                   47'第47分钟，阿扎尔传球，路易斯远射偏出
50'切尔西获得角球机会，威廉主罚                   47'第47分钟，阿扎尔传球，路易斯远射偏出
50'角球开出，柯蒂斯头球解围底线                   47'第47分钟，阿扎尔传球，路易斯远射偏出
50'切尔西再次获得右侧角球机会，不过没啥威胁                   47'第47分钟，阿扎尔传球，路易斯远射偏出
53'切尔西获得禁区外的任意球机会                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
53'位置相当不错，路易斯的攻门范围内                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
53'路易斯任意球攻门，麦克格雷戈扑球脱手                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
53'切斯特赶紧回来，在上来的托雷斯之前将球解围出边线                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
54'胡尔城的防守阵型收缩的很深，拉米雷斯和托雷斯的个人能力施展不出来啊                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
55'布鲁斯在和阿扎尔争顶时被吹顶人犯规                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
55'切尔西前场传接球，阿兹皮利奎塔右路拿球，面对逼抢直接回传卡希尔控制                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
56'切尔西面对胡尔城的铜墙铁壁，办法不多，只能控制节奏，寻求机会啦                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
56'路易斯后场拿球，短传交给威廉                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
56'威廉带球过了中线，直塞交给奥斯卡                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
56'奥斯卡分球左侧的阿扎尔                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
56'进球啦！！1                   53'第53分钟，路易斯24码处任意球直接射门被麦克格雷戈扑出
60'威廉的任意球横传门前，无人碰到，球直接出底线                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
61'埃托奥和许尔勒场边热身画面                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
61'阿扎尔进球后，穆里尼奥在场边也是一脸轻松了                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
62'威廉前场中路拿球，面对胡尔城球员的围抢，跌跌撞撞，差点失误                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
62'最后在拼抢中，球被柯蒂斯破坏出边线                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
63'托雷斯前场拿球，盘带中被上来逼抢的胡尔城球员踢倒在地                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
63'切尔西获得前场右侧的任意球机会                   60'第60分钟，威廉左边路小角度任意球直接射门偏出
67'胡尔城率先换人：10号科伦上，换下表现一般的7号梅勒                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
67'萨格博前场背身拿球，在不断的调整中被上来的路易斯抢断                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
68'切尔西中场传球找托雷斯，托雷斯接球转身                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
68'在内切时被后卫伸脚将球解围出边线                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
68'全场比赛68分钟，比分0-1，切尔西领先                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
69'托雷斯中圈弧内拿球，利维摩尔身后上抢踢倒了托雷斯                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
69'托雷斯的鞋子都被利维摩尔踩掉啦                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
69'利维摩尔被主裁判出示了黄牌警告                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
70'托雷斯小禁区右侧拿球，挑传后点找阿扎尔                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
70'阿扎尔凌空一脚打门攻近角，被后卫挡出                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
70'胡尔城的反击，，左路起球到后点                   67'第67分钟，卡希尔手球犯规被罚黄牌，哈德斯通左边路小角度任意球射门偏出
74'威廉变向扣球过掉后卫，接着低平球送门前                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
74'奥斯卡跟上一脚铲射，被后卫挡出底线                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
74'切尔西获得右侧角球机会，本场第7个角球                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
74'角球开出，并未形成威胁                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
75'阿扎尔前场拿球，准备送出过顶找托雷斯                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
76'可惜球没能过掉胡尔城后卫的头顶                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
76'艾莫哈马蒂右路拿球，趟出两步后直接起球到后点                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
77'包抄的科伦脚下拌蒜，倒地，阿兹皮利奎塔将球解围                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
77'胡尔城再次换人：12号褔亚特上，换下5号切斯特                   74'第74分钟，威廉右路传球，奥斯卡11码处的射门被库提斯-戴维斯封铲挡高出横梁
87'威廉中线拿球，直塞交给托雷斯，托雷斯拿球转身，强突进入禁区，左突右晃，假动作摆脱布鲁斯，左脚低射近角破门                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
88'切尔西换人：威廉下，许尔勒上                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
88'这是托雷斯第200场英超比赛，破门得分，不容易啊                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
89'同时如果这个比分结束，切赫将是连续209场不失球，切尔西新纪录                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
89'切尔西最后一次换人：埃辛上，换下拉米雷斯                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
89'胡尔城左路进攻，菲格罗亚边路传中到禁区                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
90'第一点被特里头球解围                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
90'下半场补时3分钟                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
90'胡尔城前场进攻，科伦拿球，埃辛上抢将球破坏出边线                   87'切尔西第87分钟扩大比分，威廉传球，托雷斯强突禁区左肋12码处左脚低射左下角入网，2-0
93'许尔勒前插慢了半拍，球被布鲁斯抢先控制                   93'第93分钟，哈德斯通远射偏出
93'胡尔城球迷也是开始提前离场了，不过是面带微笑                   93'第93分钟，哈德斯通远射偏出
