1'上半场比赛开始！                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
13'巴萨后场长传球到前场左路打身后，阿尔巴插上拿球内切，苏亚雷斯中路前插吸引防守，阿尔巴倒三角回传中路，库蒂尼奥点球点附近无人防守，推射打进！！                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
13'皇马中场抢断，巴萨的反击！                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
13'库蒂尼奥前场左路拿球，内切到禁区                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
13'面对三人防守，横切后起脚打门，被挡出                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
14'皮克后场拿球，横传朗格莱                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
14'再给左侧阿尔巴，强突过中线                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
14'面对纳乔，横传拉基蒂奇                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
30'主裁判回来，示意经过VAR回看，判给了巴萨点球！！                   30'巴萨第30分钟扩大比分，阿尔巴左路低传，苏亚雷斯小禁区左侧拿球在瓦拉内防守下摔倒，主裁未予判罚引来巴萨球员不满，录像裁判召集主裁场边观看视频，主裁随后改判点球，苏亚雷斯点球低射左下角入网，2-0
30'苏亚雷斯主罚，一蹴而就！！2-0！！                   30'巴萨第30分钟扩大比分，阿尔巴左路低传，苏亚雷斯小禁区左侧拿球在瓦拉内防守下摔倒，主裁未予判罚引来巴萨球员不满，录像裁判召集主裁场边观看视频，主裁随后改判点球，苏亚雷斯点球低射左下角入网，2-0
30'上半场30分钟，比分2-0，巴萨领先！！                   30'巴萨第30分钟扩大比分，阿尔巴左路低传，苏亚雷斯小禁区左侧拿球在瓦拉内防守下摔倒，主裁未予判罚引来巴萨球员不满，录像裁判召集主裁场边观看视频，主裁随后改判点球，苏亚雷斯点球低射左下角入网，2-0
31'苏亚雷斯掀起球衣，露出了球衣下小孩子的大头照！！                   30'巴萨第30分钟扩大比分，阿尔巴左路低传，苏亚雷斯小禁区左侧拿球在瓦拉内防守下摔倒，主裁未予判罚引来巴萨球员不满，录像裁判召集主裁场边观看视频，主裁随后改判点球，苏亚雷斯点球低射左下角入网，2-0
32'苏亚雷斯主罚，抽射打球门左下角，库尔图瓦判断对了方向，但角度太刁，鞭长莫及！！                   30'巴萨第30分钟扩大比分，阿尔巴左路低传，苏亚雷斯小禁区左侧拿球在瓦拉内防守下摔倒，主裁未予判罚引来巴萨球员不满，录像裁判召集主裁场边观看视频，主裁随后改判点球，苏亚雷斯点球低射左下角入网，2-0
33'巴萨前场进攻，再次赢得左侧角球！！                   30'巴萨第30分钟扩大比分，阿尔巴左路低传，苏亚雷斯小禁区左侧拿球在瓦拉内防守下摔倒，主裁未予判罚引来巴萨球员不满，录像裁判召集主裁场边观看视频，主裁随后改判点球，苏亚雷斯点球低射左下角入网，2-0
50'巴萨上一次在诺坎普上半场取得2-0的领先，则是2010年11月，当时巴萨赢了5-0                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
50'苏亚雷斯前场中路拿球，强突禁区                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
50'四打四，苏亚雷斯的变向                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
50'拉莫斯回防将球拦截，再给克罗斯                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
50'皇马进球了！！                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
51'马塞洛连续第三场进球了！！                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
52'本泽马前场中路拿球，斜传右路巴斯克斯，再给前插下底的伊斯科，横传门前被挡出，马塞洛抢在皮克之前将球拦截，禁区中路抽射打进！                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
52'皇马的锋线不进，后卫顶！！带刀后卫啊                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
52'用户6804239735 23:41 马塞洛进一个让前锋们看看你连场破门（服你啊）                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
53'巴萨前场的进攻，拉基蒂奇长传找苏亚雷斯                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
53'出球后被贝尔踢翻在地                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
53'苏亚雷斯拿球，有利原则                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
53'强突下底，回防的卡塞米罗将球破坏出底线                   50'皇马第50分钟扳回一城，伊斯科禁区右侧传中，特尔施特根拦截前点落空，皮球打在朗格莱腿上偏转，马塞洛胸部停球摆脱皮克后小禁区前抽射入网，1-2
56'克罗斯主罚，斜传到后点                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
56'贝尔的凌空垫传，没踢上力量                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
56'禁区内的混战，被解围出来                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
56'拉莫斯外围拿球，起脚远射，打飞！！                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
56'皇马前场抢断，莫德里奇的一脚打门                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
56'击中了立柱弹出！！                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
56'皇马这段时间的进攻火力明显加强 不少啊                    56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
57'皇马前场再攻，伊斯科的内切打门，打偏！！                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
58'伊斯科左路拿球，直塞身后找本泽马                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
58'本泽马拿球内切到禁区，急停杀开皮克                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
58'起脚打门，被回来的皮克一挡，球出底线                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
59'皇马获得了左侧角球机会！                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
59'克罗斯角球开出到门前，伊斯科的头球顶高！                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
59'拉基蒂奇中圈拿球，莫德里奇的上抢犯规！                   56'皇马第56分钟险些扳平，摩德里奇禁区边缘内劲射打中右侧立柱弹回
61'莫德里奇的抢断，分球克罗斯                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
61'巴萨前场抢断，右路的进攻                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
61'苏亚雷斯的抢点打门，击中立柱！                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
61'双方各击中一次立柱啊！！                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
62'拉基蒂奇中圈拿球 ，分球右路罗贝托                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
62'罗贝托的强突被马塞洛伸脚一捅                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
62'双方再抢，本泽马回来帮忙                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
62'球出边线，裁判给了皇马界外球                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
62'贝尔前场右路拿球，斜传左侧找伊斯科                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
63'伊斯科内切到禁区弧顶，左侧本泽马已经空了                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
63'伊斯科没给，分球马塞洛                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
63'马塞洛斜塞禁区再找伊斯科                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
63'伊斯科停球转身，起脚打门，被挡出                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
64'阿图尔中场拿球，斜传身后找苏亚雷斯                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
64'边裁举旗，苏亚雷斯越位在先！！！                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
64'布斯克茨中圈拿球，斜传左前场找库蒂尼奥                   61'巴萨第61分钟也险些破门，拉基蒂奇长传，罗伯托禁区右侧凌空传回门前，苏亚雷斯小禁区前蝎子摆尾打门击中右侧立柱弹回
75'本泽马插上接应，太靠近门将，被特尔施特根拿到                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
75'巴萨又进球了，3-1！！                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
75'苏亚雷斯梅开二度！！！                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
76'登贝莱前场左路拿球，内切横传给到右路切入的罗贝托，罗贝托强突搓传到门前，苏亚雷斯甩头轰门顶进！                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
76'进球后的苏亚雷斯很激动，跑到场边和梅西庆祝，并亲吻自己的女儿                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
77'纳乔后场拿球，苏亚雷斯的逼抢，直接踩在了纳乔脚上                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
78'苏亚雷斯被主裁判出示了黄牌警告！！                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
78'纳乔也是倒在地上，半天没起来                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
78'皇马换人：20号阿森西奥上，换下了11号贝尔！                   75'巴萨第75分钟再次拉开差距，刚刚替补库蒂尼奥出场的登贝莱反击中分球，罗伯托传中，苏亚雷斯14码处头球破门，3-1
83'巴萨前场再攻，反击了                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
83'苏亚雷斯，4-1！！！                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
83'苏亚雷斯上演帽子戏法！！                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
84'巴萨后场的长传球，拉莫斯胸部停球直接停给了罗贝托，罗贝托斜塞禁区右侧给苏亚雷斯，单刀赴会，面对库尔图瓦，挑射空门打进！                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
84'巴萨换人：22号比达尔上，换下了8号阿图尔                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
85'阿森西奥前场左路拿球，内切传中到门前                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
86'皮克回防，抢在本泽马之前，头球解围出来                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
86'克罗斯中场拿球，分球右侧纳乔                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
86'再给克罗斯，直塞马里亚诺                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
86'回传巴斯克斯，再给中间的伊斯科，失误了                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
86'登贝莱的抢断，分球布斯克茨                   83'第83分钟，拉莫斯胸部停球后被抢断，罗伯托送出直传，苏亚雷斯小禁区右上角外挑射入网，4-1
87'再给拉基蒂奇，分球左侧阿尔巴                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
87'直塞登贝莱，内切到禁区                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
87'又进了，5-1！！！                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
87'比达尔的头球！！                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
88'登贝莱左路拿球内切摆脱纳乔到禁区，搓传到后点，比达尔插上头球轰门顶进！                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
89'伊斯科右路拿球，回传纳乔                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
89'纳乔直塞想给马里亚诺，回防的布斯克茨拦截                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
90'分球拉基蒂奇，再给右路的塞梅多                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
90'直塞罗贝托，强突后传中                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
90'苏亚雷斯的打门，被库尔图瓦挡出                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
90'巴萨中场抢断，苏亚雷斯拿球                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
90'直塞身后找右路前插的塞梅多                   87'第87分钟，登贝莱晃过纳乔切入禁区左侧传中，刚刚换下阿图尔的比达尔小禁区边缘头球破门，5-1
