2'穆里尼奥也是坐在场边，拿出小本记录着什么                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
15'穆尼安后场传球失误，莫德里奇的抢断                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
15'莫德里奇前场拿球，过顶给到本泽马                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
15'本泽马禁区左侧拿球，趟过后卫横传中路                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
15'毕尔巴鄂球员将球挡出禁区                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
15'穆尼安后场传球失误，莫德里奇的抢断                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
15'莫德里奇前场拿球，过顶给到本泽马                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
15'本泽马禁区左侧拿球，趟过后卫横传中路                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
15'毕尔巴鄂球员将球挡出禁区                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
16'卡列洪得到第二落点，直接外脚背的抽射，球打飞了                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
16'皇马的进攻又来了，右路的进攻赢得角球机会                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
16'莫德里奇角球开出，第一点被毕尔巴鄂球员解围底线                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
17'皇马继续角球机会，不过还是没威胁                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
17'皇马最近几场后场线上的伤病有所减缓，但是前场的攻击线却迎来了新的一轮危机                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
18'阿韦罗亚右路拿球强突，被对手拉倒在地                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
18'莫德里奇右边路拿球，底线内切后挑传球到门前                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
18'伊拉佐兹及时出击，在本泽马之前将球揽入怀中                   15'第15分钟，本泽马强突禁区左侧传中被解围，卡列洪禁区边缘内凌空抽射偏出
22'厄齐尔中场拿球，被古尔佩吉放倒在地                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
22'C罗的打门又来了，不过还是高射炮                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
22'本泽马左路拿球，下底传中被后卫挡出底线                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
23'皇马获得左侧角球机会，厄齐尔主罚                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
23'厄齐尔角球开出到禁区，拉莫斯头球攻门，被伊拉佐兹单掌托出横梁                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
23'皇马又是一个角球，不过这次在右边                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
24'莫德里奇角球开出，第一点被毕尔巴鄂球员解围                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
24'禁区外阿隆索得到球员，再次过度给到卡列洪                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
24'力量轻了，被毕尔巴鄂球员拦截，卡列洪反抢犯规                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
25'之前送给本泽马精妙助攻的是莫德里奇                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
25'阿杜里斯前场逼抢中，身后推倒了阿韦罗亚                   22'第22分钟，本泽马右路传中，C-罗纳尔多禁区边缘的抽射将皮球送上看台
27'毕尔巴鄂右路的进攻，穆尼安拿球，禁区角上的打门，踢飞                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
28'科恩特朗和本泽马的配合，科恩特朗禁区内的抽射出了底线                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
28'科恩特朗示意球打在了防守球员身上，可惜裁判并不理会，给了毕尔巴鄂门球                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
28'毕尔巴鄂一球落后，队员全部压到了中线位置                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
29'莫德里奇中场的逼抢被吹犯规                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
29'厄齐尔前场拿球，面对两名球员的包夹，强突，被断                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
30'厄齐尔原地上抢，迫使对手将球解围出边线                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
30'皇马右路的进攻，赢得任意球机会                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
30'进球啦                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
30'拉莫斯~~~~~~·                   27'第27分钟，本泽马传球，科恩特朗禁区左侧小角度抽射高出
32'本泽马前场背身拿球，后卫防守犯规啦                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
32'.本泽马梅开二度                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
33'卡列洪禁区弧内拿球，短传给到本泽马，本泽马禁区右角拿球转身，横带，闪开角度，左脚的弧线球打远角得手                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
34'皇马的完美开局，会是一场大胜嘛                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
34'本泽马前场带球，伊劳拉上抢将球拿到                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
34'本泽马原地反抢，身后拉倒了伊劳拉，犯规                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
35'阿隆索中场拿球，伊图拉斯佩的上抢犯规                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
35'佩佩准备快发任意球，不过裁判又吹了回去，重发                   32'皇马第32分钟锁定胜局，卡列洪传球禁区右侧，本泽马回拉至禁区边缘弧线球射入远角，3-0
38'皇马3球领先后，场上边线的有些松散啦                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
38'现场球迷也是为这松散的表现送上一片嘘声                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
38'本泽马前场拿球，禁区弧顶内的低射，伊拉佐兹将球没收                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
39'毕尔巴鄂右路的下底传中，前点队员头球后蹭                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
39'阿杜里斯后点将球拿到，回敲给到穆尼安                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
39'穆尼安的远射，放了飞机                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
40'阿韦罗亚在之前的拼抢中嘴受伤出血了，也是离场接受治疗                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
40'阿韦罗亚站在场边等待出场，可惜裁判视而不见，只能继续等着了                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
41'皇马前场的进攻被毕尔巴鄂球员解围出边线                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
41'这是裁判终于让阿韦罗亚进场啦                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
41'之前裁判不能及时让接受治疗的阿韦罗亚登场，招来现场球迷一片嘘声                   38'第38分钟，伊图拉斯佩传中，戈麦斯头球攻门偏出
41'皇马前场的进攻被毕尔巴鄂球员解围出边线                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
41'这是裁判终于让阿韦罗亚进场啦                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
41'之前裁判不能及时让接受治疗的阿韦罗亚登场，招来现场球迷一片嘘声                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
42'皇马前场的进攻，卡列洪的远射被伊拉佐兹一扑，击中立柱弹出                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
42'毕尔巴鄂的反击，右路的进攻                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
42'球进啦                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
42'戈麦斯~~~                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
43'毕尔巴鄂右边路进攻，禁区右侧横传中间，戈麦斯无人防守，右脚抽射打进                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
43'卡西利亚斯对于队友的这次防守很不满，戈麦斯根本无人防守啊                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
44'卡列洪前场拿球，连续的盘带，无法突破交给阿韦罗亚                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
44'阿韦罗亚再将球回敲给到卡列洪，被断球                   41'第41分钟，C-罗纳尔多右路传中，卡列洪远点小禁区边缘抢点弹射憾中近角立柱弹出
44'卡列洪前场拿球，连续的盘带，无法突破交给阿韦罗亚                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
44'阿韦罗亚再将球回敲给到卡列洪，被断球                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
45'毕尔巴鄂的反击，伊图拉斯佩禁区外的斜传给到左路插上的阿杜里斯                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
45'阿杜里斯拿球，一脚斜射被佩佩挡出底线                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
45'毕尔巴鄂左侧角球机会，不过没什么威胁                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'本泽马中场的防守又被吹罚了犯规                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'上半场补时1分钟                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'毕尔巴鄂前场右路任意球开到禁区                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'阿杜里奇争顶犯规，左手肘击了拉莫斯                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'阿杜里斯被裁判出示黄牌警告                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
47'C罗前场拿球，禁区外的远射被伊拉佐兹扑出底线                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
47'皇马获得右侧角球开出，厄齐尔主罚                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
47'厄齐尔角球开出，第一点被毕尔巴鄂球员解围                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'下半场比赛开始                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'皇马后场过顶长传到前场右路                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
46'圣何塞将球解围出了边线                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
47'下半场开始，双方并没有在人员上有所调整                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
47'阿隆索中场拿球准备斜传，被对方球员将球抢先破坏掉                   44'第44分钟，苏萨埃塔直传，阿杜里斯切入禁区左侧的小角度射门被佩佩挡高出横梁
48'毕尔巴鄂左路的进攻，阿韦罗亚将球拦截                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
48'伊图拉斯佩反抢中身后撞倒了莫德里奇                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
48'伊图拉斯佩也是被裁判出示黄牌警告                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
49'皇马的进攻，奥尔特内策的解围直接踢出了边线                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
50'本泽马前场拿球，禁区外的远射，球擦着立柱出底线                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
50'非常好的脚法，只有有人碰下改变线路必进无疑啊                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
50'C罗前场左路拿球，横带至禁区弧顶，起脚打门，被后卫挡出                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
51'科恩特朗左路插上拿球，再次横传中间，被毕尔巴鄂球员拦截                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
51'毕尔巴鄂换上了略伦特，换下穆尼安                   48'第48分钟，伊图拉斯佩边路对摩德里奇犯规被罚黄牌
46'本泽马中场的防守又被吹罚了犯规                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'上半场补时1分钟                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'毕尔巴鄂前场右路任意球开到禁区                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'阿杜里奇争顶犯规，左手肘击了拉莫斯                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'阿杜里斯被裁判出示黄牌警告                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
47'C罗前场拿球，禁区外的远射被伊拉佐兹扑出底线                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
47'皇马获得右侧角球开出，厄齐尔主罚                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
47'厄齐尔角球开出，第一点被毕尔巴鄂球员解围                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'下半场比赛开始                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'皇马后场过顶长传到前场右路                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
46'圣何塞将球解围出了边线                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
47'下半场开始，双方并没有在人员上有所调整                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
47'阿隆索中场拿球准备斜传，被对方球员将球抢先破坏掉                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
48'毕尔巴鄂左路的进攻，阿韦罗亚将球拦截                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
48'伊图拉斯佩反抢中身后撞倒了莫德里奇                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
48'伊图拉斯佩也是被裁判出示黄牌警告                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
49'皇马的进攻，奥尔特内策的解围直接踢出了边线                   46'1分钟后，厄齐尔传球，C-罗纳尔多禁区弧顶的劲射正入伊莱索斯下怀
56'进球了                   56'第56分钟，C-罗纳尔多斜传，本泽马禁区右侧传中，厄齐尔小禁区边缘推射破门，4-1
56'厄齐尔~~~                   56'第56分钟，C-罗纳尔多斜传，本泽马禁区右侧传中，厄齐尔小禁区边缘推射破门，4-1
57'皇马后场过顶长传给到C罗，C罗拿球转身斜传给到右侧的本泽马，本泽马拿球进入禁区，横传中间，厄齐尔包抄，点球点附近的推射打进                   56'第56分钟，C-罗纳尔多斜传，本泽马禁区右侧传中，厄齐尔小禁区边缘推射破门，4-1
58'皇马来啦，卡列洪禁区弧顶斜传球到禁区                   56'第56分钟，C-罗纳尔多斜传，本泽马禁区右侧传中，厄齐尔小禁区边缘推射破门，4-1
59'本泽马包抄，右脚外脚背的抽射，被对方后卫站在球门线上将球解围                   56'第56分钟，C-罗纳尔多斜传，本泽马禁区右侧传中，厄齐尔小禁区边缘推射破门，4-1
59'解围的是毕尔巴鄂的后卫圣何塞，立功啦                   56'第56分钟，C-罗纳尔多斜传，本泽马禁区右侧传中，厄齐尔小禁区边缘推射破门，4-1
58'皇马来啦，卡列洪禁区弧顶斜传球到禁区                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
59'本泽马包抄，右脚外脚背的抽射，被对方后卫站在球门线上将球解围                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
59'解围的是毕尔巴鄂的后卫圣何塞，立功啦                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
60'下半场这段时间，皇马完全占据了场上主动                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
60'皇马右路的进攻赢得任意球机会                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
60'阿隆索任意球开到禁区，被毕尔巴鄂后卫解围                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
60'赫迪拉站在场边等待登场啦                   58'第58分钟，卡列洪直传，本泽马小禁区边缘外射门被毕尔巴鄂后卫在门线前挡出
63'不过球还在皇马球员脚下                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
63'莫德里奇禁区左侧拿球一脚怒射，伊拉佐兹将球奋力扑出底线                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
63'皇马再次获得角球机会，不过没什么威胁                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
64'科恩特朗左路拿球过了中线，还想过人，结果自己趟球趟大，趟出了边线                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
64'卡列洪中场拿球，直塞给到C罗                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
65'C罗拿球进入禁区，小禁区左上角的抽射，没什么力量，被伊拉佐兹轻松得到                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
65'这球C罗打的太着急啦，如果在调整下估计会更好                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
66'毕尔巴鄂左路45度的斜传球到禁区，苏塞塔的插上，可惜没能碰到皮球                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
66'球从苏塞塔眼前飞过，出了底线                   63'第63分钟，科恩特朗传球，摩德里奇禁区左侧的射门被伊莱索斯扑出
70'皇马右侧角球机会，C罗的头球攻门顶高                   70'第70分钟，迪马利亚换下卡列洪
70'C罗禁区内拿球单车，左晃右晃，倒地啦                   70'第70分钟，迪马利亚换下卡列洪
71'不过裁判就在身边，并没有表示                   70'第70分钟，迪马利亚换下卡列洪
71'C罗看着裁判没有表示，自己也是诡异的笑了笑，起身继续比赛                   70'第70分钟，迪马利亚换下卡列洪
71'再进一球，赫迪拉                   70'第70分钟，迪马利亚换下卡列洪
72'赫迪拉禁区右侧接到阿韦罗亚的传球，右脚的大力斜射，打进                   70'第70分钟，迪马利亚换下卡列洪
72'这是赫迪拉本赛季的第一个联赛进球                   70'第70分钟，迪马利亚换下卡列洪
73'古尔佩吉中场防守中被吹犯规，放倒了迪马利亚                   70'第70分钟，迪马利亚换下卡列洪
73'古尔佩吉被裁判出示黄牌警告                   70'第70分钟，迪马利亚换下卡列洪
72'赫迪拉禁区右侧接到阿韦罗亚的传球，右脚的大力斜射，打进                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
72'这是赫迪拉本赛季的第一个联赛进球                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
73'古尔佩吉中场防守中被吹犯规，放倒了迪马利亚                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
73'古尔佩吉被裁判出示黄牌警告                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
74'皇马再次换人：莫拉塔换下功臣本泽马                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
74'赫迪拉禁区右角的一脚似传似射的起球，直接出了底线                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
75'毕尔巴鄂左路的斜传球到禁区找略伦特                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
75'拉莫斯防守中背后抱住了略伦特                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
75'拉莫斯被裁判出示黄牌警告                   72'第72分钟，阿韦罗亚挡回皮球，赫迪拉禁区右侧15码处劲射，皮球从伊莱索斯身下入网，5-1
85'皇马获得右侧角球机会，迪马利亚主罚                   85'第85分钟，C-罗纳尔多传球，莫拉塔20码处转身抽射被伊莱索斯扑出
85'迪马利亚角球开到后点，伊拉佐兹出击将球没收                   85'第85分钟，C-罗纳尔多传球，莫拉塔20码处转身抽射被伊莱索斯扑出
85'迪马利亚前场拿球，苏塞塔身后放铲将小马哥铲翻在地                   85'第85分钟，C-罗纳尔多传球，莫拉塔20码处转身抽射被伊莱索斯扑出
