2'希顿大脚开出门球                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
75'古德蒙德森主罚，开到禁区                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
75'基恩后点力压对手，头球攻门，球是砸在了横梁上，好悬啊                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
75'这个球是切赫碰了一下，砸中横梁                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
76'外围弹出来，右侧在敲起来，禁区中央的头球攻门，见高不见远，被切赫没收                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
76'贝莱林右侧插上，中路在给埃尔内尼                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
76'找到张伯伦，横敲到中间，272突破被拉倒                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
76'禁区外定位球，不到30米，是个机会                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
76'272主罚，直接射门，击中人墙                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
77'作为升班马，伯恩利的表现还是非常不错的                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
77'科斯切尔尼左侧转移找小老虎                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
77'小老虎和同伴抢在了一起，球出了边线                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
77'希顿后场长传发动反击                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
78'左侧亨德里克逼抢贝莱林，贝莱林稳健的回敲给切赫                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
78'大脚再出来，辗转了一下，球又到了希顿脚下                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
78'两个门将对着发长传啊                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
78'算上补时，大概还有15分钟                   75'伯恩利第75分钟又险些破门，迈克尔-基恩角球混战中远点8码处头球攻门击中横梁弹回
93'进球的是科斯切尔尼。。绝杀，，标准的绝杀                   93'阿森纳第93分钟绝杀，桑切斯战术角球传中，沃尔科特头球攻门偏出，张伯伦近距离垫射打在科斯切尔尼脸上偏转入网
93'温格执掌阿森纳20周年，可以高兴的庆祝了                   93'阿森纳第93分钟绝杀，桑切斯战术角球传中，沃尔科特头球攻门偏出，张伯伦近距离垫射打在科斯切尔尼脸上偏转入网
93'这个球最后是算在张伯伦身上，，我们来详细的描述一下进球过程                   93'阿森纳第93分钟绝杀，桑切斯战术角球传中，沃尔科特头球攻门偏出，张伯伦近距离垫射打在科斯切尔尼脸上偏转入网
93'右侧战术角球给到374，374下底传中起来，中路头球一蹭，到了后门柱，张伯伦和科斯切尔尼一起包抄，张伯伦的射门最后打在科斯切尔尼手臂上弹入网窝                   93'阿森纳第93分钟绝杀，桑切斯战术角球传中，沃尔科特头球攻门偏出，张伯伦近距离垫射打在科斯切尔尼脸上偏转入网
93'这个球太戏剧化了，最后进球还是算在张伯伦头上                   93'阿森纳第93分钟绝杀，桑切斯战术角球传中，沃尔科特头球攻门偏出，张伯伦近距离垫射打在科斯切尔尼脸上偏转入网
93'主裁的位置可能不怎么好，还是算进了，科斯切尔尼确实是手球了                   93'阿森纳第93分钟绝杀，桑切斯战术角球传中，沃尔科特头球攻门偏出，张伯伦近距离垫射打在科斯切尔尼脸上偏转入网
