2'鲁能泰山队长传球，好机会啊！！！吕征反越位，可惜把球带大了                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
42'杨程大脚解围，球出边线                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
43'肇俊哲大脚传球，被罗森文铲倒在地                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
43'主裁判给罗森文出示黄牌                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
44'任意球发到前场找詹姆斯，没能成功                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
45'罗森文直传球没能进去，吕征回传，罗森文突破被断                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
45'王彤右路横传禁区，对方争到第一点，球出边线                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
45'罗森文直传球没能进去，吕征回传，罗森文突破被断                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
45'王彤右路横传禁区，对方争到第一点，球出边线                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
46'金泰延右路突破回传                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
46'辽宁宏运队挑传禁区，几名队员都处在越位位置，没敢转身追球                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'王永珀右路突破横传，马塞纳打门，劲小了                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'上半场比赛结束，双方都没能进球，0-0                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
46'下半场比赛开始                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
46'后场辽宁宏运队得球左路长传                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
46'刘金东快速回防                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'辽宁宏运队左路横传，肇俊哲插上，被对方护球出底线                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'鲁能泰山队左路进攻，传禁区时被破坏                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'辽宁宏运队长传反击，找詹姆斯                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'詹姆斯右路强突，横传禁区，埃杜打门被挡出来                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
48'布兰丹挑传禁区，詹姆斯抢点打门，偏出                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
48'吕征右路突破，逼得角球机会                   45'第45分钟，王永珀右路突破横传，马塞纳打门被门将刘D得到
47'王永珀右路突破横传，马塞纳打门，劲小了                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
47'上半场比赛结束，双方都没能进球，0-0                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
47'辽宁宏运队左路横传，肇俊哲插上，被对方护球出底线                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
47'鲁能泰山队左路进攻，传禁区时被破坏                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
47'辽宁宏运队长传反击，找詹姆斯                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
47'詹姆斯右路强突，横传禁区，埃杜打门被挡出来                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
48'布兰丹挑传禁区，詹姆斯抢点打门，偏出                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
48'吕征右路突破，逼得角球机会                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
49'王永珀发角球到禁区内，布兰丹抢点把球顶出边线                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
49'中场双方都进行了人员调整，辽宁宏运队换上布兰丹和王亮，换下了吴高俊和特里夫诺维奇                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
49'鲁能泰山队换上李松益，换下罗森文                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
50'鲁能泰山队左路进攻，李松益直传球被铲回来                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
50'吕征右路拿球，被埃杜放倒在地                   47'第47分钟，辽宁队长传球给右路的詹姆斯，詹姆斯摆脱后回传，可惜埃杜停球大了，再打被鲁能队后卫封住
48'布兰丹挑传禁区，詹姆斯抢点打门，偏出                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
48'吕征右路突破，逼得角球机会                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
49'王永珀发角球到禁区内，布兰丹抢点把球顶出边线                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
49'中场双方都进行了人员调整，辽宁宏运队换上布兰丹和王亮，换下了吴高俊和特里夫诺维奇                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
49'鲁能泰山队换上李松益，换下罗森文                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
50'鲁能泰山队左路进攻，李松益直传球被铲回来                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
50'吕征右路拿球，被埃杜放倒在地                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
51'郑铮左路突破横传门前，对方抢点把球顶出底线，角球                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
51'鲁能泰山队再得到角球机会                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
51'王永珀发角球到门前，两名队员都没能顶到，对方把球顶出                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
51'詹姆斯右路快速反击，人球分过没能成功，杨程出击把球没收                   48'第48分钟，鲁能队前场右路赢得一个角球机会，角球打到中路，第一点被布兰丹顶出
50'鲁能泰山队左路进攻，李松益直传球被铲回来                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
50'吕征右路拿球，被埃杜放倒在地                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
51'郑铮左路突破横传门前，对方抢点把球顶出底线，角球                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
51'鲁能泰山队再得到角球机会                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
51'王永珀发角球到门前，两名队员都没能顶到，对方把球顶出                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
51'詹姆斯右路快速反击，人球分过没能成功，杨程出击把球没收                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
52'埃杜左路突破，詹姆斯在包抄，横传球被金敬道挡住路线                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
52'王彤受伤坐在地上                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
53'王亮来罚角球                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
53'角球到前点，詹姆斯倒勾过渡没能成功                   50'第50分钟，鲁能队左路做配合，传中球给到后点，郑涛头球顶出底线，鲁能队角球到禁区内，第一点被辽宁队顶出
53'王亮来罚角球                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
53'角球到前点，詹姆斯倒勾过渡没能成功                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
54'鲁能泰山队长传球，找王永珀                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
54'王永珀回带，横传交给洛夫，金泰延破坏                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
55'辽宁宏运队斜传球到禁区内，皮球从另一侧出边线                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
55'王彤发出界外球，鲁能泰山队把球转移到左路进攻                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
56'王永珀左路突破突然一脚远射，还真有威胁，被刘洋扑住                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
56'王彤右路挑传球，效果一般，郑涛横传给埃杜，出现配合失误，球出边线                   53'第53分钟，辽宁队前场左路获得角球机会，角球打到前点，第一点被鲁能队破坏出来
59'辽宁宏运队进球，埃杜，1-0                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
59'埃杜带球推进，没有人来拦他，看到詹姆斯处于越位位置，埃杜突破到禁区内推射远角，破门！                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
60'这个球的责任还是在后卫身上                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
60'鲁能泰山队右路直传进攻，被对方破坏出边线                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
60'吕征右路突破下底横传，被破坏出来                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
61'马塞纳失误，孙世林抢断，马塞纳背后抢球犯规                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
61'鲁能泰山队换人：蒿俊闵上场换下金敬道                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
62'辽宁宏运队长传球，对方防守犯规                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
62'辽宁宏运队得到前场中路任意球机会                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
62'王亮发任意球直接打门，皮球高出                   59'第59分钟，辽宁队率先打破僵局，埃杜前场带球推进率先摆脱了刘金东，随后面对李松益、杜威等多名防守队员，埃杜左突右晃直接面对门将冷静打门，皮球直入球门远角，辽宁队1-0取得领先
62'辽宁宏运队长传球，对方防守犯规                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
62'辽宁宏运队得到前场中路任意球机会                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
62'王亮发任意球直接打门，皮球高出                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
63'鲁能泰山队右路直传禁区，可惜力量稍大了一点，刘洋赶在吕征之前把球没收                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
64'王永珀右路摆脱下底横传，打在防守队员身上                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
64'辽宁宏运队长传反击，埃杜左路传门前，杨程没收                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
65'辽宁宏运队直传球，詹姆斯接球，越位在先                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
