1'戈比将球处理出底线,罗马获得角球.                   1'开场不到1分钟，托蒂开出角球，弗洛伦齐禁区边缘劲射高出
58'罗马球员弗洛伦齐大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是托蒂.                   58'第58分钟，托蒂开出角球，弗洛伦齐凌空打高
60'帕尔马球员阿毛里拼抢犯规,对手获得控球权.                   58'第58分钟，托蒂开出角球，弗洛伦齐凌空打高
60'卡斯坦为罗马赢得一个任意球.                   58'第58分钟，托蒂开出角球，弗洛伦齐凌空打高
61'布尔迪索将球处理出底线,帕尔马获得角球.                   58'第58分钟，托蒂开出角球，弗洛伦齐凌空打高
63'帕尔马球员帕罗洛大禁区中央左脚射门,被防守球员封堵.给他传球的是阿毛里.                   63'第63分钟，阿毛里头球点给帕罗洛，帕罗洛在门前6米处左脚射门被布尔迪索飞身挡出横梁
63'布尔迪索将球处理出底线,帕尔马获得角球.                   63'第63分钟，阿毛里头球点给帕罗洛，帕罗洛在门前6米处左脚射门被布尔迪索飞身挡出横梁
63'帕尔马球员阿毛里大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是萨帕塔.                   63'第63分钟，阿毛里头球点给帕罗洛，帕罗洛在门前6米处左脚射门被布尔迪索飞身挡出横梁
66'帕尔马球员帕罗洛拼抢犯规,对手获得控球权.                   63'第63分钟，阿毛里头球点给帕罗洛，帕罗洛在门前6米处左脚射门被布尔迪索飞身挡出横梁
66'拉梅拉为罗马赢得一个任意球.                   63'第63分钟，阿毛里头球点给帕罗洛，帕罗洛在门前6米处左脚射门被布尔迪索飞身挡出横梁
81'射门!!!罗马球员托蒂大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是马基尼奥.                   81'第81分钟，托蒂又获得单刀机会，但米兰特伸脚挡出底线
81'米兰特将球处理出底线,罗马获得角球.                   81'第81分钟，托蒂又获得单刀机会，但米兰特伸脚挡出底线
82'德罗西将球处理出底线,帕尔马获得角球.                   81'第81分钟，托蒂又获得单刀机会，但米兰特伸脚挡出底线
83'罗马换人,巴尔扎雷蒂换下马基尼奥                   81'第81分钟，托蒂又获得单刀机会，但米兰特伸脚挡出底线
83'佩罗塔将球处理出底线,帕尔马获得角球.                   81'第81分钟，托蒂又获得单刀机会，但米兰特伸脚挡出底线
