1'上半场比赛开始了                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
19'1：1                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
47'亚亚图雷中路拿球分给克里希                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
47'克里希直传，德布劳内禁区右边缘传中打在后卫身上                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
48'德尔菲左犄角的短传，席尔瓦稍稍没有跟上                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
48'扎卡交给左路的约翰逊                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
48'回传给温特，温特长传，前面没有门兴格拉德巴赫的球员                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
49'下半场，门兴的阵型往后收了一下将中场让给了曼城                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
49'看曼城能否把握住机会                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
49'德尔菲回传给曼加拉                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
49'直传，席尔瓦分给克拉罗夫                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
49'再交给席尔瓦，席尔瓦直传没有塞过去                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
49'克里斯滕森左路人球分过交给斯特林                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
50'亚亚图雷中路跟进再往右路分                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
50'克里希的传中，斯特林抢点头球攻门顶高了                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
50'德尔菲上抢成功，德布劳内的传球太小了                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
50'温特左路的传球，施廷德尔接应再交给温特                   47'门兴2分钟后扳平，施廷德尔踢墙配合后突入禁区左侧传中，无人防守的科布禁区右侧12码处射入远角，1-1
42'诺德维德直传，达胡德回接一下                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
42'连续传球，拉斐尔远射打在后卫身上                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
42'禁区内一片混乱，拉斐尔门前捅射破门！                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
43'施廷德尔远射打在奥塔门迪身上，球到禁区左侧，温特的传中，约翰逊打门没有力量，门前的拉斐尔推射球门右下角球进！                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
44'看来门兴赢拜仁并不是仅仅靠运气                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
44'曼城反击，斯特林横传，力量太小了                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
44'曼加拉上防踢倒了科尔伯                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
45'门兴的右路任意球                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
45'也不传中了，回传后场倒脚                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
45'门兴对自己的控球能力很有信心                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
45'席尔瓦左路交给克拉罗夫                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
45'下底传中被克里斯滕森伸脚挡出                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
45'上半场比赛没有补时                   42'门兴第42分钟反超比分，施廷德尔禁区前射门被挡后偏转，文特禁区左侧传中，12码处第一时间垫射被拉斐尔在小禁区前挡入球门，2-1
48'德尔菲左犄角的短传，席尔瓦稍稍没有跟上                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
48'扎卡交给左路的约翰逊                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
48'回传给温特，温特长传，前面没有门兴格拉德巴赫的球员                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
49'下半场，门兴的阵型往后收了一下将中场让给了曼城                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
49'看曼城能否把握住机会                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
49'德尔菲回传给曼加拉                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
49'直传，席尔瓦分给克拉罗夫                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
49'再交给席尔瓦，席尔瓦直传没有塞过去                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
49'克里斯滕森左路人球分过交给斯特林                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
50'亚亚图雷中路跟进再往右路分                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
50'克里希的传中，斯特林抢点头球攻门顶高了                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
50'德尔菲上抢成功，德布劳内的传球太小了                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
50'温特左路的传球，施廷德尔接应再交给温特                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
51'德尔菲中场断球交给席尔瓦                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
51'席尔瓦传给斯特林                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
51'克拉罗夫套上下底传中被克里斯滕森伸腿挡住                   48'3分钟后，斯特林禁区左侧内切突破，席尔瓦15码处低射被没收
51'德尔菲中场断球交给席尔瓦                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
51'席尔瓦传给斯特林                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
51'克拉罗夫套上下底传中被克里斯滕森伸腿挡住                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
52'德布劳内禁区右侧接应短传又没有传过去                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
53'亚亚图雷的传球，席尔瓦再直传，德布劳内接应再分                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
53'德尔菲的传中被挡出                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
53'克拉罗夫跟进的远射打在克里斯滕森身上飞出底线                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
53'席尔瓦发出角球，克里斯滕森头球解围                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
54'斯特林左路内切后横向送过顶球过不了温特                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
54'克拉罗夫中场又断球了                   51'曼城6分钟连入3球反超，第80分钟，纳瓦斯前传，克里希禁区右侧传中，博尼前点漏过，斯特林8码处推射破门，2-2
82'博尼前场护好球斜塞，斯特林突进到禁区推射球门右侧球进！                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
82'反超比分后，曼城有机会夺得小组头名                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
83'我们回看曼城第二个进球                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
83'克里希右路插上下底传中，斯特林门前抢点将球打进！                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
84'门兴格拉德巴赫换人，10号阿扎尔替下了17号温特！                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
84'博尼也开胡了！                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
85'克拉罗夫与斯特林做配合后下底传中，博尼垫射被诺德维德挡一下，但球还在博尼脚下，博尼打远角球进！                   82'第82分钟，席尔瓦头球摆渡，博尼分球，斯特林12码处第一时间推射入网，3-2
