1'泰达身着一身白衣，亚泰则身披一身红！                   1'十分熟悉的双方第1分钟都没有急于进攻
14'亚泰角球                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
14'角球开到前点，第一点被后卫破坏                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
14'亚泰掷出边线球                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
13'最爱长春亚泰 :亚泰应该能赢吧-----看吧~~看吧~~                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
13'米田贺大脚开出门球                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
14'艾尼奥中场将球转移到右路，孙捷传中到禁区，可惜没有队友接应啊                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
14'艾尼尼奥30米开外一脚远射，宗磊飞身将球扑出                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
14'亚泰角球                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
14'角球开到前点，第一点被后卫破坏                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
14'亚泰掷出边线球                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
15'聂涛逼抢时将球碰出底线，亚泰继续开角球                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
15'伊斯梅洛夫一脚扫射，打到了对方后卫身上                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
16'[qiangda]长春亚泰目前排名第几？                   13'第13分钟，埃尼奥35米开外突施冷箭，皮球划出外旋弧线直奔大门，宗垒注意力 十分集中，飞射侧扑将球挡出底线
17'泰达快速反击，白岳峰直塞瓦伦西亚，面对两人包夹，瓦伦西亚没有拿到球                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
17'孙捷外围一脚远射，皮球偏出了立柱                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
18'面对3人逼抢，张笑飞解围将球解出了边线                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
18'目前双方都没有什么好的机会啊                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
19'曹添堡禁区内转身做球给拉斐尔，拉斐尔跟进稍微有点慢，皮球被李玮峰伸脚断下来                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
19'双方互有攻守吧                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
19'泰达还在后场倒脚控制                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
20'手机用户2056271761 :难兄难弟，来个5:5回报球迷吧！----这。。。                   17'第17分钟，亚泰反击传出直线球，李晓挺插上直接射门，皮球稍稍偏出远门柱
25'聂涛后场将球塞给白岳峰，白岳峰停球停到了对方球员脚下，再去逼抢时被吹了犯规                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
25'瓦伦西亚中场背身拿球，被亚泰球员踢倒，裁判及时鸣哨                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
26'别让风吹走梦 :琪琪加油！--么么。。                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
26'谁会率先打破僵局呢？？？                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
27'张笑飞中场倒地铲倒了胡人天，被裁判出示了一张黄牌                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
27'这是本场比赛的第一张黄牌                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
28'杜震宇前场将球分给插上的周海滨时，被对方后卫将球碰出了边线                   25'第25分钟，王新欣得球回做，胡人天将球挑入禁区但 力量稍大，直接飞出了底线
28'杜震宇前场将球分给插上的周海滨时，被对方后卫将球碰出了边线                   28'第28分钟，天津队连续配合，王新欣 直接将传中球垫入禁区，插上的白岳峰被米田贺出击扑倒
29'周海滨右路传中，白岳峰高速插上，门将出击将白岳峰扑倒~                   28'第28分钟，天津队连续配合，王新欣 直接将传中球垫入禁区，插上的白岳峰被米田贺出击扑倒
29'裁判果断判罚了点球                   28'第28分钟，天津队连续配合，王新欣 直接将传中球垫入禁区，插上的白岳峰被米田贺出击扑倒
29'瓦伦西亚主罚点球                   28'第28分钟，天津队连续配合，王新欣 直接将传中球垫入禁区，插上的白岳峰被米田贺出击扑倒
30'瓦伦西亚打中路，被米田贺扑出！！！可惜了~~                   28'第28分钟，天津队连续配合，王新欣 直接将传中球垫入禁区，插上的白岳峰被米田贺出击扑倒
30'瓦伦西亚打中路，被米田贺扑出！！！可惜了~~                   30'第30分钟，亚泰队反击长传形成单刀，宗垒高速出击禁区外放倒埃尼奥
32'亚泰快速反击，贝切莱带球直接面对门将，宗磊已经出了禁区，将贝切莱碰倒~~                   30'第30分钟，亚泰队反击长传形成单刀，宗垒高速出击禁区外放倒埃尼奥
32'亚泰球员全都拥了过来，给裁判施压                   30'第30分钟，亚泰队反击长传形成单刀，宗垒高速出击禁区外放倒埃尼奥
32'但裁判只是给了宗磊一张黄牌，宗磊真是逃过一劫                   30'第30分钟，亚泰队反击长传形成单刀，宗垒高速出击禁区外放倒埃尼奥
32'亚泰获得禁区前的任意球                   30'第30分钟，亚泰队反击长传形成单刀，宗垒高速出击禁区外放倒埃尼奥
33'艾尼尼奥低平球穿越了人墙，但却打偏了                   30'第30分钟，亚泰队反击长传形成单刀，宗垒高速出击禁区外放倒埃尼奥
33'艾尼尼奥低平球穿越了人墙，但却打偏了                   33'第33分钟，埃尼奥 任意球低射偏出底线
34'qing2168 :宗磊绝对该得红牌----确实应该是红牌啊                   33'第33分钟，埃尼奥 任意球低射偏出底线
34'李本舰挑传给胡人天，球的力量太大了，直接出了底线                   33'第33分钟，埃尼奥 任意球低射偏出底线
35'贝切莱回做给吕建军，吕建军左路起球，结果球起的太大了，直接出了另一侧的边线                   33'第33分钟，埃尼奥 任意球低射偏出底线
36'这传中叫人拙计啊！！                   33'第33分钟，埃尼奥 任意球低射偏出底线
36'繁华落尽自始至终 :点球应该让杜震宇罚啊！---当时的细节时瓦伦西亚让给杜震宇罚，杜震宇拍拍瓦伦西亚婉拒了他 嘿嘿                   33'第33分钟，埃尼奥 任意球低射偏出底线
39'李玮峰后场长传找瓦伦西亚，力量太大了                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
40'泰达获得左侧角球~                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
40'皮球开到点球点附近，第一点被对方后卫顶出来                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
41'李本舰中场拼抢时推人犯规                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
41'李本舰拼抢头球时又被吹了犯规，他表示很是无奈啊                     39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
42'艾尼尼奥又获得主罚任意球的机会                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
42'开到前点，拉斐尔头球后蹭，顶的太正了，直接被宗磊拿到                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
42'今天两位门将都很抢眼啊                   39'第39分钟，杜震宇前场将球抢下抹入禁区，面对门将时被王万鹏回防铲倒
41'李本舰中场拼抢时推人犯规                   41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
41'李本舰拼抢头球时又被吹了犯规，他表示很是无奈啊                     41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
42'艾尼尼奥又获得主罚任意球的机会                   41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
42'开到前点，拉斐尔头球后蹭，顶的太正了，直接被宗磊拿到                   41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
42'今天两位门将都很抢眼啊                   41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
43'又是后场长传，结果直接传给了米田贺。                   41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
43'胡人天中场抢断成功，拉斐尔回抢时背后拉人犯规了                   41'第41分钟， 埃尼奥的任意球准确找到禁区中路的拉斐尔，后者甩头攻门太正被宗垒得到
50'胡人天中场挑传瓦伦西亚，皮球被对方后卫跳起破坏                   50'第50分钟，杜震宇左路传中，瓦伦西亚中间接应回做，周海滨大力轰门被米田贺扑住
51'瓦伦西亚禁区内背身拿球，但没有好的转身机会，就回做给周海滨，海滨禁区弧顶附近一脚远射，被米田贺稳稳抱住，角度还是打得太正了                   50'第50分钟，杜震宇左路传中，瓦伦西亚中间接应回做，周海滨大力轰门被米田贺扑住
52'孙捷背后推人犯规，被出示了黄牌                   50'第50分钟，杜震宇左路传中，瓦伦西亚中间接应回做，周海滨大力轰门被米田贺扑住
53'杜震宇将球吊进禁区，皮球稍微有点深，没有队友碰到皮球                   50'第50分钟，杜震宇左路传中，瓦伦西亚中间接应回做，周海滨大力轰门被米田贺扑住
57'泰达获得左侧角球                   57'第57分钟，聂涛左路下底传中被后卫挡出
57'杜震宇开出角球到前点，第一点被对方后卫顶出                   57'第57分钟，聂涛左路下底传中被后卫挡出
58'王新欣被烈鸟换下                   57'第57分钟，聂涛左路下底传中被后卫挡出
58'郭浩换下聂涛                   57'第57分钟，聂涛左路下底传中被后卫挡出
58'李晓铤直塞给孙捷，边裁举旗示意越位了                   57'第57分钟，聂涛左路下底传中被后卫挡出
59'烈鸟上场了，能否力挽狂澜呢？？？？                   57'第57分钟，聂涛左路下底传中被后卫挡出
60'那一年木棉花开落满地 :琪琪，我来了---好久不见                   57'第57分钟，聂涛左路下底传中被后卫挡出
60'杜震宇禁区弧顶附近直塞胡人天，力量稍微有点大，胡人天没有追上啊                   57'第57分钟，聂涛左路下底传中被后卫挡出
60'那一年木棉花开落满地 :琪琪，我来了---好久不见                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
60'杜震宇禁区弧顶附近直塞胡人天，力量稍微有点大，胡人天没有追上啊                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
61'郭浩外围一脚远射，皮球没有吃准部位，打了飞机                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
62'今天李本舰的发型真是亮~！！！                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
62'郭浩大脚将球开到前场                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
62'烈鸟将球分到右路                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
63'杜震宇左路下底传中，可惜后点没有队友接应                   60'第60分钟，烈鸟传中被顶出，郭皓跟上远射打偏
65'杜震宇左路传中，瓦伦西亚倒地铲射但没有碰到皮球，但后点无人看守的胡人天推射空门得手！！                   64'第64分钟，杜震宇左路再次 突入禁区，他低平球传到门前，瓦伦西亚没有赶上，但胡人天在后点轻松将球推入空门
66'宗磊大脚开出门球！！！                   64'第64分钟，杜震宇左路再次 突入禁区，他低平球传到门前，瓦伦西亚没有赶上，但胡人天在后点轻松将球推入空门
67'阿里汉的换人还是收到了一定的成效                   64'第64分钟，杜震宇左路再次 突入禁区，他低平球传到门前，瓦伦西亚没有赶上，但胡人天在后点轻松将球推入空门
65'杜震宇左路传中，瓦伦西亚倒地铲射但没有碰到皮球，但后点无人看守的胡人天推射空门得手！！                   65'第65分钟，埃尼奥直传，拉斐尔杀入禁区倚住后卫射门，但在李玮峰干扰下打偏
66'宗磊大脚开出门球！！！                   65'第65分钟，埃尼奥直传，拉斐尔杀入禁区倚住后卫射门，但在李玮峰干扰下打偏
67'阿里汉的换人还是收到了一定的成效                   65'第65分钟，埃尼奥直传，拉斐尔杀入禁区倚住后卫射门，但在李玮峰干扰下打偏
68'烈鸟禁区弧顶附近挑传给插入禁区的周海滨，周海滨小禁区线上稍作调整，起脚打门，皮球窜进网窝！！                   65'第65分钟，埃尼奥直传，拉斐尔杀入禁区倚住后卫射门，但在李玮峰干扰下打偏
73'李玮峰禁区内逼抢碰倒了艾尼尼奥，但裁判没有什么表示                   73'第73分钟，李玮峰绊倒贝切莱，烈鸟在开任意球时没有退够足够距离吃到黄牌
73'李玮峰禁区弧顶附近拉倒了贝切莱，亚泰获得一位置很好的定位球                   73'第73分钟，李玮峰绊倒贝切莱，烈鸟在开任意球时没有退够足够距离吃到黄牌
76'艾尼尼奥直接打门，宗磊脱手，贝切莱跟进补门，宗磊反应神速，将身体横过来将皮球挡出去                   73'第73分钟，李玮峰绊倒贝切莱，烈鸟在开任意球时没有退够足够距离吃到黄牌
77'闫峰中场铲球犯规被裁判出示了一张黄牌                   77'第77分钟，利马拿球摆脱被阎峰铲倒，后者吃 到黄牌
78'曹添堡右路起球传中，第一点被对方后卫顶出                   77'第77分钟，利马拿球摆脱被阎峰铲倒，后者吃 到黄牌
79'烈鸟后场长传，第一点被对方后卫破坏                   77'第77分钟，利马拿球摆脱被阎峰铲倒，后者吃 到黄牌
79'78分钟了，留给亚泰的时间不多了                   77'第77分钟，利马拿球摆脱被阎峰铲倒，后者吃 到黄牌
80'亚泰快速反击，拉斐尔直塞被利马倒地铲球将球破坏                   77'第77分钟，利马拿球摆脱被阎峰铲倒，后者吃 到黄牌
85'吕建军右路接球越位                   85'第85分钟，贝切莱左路生趟过掉白岳峰 ，但下底传中被利马抢先顶出
86'内切莱左路突破传中，第一点被利马头球顶出                   85'第85分钟，贝切莱左路生趟过掉白岳峰 ，但下底传中被利马抢先顶出
87'何超换下李晓铤                   85'第85分钟，贝切莱左路生趟过掉白岳峰 ，但下底传中被利马抢先顶出
88'大家可以积极预测比分，比赛结束后琪琪将从答对的同学中随机抽取3名会员送出哦                   85'第85分钟，贝切莱左路生趟过掉白岳峰 ，但下底传中被利马抢先顶出
88'亚泰后场断球反击，聊博超背后拉人犯规吃到了一张黄牌                   85'第85分钟，贝切莱左路生趟过掉白岳峰 ，但下底传中被利马抢先顶出
89'亚泰获得右侧角球                   89'第89分钟，亚泰连续禁区内攻门，天津队后卫用连续倒地身体挡出
90'禁区里面一片混战，宗磊倒地将球抱住！！                   89'第89分钟，亚泰连续禁区内攻门，天津队后卫用连续倒地身体挡出
91'全场补时5分钟                   89'第89分钟，亚泰连续禁区内攻门，天津队后卫用连续倒地身体挡出
93'贝切莱禁区内倒钩射门，结果打次了                   92'第92分钟，瓦伦西亚在对方禁区中突然变向甩开数名后卫，但面对门将时起脚偏软被 米田贺得到
94'拉斐尔中场拼抢头球时犯规                   92'第92分钟，瓦伦西亚在对方禁区中突然变向甩开数名后卫，但面对门将时起脚偏软被 米田贺得到
95'杜震宇左路传中，瓦伦西亚点球点附近得球，起脚打门打了飞机                   92'第92分钟，瓦伦西亚在对方禁区中突然变向甩开数名后卫，但面对门将时起脚偏软被 米田贺得到
94'拉斐尔中场拼抢头球时犯规                   94'第94分钟，杜震宇左路下底传中，瓦伦西亚无人盯防的情况下左脚扫射打高
95'杜震宇左路传中，瓦伦西亚点球点附近得球，起脚打门打了飞机                   94'第94分钟，杜震宇左路下底传中，瓦伦西亚无人盯防的情况下左脚扫射打高
