5'哈特开大脚险些被沃奥德洛夫跳起断下                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
32'富勒姆在失球了之后也将阵线往前提了好多                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
32'雨真的好大啊                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
33'大家看到大雨了吗？？                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
34'萨巴莱塔起脚传中，第一点被里瑟顶出                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
35'费尔南迪尼奥传球给米尔纳，球被富勒姆后卫倒地破坏出边线                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
35'内格雷多禁区内拼抢被吹了拉人犯规                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
35'卢大菜籽 :情歌球场----请问情歌是哪的啊                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
44'纳斯里接回传球起脚传中，亚亚图雷高高跃起但没有碰到皮球，皮球最终被汉格兰德顶出禁区                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
44'克里斯蒂诺罗 :孙大圣当时没固定位置。堪称全能。---这么厉害吗？？哈哈                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
45'科拉罗夫禁区左侧小角度打门，皮球狠狠砸在立柱上                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
45'娃子丫子 :主播连情歌球场都不懂，球龄太短了吧！-----我愿和大伙共同成长                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
46'莱斯克塔用身体将球保护出了底线                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
46'上半场补时2分钟                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
46'[qiangda]曼城主帅佩莱格里尼绰号叫什么?  A建筑师 B会计师 C工程师 D面点师                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
47'里特尝试送直塞球，被卡拉洛夫碰出边线                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
47'用户g5yi7n2hpk :真是YY进啦，我猜对啦--上墙鼓励下吧                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
47'里瑟左脚兜了一个很高的弧线传中，皮球被哈特没收了                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
46'下半时还会有进球吗？？                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
47'席尔瓦场长传找纳斯里，边裁举旗示意纳斯里越位                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
47'阿莫雷凯塔大脚将球开到前场，结果直接传给了哈特                   44'第44分钟，内格雷多传球，科拉罗夫禁区左侧小角度劲射被斯托克代尔扑挡后打中横梁弹回
63'费尔南迪尼奥左侧传中，找到后点的米尔纳，米尔纳射门被后卫挡住                   63'第63分钟，米尔纳禁区右侧的射门被封堵，科拉罗夫远射偏出
63'西德维尔铲翻亚亚图雷，被裁判吹了犯规                   63'第63分钟，米尔纳禁区右侧的射门被封堵，科拉罗夫远射偏出
64'[qiangda]佩莱格里尼没有执教过以下哪支球队?  A皇马 B马竞 C马拉加 D比利亚雷亚尔                   63'第63分钟，米尔纳禁区右侧的射门被封堵，科拉罗夫远射偏出
65'曼城获得禁区左侧任意球，皮球拨给亚亚图雷，亚亚图雷右脚一个美妙的弧线，皮球应声入网！！                   63'第63分钟，米尔纳禁区右侧的射门被封堵，科拉罗夫远射偏出
65'亚亚图雷帽子戏法了！！                   63'第63分钟，米尔纳禁区右侧的射门被封堵，科拉罗夫远射偏出
66'米尔纳人球分过过掉了海廷加                   63'第63分钟，米尔纳禁区右侧的射门被封堵，科拉罗夫远射偏出
65'曼城获得禁区左侧任意球，皮球拨给亚亚图雷，亚亚图雷右脚一个美妙的弧线，皮球应声入网！！                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
65'亚亚图雷帽子戏法了！！                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
66'米尔纳人球分过过掉了海廷加                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
67'富勒姆现任主帅：马加特。江湖传闻此人非常了得，有FM大师之称。有没有资深大神给指点下为什么马加特会被叫做FM大师呢？                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
67'席尔瓦被纳瓦斯换下！！                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
67'席尔瓦要为下场曼市德比留力了                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
68'丫丫今天要大四喜吗？？？                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
68'萨巴莱塔面对对方前锋逼抢将球回传哈特                   65'曼城第65分钟锁定胜局，纳斯里传球，亚亚-图雷30码处远射入右上角，3-0
77'曼城开出右侧角球，德米凯利斯前点后蹭，富勒姆后卫里特门线解围！！                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
78'富勒姆是没有什么机会了                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
79'恭喜以下用户获得直播室会员资格: 向鱼问水瓶                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
79'那亚亚图雷就是第二高新了呗？？                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
79'比赛还有最后的10分钟                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
80'正能量张志强 :预测4：0---大家觉得呢？？                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
80'科拉罗夫起脚传中，被汉格兰德破坏，曼城左侧角球                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
80'角球开到后点，并没有队友碰到皮球                   77'第77分钟，亚亚-图雷被罗德维尔换下，全场球迷起立鼓掌
84'费尔南迪尼奥禁区右侧大力抽射，皮球直挂近端死角！                   84'第84分钟，米尔纳传球，费尔南迪尼奥突入禁区右侧15码处劲射近角入网，4-0
85'有谁猜对比分了吗？举手让雯雯看看啊                   84'第84分钟，米尔纳传球，费尔南迪尼奥突入禁区右侧15码处劲射近角入网，4-0
86'虽然曼城正常比赛踢到不温不火，但还是4比0了！！                   84'第84分钟，米尔纳传球，费尔南迪尼奥突入禁区右侧15码处劲射近角入网，4-0
87'莫非难道还会进球？？？！！                   84'第84分钟，米尔纳传球，费尔南迪尼奥突入禁区右侧15码处劲射近角入网，4-0
