36'蒿俊闵后场得球，米尔泽耶夫斯基上抢犯规                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
86'对方解围又到了佩莱脚下                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
86'周海滨在前场抢球犯规！                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
87'鲁能泰山队右路攻到前场！                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
87'横传球到禁区内，于睿解围                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
87'蒿俊闵突破挑传，成源抢点侧身打门！被碰了一下出底线                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
87'鲁能泰山队得到角球机会                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
88'蒿俊闵发角球到前场，以坟解围出来                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
88'米尔泽耶夫斯基后场控球，对方两人包夹抢球犯规                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
88'金敬道带球突破挑传球，佩莱打门偏出！                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
89'蒋哲后场控到球，成源上抢犯规                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
89'险些抢断                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
89'金敬道右路带是攻！谭天澄阻挡犯规！！性质严重，吃黄牌！                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
67'长春亚泰队外围远射！偏出底线                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
67'韩镕泽大脚开球到前场！                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
67'成源争到球，于睿抢球犯规                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
67'鲁能泰山队得到前场左路任意球机会                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
67'把成源的裤子都拉下来啦！！不文明                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
68'任意球发出来，长春亚泰队大脚解围                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
68'鲁能泰山队回传球，再走中路进攻                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
68'米尔泽耶夫斯基直传球，长春亚泰队右路进攻                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
68'米尔泽耶夫斯基中路得球强突！被抢断下来                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
68'格德斯接球，中路带球过中场！分边路                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
69'格德斯右路带球突破！对方破坏出边线                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
69'这球出了底线，格德斯认为对方碰出底线                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
69'判给了鲁能泰山队角球                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
69'禁区风成源与对方抢位！孙捷倒地                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
69'角球发到禁区内，对方顶出来！                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
70'郑铮左路斜传门前，吴亚轲没收                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
70'成源中场得球直传球！对方把球断下来                   67'第67分钟，长春亚泰组织进攻，张力做球，伊哈洛劲射偏出
76'米尔泽耶夫斯基站在球前，主罚任意球                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
76'任意球直接打门！打在人墙上！                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
76'鲁能泰山队得球，右路直传进攻                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
77'格德斯右路带球攻到前场！禁区内横传球，到另一侧                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
77'金敬道在边线附近等球啊！                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
77'格德斯横传球，金敬道没能控好！球出底线                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
78'长春亚泰队传球到禁区内，范晓冬小角度打门，被挡出底线                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
78'这球越位在先！助理裁判举旗啦！                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
79'鲁能泰山队换人，周海滨上场，换下格德斯                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
79'于睿后场控球，回传一脚                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
79'成源在前场抢球犯规                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
79'任意球发出来，长春亚泰队把球转移到左路进攻                   76'第76分钟，伊哈洛赢得禁区前任意球，阿德里安射门被人墙挡出
88'蒿俊闵发角球到前场，以坟解围出来                   88'第88分钟，成源内切射门被后卫挡出底线
88'米尔泽耶夫斯基后场控球，对方两人包夹抢球犯规                   88'第88分钟，成源内切射门被后卫挡出底线
88'金敬道带球突破挑传球，佩莱打门偏出！                   88'第88分钟，成源内切射门被后卫挡出底线
89'蒋哲后场控到球，成源上抢犯规                   88'第88分钟，成源内切射门被后卫挡出底线
89'险些抢断                   88'第88分钟，成源内切射门被后卫挡出底线
89'金敬道右路带是攻！谭天澄阻挡犯规！！性质严重，吃黄牌！                   88'第88分钟，成源内切射门被后卫挡出底线
90'任意球发出来，鲁能泰山队传禁区，对方破坏                   88'第88分钟，成源内切射门被后卫挡出底线
90'后场任意球发出来！                   88'第88分钟，成源内切射门被后卫挡出底线
90'下半场要补时 3 分钟                   88'第88分钟，成源内切射门被后卫挡出底线
90'后场鲁能泰山队断球，走右路进攻                   88'第88分钟，成源内切射门被后卫挡出底线
91'后场鲁能泰山队得球长传前场左路                   88'第88分钟，成源内切射门被后卫挡出底线
91'长春亚泰队把球控下来，交给米尔泽耶夫斯基                   88'第88分钟，成源内切射门被后卫挡出底线
91'米尔泽耶夫斯基右路带球到前场，横传禁区后点！                   88'第88分钟，成源内切射门被后卫挡出底线
91'队友头球后顶，伊格哈罗的机会，抡脚打门被挡！                   88'第88分钟，成源内切射门被后卫挡出底线
91'球出边线，长春亚泰队前导播球                   88'第88分钟，成源内切射门被后卫挡出底线
91'鲁能泰山队要换人                   88'第88分钟，成源内切射门被后卫挡出底线
91'换下金敬道！                   88'第88分钟，成源内切射门被后卫挡出底线
