3'回传给门将德赫亚！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
30'马夏尔左侧得球突破！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
30'回传给博格巴！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
30'直接起左脚打门！！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
30'打右侧！！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
50'德赫亚大脚开球给前场左侧！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
50'阿什利-扬把球右路带过来！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
50'分球给前场中路博格巴！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
50'斜传球给禁区内左侧找马夏尔！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
50'马夏尔右脚挑射打门！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
51'GOOOOOOOOOAL！2-0！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
51'马夏尔的破门！曼联2-0领先埃弗顿！                   49'曼联第49分钟扩大比分，博格巴传球，马夏尔左路禁区边缘弧线球射入右下角，2-0
78'理查德森左路带球突入禁区内！！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
78'斯莫林铲倒了理查德森！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
78'裁判给了埃弗顿点球！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
78'西古德松主罚点球！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
78'西古德松助跑！右脚推射右路！！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
78'GOOOOOOOOOOOAL！！2-1！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
79'西古德松点球破门！埃弗顿1-2曼联！                   77'埃弗顿第77分钟扳回一城，博格巴后场传球失误丢球，西古德森直传，斯马林禁区左侧铲倒里查利森，西古德森主罚点球命中，1-2
95'马夏尔前场得球大反击！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
95'中路突破到禁区内！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
96'面对皮克福德！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
96'马夏尔右脚打门！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
96'皮克福德把球扑出右侧底线！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
96'曼联的右侧角球！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
96'角球开出给禁区右侧马夏尔！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
96'马夏尔遭到逼抢！自己把球趟出边线！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
97'埃弗顿后场左侧发球给后场中路！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
97'卢卡库争顶碰到！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
97'皮球到了禁区内！皮克福德拿到没收！                   94'第94分钟，弗雷德传球，马夏尔单刀突入禁区内射门被皮克福德扑挡出底线
