2'射门!!!AC米兰球员德容大禁区外右脚射门,被对方守门员横身扑出.                   2'开场2分钟，德容在门前22米处低射太正被佩戈洛得到
49'萨索洛球员扎乍大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是基布萨.                   46'但仅过1分钟，库尔蒂奇直传，贝拉尔迪反越位趟过阿比亚蒂，在门前6米处左脚推进空门，1比2
46'安泰为萨索洛赢得一个任意球.                   46'1分钟后，贝拉尔迪突入禁区左侧射门被博内拉封堵，但他紧接着在门前9米处转身左脚勾射入近角，2比2
46'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   46'1分钟后，贝拉尔迪突入禁区左侧射门被博内拉封堵，但他紧接着在门前9米处转身左脚勾射入近角，2比2
47'进球啦！！！萨索洛球员贝拉尔迪大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是库尔蒂奇. 萨索洛 4-2 AC米兰.                   46'1分钟后，贝拉尔迪突入禁区左侧射门被博内拉封堵，但他紧接着在门前9米处转身左脚勾射入近角，2比2
49'萨索洛球员阿里奥多拼抢犯规,对手获得控球权.                   46'1分钟后，贝拉尔迪突入禁区左侧射门被博内拉封堵，但他紧接着在门前9米处转身左脚勾射入近角，2比2
49'巴洛特利为AC米兰赢得一个任意球.                   46'1分钟后，贝拉尔迪突入禁区左侧射门被博内拉封堵，但他紧接着在门前9米处转身左脚勾射入近角，2比2
49'萨索洛球员扎乍大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是基布萨.                   46'1分钟后，贝拉尔迪突入禁区左侧射门被博内拉封堵，但他紧接着在门前9米处转身左脚勾射入近角，2比2
32'AC米兰球员巴洛特利大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是克里斯坦特.                   32'第32分钟，巴洛特利左路内切低射偏出远门柱
32'萨索洛球员马纳内利拼抢犯规,对手获得控球权.                   32'第32分钟，巴洛特利左路内切低射偏出远门柱
32'卡卡为AC米兰在对方半场,赢得一个任意球.                   32'第32分钟，巴洛特利左路内切低射偏出远门柱
35'AC米兰球员罗比尼奥一脚直塞球给巴洛特利,但是边裁举旗显示后者已经越位.                   32'第32分钟，巴洛特利左路内切低射偏出远门柱
41'进球啦！！！萨索洛球员贝拉尔迪大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是隆吉. 萨索洛 3-2 AC米兰.                   41'第41分钟，隆吉左路传中，贝拉尔迪在门前9米处准确抢点推射入左下角，萨索洛3比2反超
42'AC米兰球员德容一脚直塞球给德希利奥,但是边裁举旗显示后者已经越位.                   41'第41分钟，隆吉左路传中，贝拉尔迪在门前9米处准确抢点推射入左下角，萨索洛3比2反超
43'萨索洛球员齐格勒拼抢犯规,对手获得控球权.                   41'第41分钟，隆吉左路传中，贝拉尔迪在门前9米处准确抢点推射入左下角，萨索洛3比2反超
43'卡卡为AC米兰在对方半场,赢得一个任意球.                   41'第41分钟，隆吉左路传中，贝拉尔迪在门前9米处准确抢点推射入左下角，萨索洛3比2反超
43'黄牌！萨索洛球员齐格勒因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，隆吉左路传中，贝拉尔迪在门前9米处准确抢点推射入左下角，萨索洛3比2反超
44'博内拉将球处理出底线,萨索洛获得角球.                   41'第41分钟，隆吉左路传中，贝拉尔迪在门前9米处准确抢点推射入左下角，萨索洛3比2反超
43'萨索洛球员齐格勒拼抢犯规,对手获得控球权.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
43'卡卡为AC米兰在对方半场,赢得一个任意球.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
43'黄牌！萨索洛球员齐格勒因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
44'博内拉将球处理出底线,萨索洛获得角球.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
45'德容将球处理出底线,萨索洛获得角球.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
45'德容将球处理出底线,萨索洛获得角球.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
45'上半场结束,萨索洛 3-2 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
46'安泰为萨索洛赢得一个任意球.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
46'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   43'第43分钟，齐格勒背后推倒卡卡，被黄牌警告
62'萨索洛球员安泰拼抢犯规,对手获得控球权.                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
62'巴洛特利为AC米兰赢得一个任意球.                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
62'AC米兰球员巴洛特利大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是蒙托利沃.                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
64'萨索洛球员加佐拉拼抢犯规,对手获得控球权.                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
64'巴洛特利为AC米兰赢得一个任意球.                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
64'黄牌！萨索洛球员加佐拉因为恶意犯规,被主裁判出示黄牌.                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
65'AC米兰换人,本田圭佑换下罗比尼奥                   62'第62分钟，巴洛特利左路内切距门20米处低射贴远门柱而出
65'AC米兰换人,本田圭佑换下罗比尼奥                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
66'阿里奥多为萨索洛赢得一个任意球.                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
66'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
66'萨索洛球员阿里奥多拼抢犯规,对手获得控球权.                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
66'帕齐尼为AC米兰赢得一个任意球.                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
67'AC米兰球员卡卡大禁区中央右脚射门,被防守球员封堵.给他传球的是德希利奥.                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
67'马纳内利将球处理出底线,AC米兰获得角球.                   65'第65分钟，德希利奥禁区右侧回敲，卡卡在门前15米处抽射碰马尼亚内利挡出横梁
83'AC米兰球员本田圭佑大禁区外左脚射门,命中门柱右侧立柱.给他传球的是蒙托利沃.                   83'第83分钟，蒙托利沃左路低传，本田圭佑在门前16米处左脚抽射击中右门柱弹回
83'射门!!!AC米兰球员帕齐尼球门线跟前左脚射门,被对方守门员横身扑出.给他传球的是卡卡.                   83'第83分钟，蒙托利沃左路低传，本田圭佑在门前16米处左脚抽射击中右门柱弹回
84'加佐拉将球处理出底线,AC米兰获得角球.                   83'第83分钟，蒙托利沃左路低传，本田圭佑在门前16米处左脚抽射击中右门柱弹回
84'萨索洛换人,弗洛雷斯换下扎乍                   83'第83分钟，蒙托利沃左路低传，本田圭佑在门前16米处左脚抽射击中右门柱弹回
86'进球啦！！！AC米兰球员蒙托利沃大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是德容. 萨索洛 4-3 AC米兰.                   83'第83分钟，蒙托利沃左路低传，本田圭佑在门前16米处左脚抽射击中右门柱弹回
86'进球啦！！！AC米兰球员蒙托利沃大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是德容. 萨索洛 4-3 AC米兰.                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
87'AC米兰球员帕齐尼大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是德希利奥.                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
87'萨索洛换人,马佐拉蒂换下库尔蒂奇                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
88'射门!!!AC米兰球员巴洛特利大禁区中央头球,被对方守门员横身扑出.给他传球的是蒙托利沃.                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
88'AC米兰球员帕齐尼球门线跟前头球,命中门柱横梁.                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
88'齐格勒为萨索洛赢得一个任意球.                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
88'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   85'第85分钟，本田圭佑右路挑传，巴洛特利禁区内倒地，但主裁判没有中断比赛
88'射门!!!AC米兰球员巴洛特利大禁区中央头球,被对方守门员横身扑出.给他传球的是蒙托利沃.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
88'AC米兰球员帕齐尼球门线跟前头球,命中门柱横梁.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
88'齐格勒为萨索洛赢得一个任意球.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
88'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
89'黄牌！AC米兰球员德希利奥因为恶意犯规,被主裁判出示黄牌.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+3'马佐拉蒂为萨索洛赢得一个任意球.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+3'AC米兰球员帕齐尼拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+4'弗洛雷斯为萨索洛在对方半场,赢得一个任意球.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+4'AC米兰球员埃马纽尔森拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+5'AC米兰球员埃马纽尔森大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+5'AC米兰球员德容一脚直塞球给博内拉,但是边裁举旗显示后者已经越位.                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
90'+6'下半场结束,萨索洛 4-3 AC米兰                   88'第88分钟，蒙托利沃右路传中，巴洛特利头球被佩戈洛扑出，帕齐尼在门前5米处头球补射击中横梁
46'安泰为萨索洛赢得一个任意球.                   46'补时第1分钟，巴洛特利禁区内被拉倒，未能获得点球
46'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   46'补时第1分钟，巴洛特利禁区内被拉倒，未能获得点球
47'进球啦！！！萨索洛球员贝拉尔迪大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是库尔蒂奇. 萨索洛 4-2 AC米兰.                   46'补时第1分钟，巴洛特利禁区内被拉倒，未能获得点球
49'萨索洛球员阿里奥多拼抢犯规,对手获得控球权.                   46'补时第1分钟，巴洛特利禁区内被拉倒，未能获得点球
49'巴洛特利为AC米兰赢得一个任意球.                   46'补时第1分钟，巴洛特利禁区内被拉倒，未能获得点球
49'萨索洛球员扎乍大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是基布萨.                   46'补时第1分钟，巴洛特利禁区内被拉倒，未能获得点球
