1'.上半场比赛开始！！！                   1'巴萨第1分钟积极施压
25'运气稍稍差了一点点                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
27'巴萨禁区内拿球给到苏亚雷斯                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
27'苏亚雷斯停球后面对门将                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
27'晃开角度被补防的后卫碰出底线                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
27'巴萨的角球机会                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
27'角球送禁区中路                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
27'第一点被格拉纳达球员解围                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
44'格拉纳达这边办法不多                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
44'0-1！！！                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
44'苏亚雷斯！！                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
45'巴萨后场长传打身后，苏亚雷斯前插到禁区，面对出击的门将挑射破门！！                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
45'奥乔亚想出没有完全出来                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
45'奥乔亚这边也是有些失误                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
45'上半场补时1分钟！！                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
46'苏亚雷斯边路拿球将球回敲                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
46'边路挑传到底线                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
46'内马尔突进来                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
46'倒三角传回来被解围                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
46'下半场比赛开始！！                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
46'下半场比赛由巴萨开球                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
47'巴萨右路传球到底线                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
47'队友接球后小角度打门被门将扑出                   44'巴萨第44分钟打破僵局，阿尔巴长传，苏亚雷斯禁区边缘单刀挑射入网
50'1-1！！！！                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
50'博加！！！                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
50'中场才换上来的球员                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
51'效果很明显啊                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
51'格拉纳达中场送直塞，博加甩开后卫的追防形成单刀，禁区内小角度推射远角破门！！                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
51'两队回到同一起跑线了                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
52'巴萨左路起球送禁区                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
52'后点队友包抄没有碰到                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
53'格拉纳达这边的气势起来了                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
53'前场界外球的机会                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
53'掷球到禁区里被破坏                   50'格拉纳达第50分钟扳平，索尼耶直传，刚刚替补出场的博加反越位成功，他在禁区右肋10码处单刀低射，皮球击中左侧立柱入网，1-1
64'1-2！！！                   64'巴萨第64分钟再次超出，苏亚雷斯送出凌空直传，帕科10码处单刀捅射入网，2-1
64'阿尔卡塞尔！！                   64'巴萨第64分钟再次超出，苏亚雷斯送出凌空直传，帕科10码处单刀捅射入网，2-1
64'同样也是被换上场的球员                   64'巴萨第64分钟再次超出，苏亚雷斯送出凌空直传，帕科10码处单刀捅射入网，2-1
64'苏亚雷斯前场接球挑传到禁区，阿尔卡塞尔后插上后推射近角破门！！                   64'巴萨第64分钟再次超出，苏亚雷斯送出凌空直传，帕科10码处单刀捅射入网，2-1
82'任意球打一个战术配合                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
82'左路下底给到禁区中路                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
82'第一点被巴萨球员顶出                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
82'乌切这边又是被出示了一张黄牌！！                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
82'这样乌切两黄变一红被罚下场                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
83'1-3！！！                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
83'拉基蒂奇！！                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
84'内马尔左路内切后给到苏亚雷斯，苏亚雷斯接球后想晃开防守，结果错进错出到了拉基蒂奇脚下，拉基蒂奇禁区线上抽射远端破门！！                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
84'奥乔亚这边也是没有什么反应                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
85'巴萨这边要准备再次换人                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
85'同样也是最后一次调整                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
85'格拉纳达左路底线拿球                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
85'过掉防守球员后敲回来                   82'格拉纳达第82分钟遭遇打击，乌切3分钟连得2张黄牌被罚下
91'比赛进入到补射阶段                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
91'补时有2分钟！！                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
91'巴萨前场拿球给到禁区弧顶                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
91'1-4！！！                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
91'内马尔！！                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
92'苏亚雷斯前场挑传给到禁区右路，阿尔卡塞尔接球后横敲到门前，后点的内马尔推射将球打进！！                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
92'巴萨的这次配合还是很流畅的                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
93'格拉纳达这边前场丢球                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
93'巴萨这边反击险些再进一球                   91'第91分钟，帕科禁区右侧传中，无人防守的内马尔小禁区边缘推射入网，4-1
