3'巴萨后场拿球往前走                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
26'梅西传球给到禁区                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
26'落点给的比较高                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
26'巴萨左侧送直塞到底线                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
26'库蒂尼奥小角度直接打了                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'被解围出了底线                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'巴萨的角球                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'看看这次                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'角球给到中路                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'内托出击失误了                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'后卫二点补防将球解围出去                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'瓦伦西亚的反击                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
27'瓦伦西亚的反击很犀利啊                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
32'罗贝托手上有动作                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
32'帕雷霍来主罚点球！！                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
33'帕雷霍点球推射左侧，特尔施特根判断对了方向，但没能将球扑出去！！！                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
33'0-2！！！                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
33'这样的比分多少有些意外啊                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
33'帕雷霍这脚速度够快，角度够刁钻                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
35'巴萨前场左侧拿球                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
35'横向转移                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
35'塞梅多拿球控一下                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
35'瓦伦西亚拦截下来                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
35'边路送直塞也是被破坏                   32'瓦伦西亚第32分钟扩大比分，罗伯托禁区内推倒沃斯，第300次西甲出场的帕雷霍主罚点球命中，2-0
44'巴萨获得角球                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'战术角球开出                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'罗贝托禁区内打近角                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'打在了立柱上往回弹                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'没有往门里弹                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'有些可惜啊                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'巴萨也是错过一次扳平比分的机会                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'巴萨卷土重来                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'梅西禁区前沿挑传                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
44'差了一点点                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
45'巴萨长传打到禁区                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
45'梅西的垫射差了一点点                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
45'传球的是拉基蒂奇                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
46'上半场补时3分钟！！                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
46'下半场比赛开始！！                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
46'下半场比赛由巴萨开球                   43'第43分钟，梅西战术角球配合中传球，罗伯托禁区左侧劲射憾中近角立柱弹回，梅西小角度传射被内托没收
64'罗德里戈倒地的滑铲将球打飞                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
64'2-2！！！                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
64'梅西！！！                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
65'苏亚雷斯前场左路拿球内切，禁区弧顶被后卫挡了一下，比达尔接球回做，梅西跟进起左脚推射破门！！                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
65'巴萨扳平了比分                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
66'巴萨换人                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
66'阿莱尼亚下，阿图尔上！                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
66'双方都还有机会                   64'巴萨第64分钟扳平，比达尔传球，梅西面对数人防守禁区弧边缘果断射门，皮球窜入左下角，2-2
