2'帕尔马球员卢卡雷利拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念帕尔马主席吉拉尔迪的祖父帕索蒂
51'帕尔马球员卡萨诺大禁区左侧右脚射门,被防守球员封堵.给他传球的是比亚比亚尼.                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
52'帕尔马球员菲利佩拼抢犯规,对手获得控球权.                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
52'比尔萨为AC米兰赢得一个任意球.                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
52'AC米兰换人,卡卡换下波利                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
52'AC米兰换人,马特里换下巴洛特利                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
53'帕尔马球员加尔加诺大禁区中央左脚射门,被防守球员封堵.给他传球的是戈比.                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
53'萨帕塔将球处理出底线,帕尔马获得角球.                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
53'帕尔马球员加尔加诺大禁区中央左脚射门,被防守球员封堵.给他传球的是戈比.                   53'第53分钟，戈比左路传中，加尔加诺在门前9米处右脚卸球左脚凌空抽射，被萨帕塔伸脚挡出横梁
53'萨帕塔将球处理出底线,帕尔马获得角球.                   53'第53分钟，戈比左路传中，加尔加诺在门前9米处右脚卸球左脚凌空抽射，被萨帕塔伸脚挡出横梁
55'帕尔马球员加尔加诺拼抢犯规,对手获得控球权.                   53'第53分钟，戈比左路传中，加尔加诺在门前9米处右脚卸球左脚凌空抽射，被萨帕塔伸脚挡出横梁
55'康斯坦特为AC米兰赢得一个任意球.                   53'第53分钟，戈比左路传中，加尔加诺在门前9米处右脚卸球左脚凌空抽射，被萨帕塔伸脚挡出横梁
59'帕尔马球员加尔加诺大禁区中央右脚射门,命中门柱横梁.给他传球的是卡萨诺.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
60'帕尔马球员帕罗洛拼抢犯规,对手获得控球权.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
60'蒙托利沃为AC米兰赢得一个任意球.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
61'进球啦！！！AC米兰球员马特里大禁区右侧右脚射门,球从左下角飞进球门,球进了! 帕尔马 2-1 AC米兰.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
62'帕尔马球员菲利佩拼抢犯规,对手获得控球权.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
62'比尔萨为AC米兰赢得一个任意球.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
62'射门!!!AC米兰球员卡卡大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是马特里.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
62'米兰特将球处理出底线,AC米兰获得角球.                   59'第59分钟，比亚比亚尼右路传中，卡萨诺后点拿球再传中，加尔加诺劲射击中横梁
48'帕尔马球员阿毛里拼抢犯规,对手获得控球权.                   47'仅过2分钟，马特里直传，卡卡在门前9米处推射被米兰特封出底线，比尔萨右侧开出角球，萨帕塔后点距门7米处头球击中横梁，西尔维斯特雷头球补射入网，2比2
48'萨帕塔为AC米兰赢得一个任意球.                   47'仅过2分钟，马特里直传，卡卡在门前9米处推射被米兰特封出底线，比尔萨右侧开出角球，萨帕塔后点距门7米处头球击中横梁，西尔维斯特雷头球补射入网，2比2
68'AC米兰球员蒙托利沃大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   68'第68分钟，AC米兰右路传中被破坏，蒙托利沃禁区前沿推射击中边网
68'帕尔马菲利佩受伤倒地,比赛暂停                   68'第68分钟，AC米兰右路传中被破坏，蒙托利沃禁区前沿推射击中边网
68'暂停结束,球员们重新开始比赛.                   68'第68分钟，AC米兰右路传中被破坏，蒙托利沃禁区前沿推射击中边网
70'帕尔马卡萨诺受伤倒地,比赛暂停                   68'第68分钟，AC米兰右路传中被破坏，蒙托利沃禁区前沿推射击中边网
70'暂停结束,球员们重新开始比赛.                   68'第68分钟，AC米兰右路传中被破坏，蒙托利沃禁区前沿推射击中边网
75'射门!!!AC米兰球员蒙托利沃大禁区外右脚射门,被对方守门员横身扑出.给他传球的是比尔萨.                   75'第75分钟，蒙托利沃远射被米兰特得到
76'帕尔马换人,贝纳卢安上,菲利佩因伤下场.                   75'第75分钟，蒙托利沃远射被米兰特得到
78'帕尔马球员帕罗洛拼抢犯规,对手获得控球权.                   75'第75分钟，蒙托利沃远射被米兰特得到
78'蒙托利沃为AC米兰在对方半场,赢得一个任意球.                   75'第75分钟，蒙托利沃远射被米兰特得到
78'黄牌！帕尔马球员帕罗洛因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟，蒙托利沃远射被米兰特得到
78'帕尔马球员帕罗洛拼抢犯规,对手获得控球权.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
78'蒙托利沃为AC米兰在对方半场,赢得一个任意球.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
78'黄牌！帕尔马球员帕罗洛因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
79'AC米兰球员比尔萨大禁区外尝试左脚射门,可惜皮球稍稍高出球门.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
79'帕尔马球员帕罗洛拼抢犯规,对手获得控球权.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
79'西尔维斯特雷为AC米兰赢得一个任意球.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
80'帕罗洛将球处理出底线,AC米兰获得角球.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
81'加尔加诺为帕尔马在右路,赢得一个任意球.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
81'AC米兰球员罗比尼奥危险动作,对手获得控球权.                   78'第78分钟，帕罗洛绊倒蒙托利沃，被黄牌警告，比尔萨右侧距门25米处左脚任意球掠过横梁
83'卢卡雷利将球处理出底线,AC米兰获得角球.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
83'阿里安度-罗西为帕尔马在对方半场,赢得一个任意球.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
83'AC米兰球员德容拼抢犯规,对手获得控球权.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
83'黄牌！AC米兰球员德容因为恶意犯规,被主裁判出示黄牌.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
83'帕尔马球员卢卡雷利被主裁判出示了一张黄牌.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
85'帕尔马球员阿里安度-罗西拼抢犯规,对手获得控球权.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
85'康斯坦特为AC米兰在左路,赢得一个任意球.                   83'第83分钟出现争议，帕尔马打出反击，德容铲倒几乎单刀的A-罗西，但主裁判只亮出黄牌，帕尔马提出抗议
89'AC米兰球员比尔萨大禁区外尝试左脚射门,可惜皮球高出球门.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'射门!!!帕尔马球员阿里安度-罗西小禁区右侧右脚射门,被对方守门员横身扑出.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'帕尔马球员加尔加诺拼抢犯规,对手获得控球权.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'萨波纳拉为AC米兰赢得一个任意球.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'黄牌！帕尔马球员加尔加诺因为恶意犯规,被主裁判出示黄牌.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'+4'桑索为帕尔马在对方半场,赢得一个任意球.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'+4'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'+4'黄牌！AC米兰球员萨帕塔因为恶意犯规,被主裁判出示黄牌.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'+4'进球啦！！！帕尔马球员帕罗洛右脚射门,球从左下角飞进球门,球进了! 帕尔马 3-2 AC米兰.                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
90'+6'下半场结束,帕尔马 3-2 AC米兰                   89'第89分钟，康斯坦特解围失误，A-罗西禁区右侧距门4米处捅射被加布里埃尔倒地封出
51'射门!!!帕尔马球员阿毛里大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
51'帕尔马球员卡萨诺大禁区左侧右脚射门,被防守球员封堵.给他传球的是比亚比亚尼.                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
52'帕尔马球员菲利佩拼抢犯规,对手获得控球权.                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
52'比尔萨为AC米兰赢得一个任意球.                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
52'AC米兰换人,卡卡换下波利                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
52'AC米兰换人,马特里换下巴洛特利                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
53'帕尔马球员加尔加诺大禁区中央左脚射门,被防守球员封堵.给他传球的是戈比.                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
53'萨帕塔将球处理出底线,帕尔马获得角球.                   50'补时第5分钟，帕罗洛在门前35米处主罚任意球大力低射，球在加布里埃尔面前反弹钻进左下角，3比2
