3'射门!!!切沃球员卡斯特罗大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是戈比.
79'国际米兰球员拉诺齐亚拼抢犯规,对手获得控球权.
80'哈特马吉为切沃在左路,赢得一个任意球.
80'国际米兰球员瓜林拼抢犯规,对手获得控球权.
81'切沃换人,佩佩换下里戈尼
81'国际米兰球员佩里西奇大禁区左侧左脚射门,被防守球员封堵.给他传球的是瓜林.
83'切沃球员B-塞萨尔拼抢犯规,对手获得控球权.
83'帕拉西奥为国际米兰赢得一个任意球.
84'切沃姆波库受伤倒地,比赛暂停
85'暂停结束,球员们重新开始比赛.
85'国际米兰换人,布罗佐维奇换下孔多比亚
86'切沃球员哈特马吉拼抢犯规,对手获得控球权.
86'帕拉西奥为国际米兰在对方半场,赢得一个任意球.
87'N-弗雷将球处理出底线,国际米兰获得角球.
88'国际米兰球员桑顿大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.
90'切沃球员哈特马吉大禁区右侧右脚射门,被防守球员封堵.
90'梅洛将球处理出底线,切沃获得角球.
90'切沃球员B-塞萨尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是佩佩.
90'+1'切沃球员哈特马吉大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅吉奥里尼.
90'+1'切沃球员甘贝里尼拼抢犯规,对手获得控球权.
90'+1'伊卡尔迪为国际米兰在对方半场,赢得一个任意球.
90'+2'切沃球员戈比拼抢犯规,对手获得控球权.
90'+2'帕拉西奥为国际米兰在右路,赢得一个任意球.
90'+2'姆波库为切沃在左路,赢得一个任意球.
90'+2'国际米兰球员瓜林拼抢犯规,对手获得控球权.
90'+4'切沃球员姆波库拼抢犯规,对手获得控球权.
90'+4'帕拉西奥为国际米兰在右路,赢得一个任意球.
90'+4'黄牌！切沃球员姆波库因为恶意犯规,被主裁判出示黄牌.
90'+6'下半场结束,切沃 0-1 国际米兰
