1'上半场比赛开始！                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
26'可能有1点小倔强：踢得好难看！中国球员不会跑位！为对手拉开空挡！两个人配合没有第三点出来！【还需不断的提高】                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
28'贵州茅台挑传送禁区后点                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
28'吉翔一个滑铲将球解围出底线                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
28'角球送后点，关震出击将球摘到                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
28'现在舜天有些被动，进攻端没有什么起色                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
33'埃雷尔森中场控球，稍微稳一下节奏                   33'第33分钟，舜天队禁区内横传门前制造威胁
33'安塔尔中场的转移险些失误                   33'第33分钟，舜天队禁区内横传门前制造威胁
34'周云右路传球送禁区内                   33'第33分钟，舜天队禁区内横传门前制造威胁
34'可惜中路并没有队友接应                   33'第33分钟，舜天队禁区内横传门前制造威胁
34'贵州茅台也是发动反击                   33'第33分钟，舜天队禁区内横传门前制造威胁
34'尤里的远射打高了                   33'第33分钟，舜天队禁区内横传门前制造威胁
35'尤里前场拼抢的时候对李昂有侵犯                   33'第33分钟，舜天队禁区内横传门前制造威胁
35'尤里在犯规后做了一个非体育道德的动作，得到一张黄牌！                   33'第33分钟，舜天队禁区内横传门前制造威胁
36'【互动话题】贵州茅台开场后的表现谁让你眼前一亮？                   33'第33分钟，舜天队禁区内横传门前制造威胁
36'路南的新时代：安踏尔打拖后中卫，可惜了，他的后排插上的远射功夫还是一绝啊！【还是得等机会】                   33'第33分钟，舜天队禁区内横传门前制造威胁
35'尤里前场拼抢的时候对李昂有侵犯                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
35'尤里在犯规后做了一个非体育道德的动作，得到一张黄牌！                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
36'【互动话题】贵州茅台开场后的表现谁让你眼前一亮？                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
36'路南的新时代：安踏尔打拖后中卫，可惜了，他的后排插上的远射功夫还是一绝啊！【还是得等机会】                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
37'舜天左路斜传球送到禁区后点                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
37'周云前场的垫射没有吃正部位                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
38'舜天左路起球到禁区内                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
38'德扬禁区内拿球有些不舒服                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
38'球最后还是被断了                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
38'安塔尔中场上抢的时候犯规了                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
38'德扬刚刚的禁区内的接球也是稍微有些岔气                   35'第35分钟尤里前场对李昂犯规吃到本场比赛首张黄牌
49'邓卓翔任意球送禁区后点                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
49'落点不错，可惜李昂没有顶到这球                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
50'【互动话题】两队半场加起来5次打门，没有一次射正，这说明什么？                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
51'贵州茅台左路进攻传球到禁区内                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
51'禁区内，贵州茅台的两次射门都被后卫挡了下来                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
51'这次进攻也是舜天的后防线上险象环生                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
52'安塔尔边路的防守手上有个动作                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
52'左侧禁区边缘，贵州茅台获得任意球机会                   49'第49分钟，邓卓翔发出一记落点不错的任意球，可惜包抄队友未能形成射门
53'任意球送前点被挡了出来                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
53'孙可快速反击被陈昌源拉倒                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
53'战术法规啊                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
53'场上吴曦又倒在了地上                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
54'原来吴曦后场解围的时候被李春郁推了一下                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
55'尤里右路突破被吉翔放倒                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
56'任意球还是打前点，还是被顶了出来                   53'第53分钟贵州队任意球被解围后主队形成反击，吴曦快速反击遭陈昌源战术犯规，后者染黄
62'舜天右路进攻被放倒                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
62'裁判示意赶快起身，这球并不犯规                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
63'尤里前场接球，反抢的时候手上有小动作被吹了犯规                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
64'德扬前场拿球横向传球到禁区弧顶                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
64'孙可假动作晃开空挡，一脚打门被张成林碰了一下                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
64'张烈反击很快，侧扑将球扑出底线                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
65'舜天战术角球开出，威胁不大                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
65'贵州茅台这边禁区外围的远射也是颇具威胁                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
65'艾利亚斯中场抢球犯规                   62'舜天在换上艾里亚斯后开始发力，第62分钟德扬背身接球脚后跟一垫，禁区前的孙可得球后稍做调整顺势抽射，皮球变向后被张烈奋力托出
67'艾利亚斯禁区外围转身的打门被张烈飞身扑出！！                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
67'实在是精彩                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
67'舜天角球给中路，周云头球攻门被后卫拦了下来                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
69'周云右路起球送后点                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
69'两人位置有些重叠，浪费了一次机会                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
69'艾利亚斯中场滑铲动作有些大                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
69'艾利亚斯得到一张黄牌！                   67'第67分钟，艾里亚斯禁区外凌空打出一记高质量抽射，张烈飞身将球扑出底线
75'饶伟辉左路带球强行超车                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
75'禁区内小角度打门打高了                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
76'孙可左路跟队友做撞墙式配合                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
76'德扬禁区弧顶拿球被放倒                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
76'任意球！！                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
77'艾利亚斯和邓卓翔都站在了球前                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
77'这任意球位置非常好                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
77'邓卓翔任意球直接打门，球被张烈扑出底线                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
78'角球开到后点，舜天队争到了第一点                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
78'但力量不大，第二点被解围了                   75'第75分钟，饶伟辉左路接队友斜塞强势抹入禁区，他选择小角度直接爆射打高
77'艾利亚斯和邓卓翔都站在了球前                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
77'这任意球位置非常好                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
77'邓卓翔任意球直接打门，球被张烈扑出底线                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
78'角球开到后点，舜天队争到了第一点                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
78'但力量不大，第二点被解围了                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
79'禁区外围，马辛斯基争抢球的时候直接踢到了邓卓翔的脑袋上                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
79'..马辛斯基得到一张黄牌！                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
79'这球挺危险的                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
79'场上也险些发生冲突                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
79'舜天队这任意球距离稍微有些远                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
80'直接打门，打得有些正，但力量还是有的                   77'第77分钟，德扬禁区前得球被孙继海直接放倒，邓卓翔左脚标志性任意球直接攻门被张烈飞身扑出
85'贵州茅台左路策动攻势                   84'第84分钟，艾里亚斯禁区前分边，周云送出传中，中路无人防守的德扬头球冲顶打高，贵州再逃一劫
85'给到禁区内，越位了。。                   84'第84分钟，艾里亚斯禁区前分边，周云送出传中，中路无人防守的德扬头球冲顶打高，贵州再逃一劫
86'舜天右路起球到禁区内                   84'第84分钟，艾里亚斯禁区前分边，周云送出传中，中路无人防守的德扬头球冲顶打高，贵州再逃一劫
86'队友头球蹭了一下后还是出了底线                   84'第84分钟，艾里亚斯禁区前分边，周云送出传中，中路无人防守的德扬头球冲顶打高，贵州再逃一劫
87'舜天中场防守推人犯规                   84'第84分钟，艾里亚斯禁区前分边，周云送出传中，中路无人防守的德扬头球冲顶打高，贵州再逃一劫
87'邓卓翔后场拿球往前走又被放倒                   84'第84分钟，艾里亚斯禁区前分边，周云送出传中，中路无人防守的德扬头球冲顶打高，贵州再逃一劫
