1'上半场比赛开始                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
51'费尔南迪奥右路突破下底横传禁区，被破坏出来                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
51'郑铮左路抢到球，大脚解围时费尔南迪奥将其推倒                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
52'郑铮倒在地上，还笑着对费尔南迪奥！这样的球员让人喜欢！                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
52'吉利奥蒂在前场抢球又犯规                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
52'任意球发出来，鲁能泰山队把球传到右路，王永珀横传球交给尤西雷                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
53'阿洛伊西奥带球到禁区内，脚后跟传球，王永珀插上被绊倒在禁区内，主裁判并没有吹                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
53'蒿俊闵与阿洛伊西奥配合，对方把球断下来                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
53'尤西雷中场断球，对方三人包夹！传前场被断                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
54'重庆力帆队长传球给左路的陈雷，横传禁区，吉利奥蒂插上被挡在了身后                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
54'双方争抢球出边线，鲁能泰山队后场界外球                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
55'杨旭中场接球想回传尤西雷，出现失误                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
55'费尔南迪奥直传球到禁区内，吉利奥蒂越位啦，还是把球打进，当然无效                   52'第52分钟，王永珀禁区内扣球过人被放倒，但主裁判并未判罚点球
70'王栋左路骗过蒿俊闵，横传门前，王大雷出击把球没收                   70'第70分钟，山东鲁能错失得分机会
71'王永珀中路突破直传，乌索右路横传门前，韩鹏头球顶门！偏出！                   70'第70分钟，山东鲁能错失得分机会
71'韩鹏和阿洛伊西奥又有点抢！                   70'第70分钟，山东鲁能错失得分机会
72'罗歆抢球放倒了韩鹏！犯规啦                   70'第70分钟，山东鲁能错失得分机会
72'蒙蒂略接球突破到禁区内，自己干！打门被吉利奥蒂挡出底线                   70'第70分钟，山东鲁能错失得分机会
73'蒙蒂略发角球到禁区内，阿洛伊西奥头球，后仰头球啊，顶高啦！                   70'第70分钟，山东鲁能错失得分机会
73'张磊大脚开球到中场，费尔南迪奥得球进攻，被放倒                   70'第70分钟，山东鲁能错失得分机会
73'犯规的是郑铮，主裁判的哨子慢啦                   70'第70分钟，山东鲁能错失得分机会
72'罗歆抢球放倒了韩鹏！犯规啦                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
72'蒙蒂略接球突破到禁区内，自己干！打门被吉利奥蒂挡出底线                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
73'蒙蒂略发角球到禁区内，阿洛伊西奥头球，后仰头球啊，顶高啦！                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
73'张磊大脚开球到中场，费尔南迪奥得球进攻，被放倒                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
73'犯规的是郑铮，主裁判的哨子慢啦                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
74'其实这是汪强手上有动作，费尔南迪奥在倒地时绊倒了郑铮                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
74'任意球发出来，费尔南迪奥右路横传，尤西雷头球顶出底线                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
74'重庆力帆队得到角球机会                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
75'王栋发角球到禁区内，对方顶出来                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
75'鲁能泰山队断球快速反击，三打一！！阿洛伊西奥带球突破被费尔南迪奥拉住啦，居然没拉倒！传禁区，哨响！                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
75'没有吹费尔南迪奥犯规！                   72'第72分钟，蒙蒂略角球传中，阿洛伊西奥头球争顶高出横梁
77'重庆力帆队长传球到前场维埃拉头球顶出来，被对方断掉                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
78'韩鹏外围一脚势大力沉的远射！！太漂亮啦，张磊奋力把球扑出！也漂亮！                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
78'鲁能泰山队得到角球机会                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
78'蒙蒂略发角球到后点，尤西雷头球顶门，象后卫回顶啊，交到了张磊手里！                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
78'重庆力帆队右路反击，阿洛伊西奥犯规                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
79'尤西雷中场直传球，阿洛伊西奥左路横传禁区，张文钊抢点打门，可惜打偏！                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
80'蒙蒂略左路带球到前场，横传到禁区内后点，阿洛伊西奥挑传球，太高啦！到了外围，重庆力帆队控下来                   77'第77分钟，韩鹏禁区外拿球突然起脚远射，张磊飞身将球托出底线
81'郑铮左路强突，对方前堵后追，谭望嵩把球碰出边线                   81'第81分钟，山东鲁能扩大比分
81'鲁能泰山队进球啦！蒙蒂略！2-0                   81'第81分钟，山东鲁能扩大比分
82'郑铮左路横传禁区对方解围，蒙蒂略接球突破到禁区内，冷静施射！皮球应声入网！                   81'第81分钟，山东鲁能扩大比分
83'重庆力帆队右路横传禁区，维埃拉已经到位，王大雷出击没收                   81'第81分钟，山东鲁能扩大比分
83'乌索中场传球给阿洛伊西奥，对方背后犯规                   81'第81分钟，山东鲁能扩大比分
83'张文钊接蒿俊闵传球，右路加速突破，横传球到门将，韩鹏倒地！                   81'第81分钟，山东鲁能扩大比分
84'刚才是乌索争顶倒在地上，被吹了犯规                   81'第81分钟，山东鲁能扩大比分
84'张文钊此前戏耍了阿杜阿！                   81'第81分钟，山东鲁能扩大比分
84'现在重庆力帆队两球落后，不得不压出来啦！                   81'第81分钟，山东鲁能扩大比分
86'重庆力帆队右路横传，鲁能泰山队后卫让球，被外围远射，王大雷把球扑住！                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
86'蒿俊闵长传球打身后球，罗歆护球，阿洛伊西奥抢球犯规                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
86'今天现场有23557名观众！                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
87'刘卫东在前场得球回传，谭望嵩控球想传中，被对方破坏出边线                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
87'界外球发出来，刘卫东右路突破下底，乌索将球铲出底线                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
87'战术角球发出来，谭望嵩右路横传禁区，罗歆头球顶门，稍高了一点！                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
88'蒙蒂略左路突破与队友二过一配合，到前场横传到右路给蒿俊闵                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
88'蒿俊闵突到禁区内劲射，被陈雷铲出边线                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
89'蒿俊闵发出界外球，与张文钊配合，传球到禁区内，阿洛伊西奥接球转身打门，被对方先出脚破坏                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
89'战术角球发出来，蒿俊闵横传禁区，对方把球破坏出来                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
89'鲁能泰山队前场右路挑传球，蒿俊闵越位                   86'第86分钟，王彤和尤西雷后防线上让球出现失误，王栋得球大力远射，王大雷发挥稳定将球没收
92'受伤倒地的是汪强，他在与对方争顶后蒎地被压了一下                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
92'重庆力帆队右路横传禁区，王大雷出击打球，扑到了韩鹏！                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
93'鲁能泰山队进球啦！乌索，3-0                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
93'鲁能泰山队长传反击，乌索没能拿到，但阿洛伊西奥接到球，强突横推，乌索接球推射空门球进！！！                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
93'补时阶段乌索破门，鲁能泰山队要三球完胜                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
93'补时阶段也要到了                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
93'重庆力帆队右路挑传被断下来                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
94'鲁能泰山队三打三！！                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
94'阿洛伊西奥阿洛伊西奥！！！中路突破一脚远射！门将没能扑到，但击中立柱！！！！                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
94'尤西雷中场抢球犯规                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
94'尤西雷受伤倒在中场                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
95'主裁判示意担架进场                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
95'补时时间已经超了                   92'第92分钟，阿洛伊西奥助攻乌索单刀破门
