3'C罗的任意球攻门，圆月弯刀直挂球门左上角死角，伊拉佐兹奋力去扑还是无能为力                   3'第3分钟，C-罗纳尔多的远射送上看台
47'看看C罗上半场的任意球攻门动态图                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
47'赫迪拉前场直传球找本泽马，力量稍大，本泽马没能拿到                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
47'看看C罗上半场的任意球攻门动态图                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
47'赫迪拉前场直传球找本泽马，力量稍大，本泽马没能拿到                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
48'莫德里奇中路的抢断，反击机会                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
48'C罗拿球往左路走，边路传中打在后卫身上弹出                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
48'下半场双方并没有人员上的调整                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
48'C罗禁区前沿和迪马利亚的踢墙配合                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
49'C罗和对方上来的球员撞了个满怀，重重的摔倒在地上                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
49'裁判吹停了比赛，C罗对裁判表达了不满                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
50'不停的对着裁判嚷嚷，而且指着自己的眼睛，示意对方有个挥肘的动作                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
50'C罗和裁判简单交流后，比赛恢复正常                   47'第47分钟，圣-何塞阻挡C-罗纳尔多犯规并且有肘击动作却逃脱处罚，C-罗纳尔多不满判罚被裁判口头警告
54'C罗左路拿球拿球，强突                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
54'现场嘘声四起，C罗不理会，继续往里走                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
54'脚后跟给到插上的迪马利亚                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
55'迪马利亚左边路传中，伊拉佐兹将球扑出                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
55'本泽马停球，近在咫尺的补射，又被伊拉佐兹化解                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
55'下半场也10分钟了，比分还是0-1                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
56'C罗左路拿球下底传中，毕尔巴鄂球员将球解围出边线                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
56'之前左路接到C罗脚后跟传球下底传中的是马塞洛。。。                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
57'赫迪拉前场的逼抢，身后拉倒了圣何塞                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
57'迪马利亚的斜传球给到禁区弧顶，本泽马头球没能顶到                   54'第54分钟，马塞洛左路传中被伊莱索斯扑出，本泽马12码处左脚抽射右下角又被伊莱索斯扑出
60'穆尼安被主裁判出示了黄牌警告                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
60'球现在在场上就是空中飞人，飞来飞去。。。                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
61'戈麦斯禁区外的怒射，放了飞机                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
61'皇马换人了：卡列洪换下迪马利亚                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
62'毕尔巴鄂中场的传球失误，直接出了边线                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
62'本泽马接到界外球胸部停下，挑传给到莫德里奇                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
63'C罗左路拿球，强行底线内切，被毕尔巴鄂两名球员包夹放倒                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
63'主裁判这次鸣哨了，皇马的前场任意球                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
63'位置在大禁区左下角，相当不错                   60'第60分钟，戈麦斯右路内切后20码处外脚背射门偏出
48'莫德里奇中路的抢断，反击机会                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
48'C罗拿球往左路走，边路传中打在后卫身上弹出                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
48'下半场双方并没有人员上的调整                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
48'C罗禁区前沿和迪马利亚的踢墙配合                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
49'C罗和对方上来的球员撞了个满怀，重重的摔倒在地上                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
49'裁判吹停了比赛，C罗对裁判表达了不满                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
50'不停的对着裁判嚷嚷，而且指着自己的眼睛，示意对方有个挥肘的动作                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
50'C罗和裁判简单交流后，比赛恢复正常                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
51'毕尔巴鄂的右路直传给到圣何塞                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
51'圣何塞的下底传中，阿尔比奥尔将球解围出底线                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
51'毕尔巴鄂右侧角球机会，开出被迭戈-洛佩斯没收                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
51'皇马后场失误，毕尔巴鄂抢断发动进攻                   48'3分钟后，C-罗纳尔多禁区边缘抽射离谱偏出，主队球迷哄笑一片
68'皇马获得左侧角球机会，到前点，被毕尔巴鄂的球员解围                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
68'卡列洪前场背身拿球，圣何塞身后上抢拉倒了卡列洪，犯规                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
68'皇马前场任意球机会，阿隆索主罚                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
69'进球啦，C罗梅开二度                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
69'阿隆索任意球斜传禁区，C罗高高跃起，狮子甩头攻门，直接顶进球门右上角                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
70'毕尔巴鄂换人：伊劳拉换下拉马略                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
71'皇马也换人了：伊瓜因换下本泽马                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
71'同时毕尔巴鄂再次换人：托克罗换下戈麦斯                   68'皇马第68分钟扩大比分，阿隆索任意球传中，C-罗纳尔8码处多强力头球破门，2-0
75'慢镜回放显示，之前C罗在中圈争顶时被圣何塞施了阴招，抓了眼睛                   75'第75分钟，赫迪拉传球，C-罗纳尔多禁区中路边缘劲射偏转后被伊莱索斯得到
76'C罗禁区右上角拿球，横带，弧顶左脚打门                   75'第75分钟，赫迪拉传球，C-罗纳尔多禁区中路边缘劲射偏转后被伊莱索斯得到
76'打在后卫身上没力量啦，被伊拉佐兹没收                   75'第75分钟，赫迪拉传球，C-罗纳尔多禁区中路边缘劲射偏转后被伊莱索斯得到
76'伊瓜因进球啦                   75'第75分钟，赫迪拉传球，C-罗纳尔多禁区中路边缘劲射偏转后被伊莱索斯得到
77'莫德里奇外脚背给到C罗，C罗弧顶斜传身后找伊瓜因，伊瓜因接应，小角度斜射远角，打进                   75'第75分钟，赫迪拉传球，C-罗纳尔多禁区中路边缘劲射偏转后被伊莱索斯得到
78'毕尔巴鄂左路的传接，失误啦                   75'第75分钟，赫迪拉传球，C-罗纳尔多禁区中路边缘劲射偏转后被伊莱索斯得到
80'莫德里奇中路拿球，连过三人继续往里走                   80'第80分钟，莫拉塔换下C-罗纳尔多
80'可惜面对上来的伊劳拉再突，自己趟球趟大，被断掉                   80'第80分钟，莫拉塔换下C-罗纳尔多
81'毕尔巴鄂换人：莫兰换下穆尼安                   80'第80分钟，莫拉塔换下C-罗纳尔多
82'全场比赛81分钟了，比分0-3，无悬念啦                   80'第80分钟，莫拉塔换下C-罗纳尔多
82'皇马的前场逼抢，伊拉佐兹大脚开出                   80'第80分钟，莫拉塔换下C-罗纳尔多
82'莫德里奇头球顶到前场，没有人哦                   80'第80分钟，莫拉塔换下C-罗纳尔多
83'莫兰前场争顶，球没到肘先行，放倒了佩佩                   80'第80分钟，莫拉塔换下C-罗纳尔多
