1'上海申鑫开场首先开球。                   1'双方第1分钟进入状态比较慢
17'陈雷掷出前场边线球，于汉超突破，丢球反抢犯规，上海申鑫后场任意球。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
17'罗申巴克中路控球，分球巴哈，巴哈做球，传球右路，赵和靖控球。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
17'申鑫后场断球反击。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
18'毛剑卿左路突破，穆伦防守手球，申鑫左路前场获得任意球。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
18'穆伦防守毛剑卿再次犯规，申鑫获得位置不错任意球。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
19'安东尼奥直接起脚射门，球直挂阿尔滨大门右上角，好在张翀反应相当快，将球扑出底线，角球。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
20'申鑫角球发出，申鑫前点射门，出底线，阿尔滨门球。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
20'大连阿尔滨门将张翀表现还是相当精彩，不过同样也反映出阿尔滨后防线的薄弱。                   17'第17分钟穆伦后场防守犯规，安东尼奥任意球直接旋后角，张飞身把球扑出，角球开出后阿尔滨解围不远，姜至鹏远射打高
23'赵和靖右路突破，速度很快，底线位置回传，被对方后卫乔尼断球，申鑫快速反击。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
23'姜志鹏左路起球，门前穆伦头球解围。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
24'申鑫获得好机会啊，于涛中路控球突破，直塞，禁区内小将朱家伟断球，直面阿尔滨门将射门，可惜角度没有了，被张翀将球扑出底线，角球。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
24'申鑫进攻很简练，威胁却很大。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
24'陈雷传球孙铂，阿尔滨中路进攻。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
24'阿尔滨球到前场很快，不过射门机会不是很多。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
25'凯萨被陈雷推倒，申鑫获得弧顶位置任意球，位置很好啊。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
26'安东尼奥发出任意球，球直接飞出底线。                   23'第23分钟申鑫险些打进第二球，葛振右路带球助攻到前场，乱军丛中葛振直塞到禁区，朱家伟拿球形成单刀
25'凯萨被陈雷推倒，申鑫获得弧顶位置任意球，位置很好啊。                   25'第25分钟陈雷禁区前沿对安东尼奥犯规，不过安东尼奥任意球打偏出界
26'安东尼奥发出任意球，球直接飞出底线。                   25'第25分钟陈雷禁区前沿对安东尼奥犯规，不过安东尼奥任意球打偏出界
27'罗申巴克中路直传左路于汉超，于汉超吸引两名防守队员，回传陈雷，陈雷在做球给罗申巴克。                   25'第25分钟陈雷禁区前沿对安东尼奥犯规，不过安东尼奥任意球打偏出界
27'罗申巴克传球右路，于大宝得球射门，高出横梁，这次阿尔滨进攻很出彩，罗申巴克是进攻核心啊。                   25'第25分钟陈雷禁区前沿对安东尼奥犯规，不过安东尼奥任意球打偏出界
28'赵和靖右路控球，传球罗申巴克，于大宝得球传球巴哈，配合没有形成默契。                   25'第25分钟陈雷禁区前沿对安东尼奥犯规，不过安东尼奥任意球打偏出界
29'于汉超左路传球，孙铂控球，边路被姜志鹏铲倒，阿尔滨前场右路任意球。                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
29'罗申巴克发出任意球，战术任意球，失误了                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
30'吕鹏反抢，阿尔滨重新进攻。                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
30'进球了！                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
30'吕鹏反抢，传球右路于汉超，于汉超突破，底线传中，跟进的前锋巴哈头球射门，球进！                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
31'双方重新站在同一起跑线上。                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
32'申鑫左路进攻，传球凯萨，凯萨越位在线，阿尔滨后场任意球。                   29'第29分钟阿尔滨右路快攻取得进球，王佳玉后场带球被铲断，阿尔滨沿着右路推进，罗申巴克直传，于汉超拿球高速下底传中，巴哈抢在乔尼之前，跃起头球攻门，皮球飞入大门后点，1比1，阿尔滨扳平比分
33'陈雷掷球违例，申鑫罚边线球。                   33'第33分钟于大宝右路拿球强行转身射门，皮球打得太正
34'赵和靖右路控球，分球于大宝，于大宝晃过防守队员，直接射门，申鑫门将刘殿座将球扑住。                   33'第33分钟于大宝右路拿球强行转身射门，皮球打得太正
35'孙铂防守很干净，断下申鑫左路进攻，快速传球前场，不过被申鑫后卫乔尼控球。                   33'第33分钟于大宝右路拿球强行转身射门，皮球打得太正
35'毛剑卿控球被阿尔滨防守队员拉倒，任意球。                   33'第33分钟于大宝右路拿球强行转身射门，皮球打得太正
36'穆伦不服从裁判被出示黄牌。                   33'第33分钟于大宝右路拿球强行转身射门，皮球打得太正
38'于大宝倒地将球解围出边线，申鑫左路再次获得界外球。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
38'王佳玉大力掷出边线球，申鑫现在围攻大连阿尔滨。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
38'凯萨左路控球，回传，穆伦将球断下，阿尔滨后场将球控制。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
39'阿尔滨组织进攻。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
39'于汉超传球赵和靖，赵和靖再作球给于汉超，于汉超禁区内直接扫射，球稍高。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
40'希望于汉超快速恢复到巅峰状态。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
40'穆伦后场控球，阿尔滨在自己半场组织。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
41'吕鹏中场前场右路，力量稍大，出边线。                   38'第38分钟赵和靖沿右路推进到前场送球，于汉超从中路快速插到右侧怒射，皮球稍稍偏出门外
47'刘殿座发出后场任意球。                   47'中场双方没有换人，第47分钟毛剑卿倚着李学鹏强行转身，李学鹏将毛拽倒在地，申鑫再次获得禁区前沿任意球机会
47'罗申巴克中路断球，传球右路，球传的稍大，于大宝没有控制皮球。                   47'中场双方没有换人，第47分钟毛剑卿倚着李学鹏强行转身，李学鹏将毛拽倒在地，申鑫再次获得禁区前沿任意球机会
49'毛剑卿前场控球，李学鹏贴身防守毛剑卿，李学鹏1对1防守，能力不行啊，毛剑卿强行突破，李学鹏将毛剑卿摔倒在地，任意球。                   47'中场双方没有换人，第47分钟毛剑卿倚着李学鹏强行转身，李学鹏将毛拽倒在地，申鑫再次获得禁区前沿任意球机会
49'上海申鑫获得弧顶位置威胁很大的任意球。                   47'中场双方没有换人，第47分钟毛剑卿倚着李学鹏强行转身，李学鹏将毛拽倒在地，申鑫再次获得禁区前沿任意球机会
50'毛剑卿发出任意球，打穿人墙，不过被阿尔滨门将张翀没收。                   47'中场双方没有换人，第47分钟毛剑卿倚着李学鹏强行转身，李学鹏将毛拽倒在地，申鑫再次获得禁区前沿任意球机会
50'李学鹏中后卫位置能力还是有待提高啊，李学鹏边路防守应该是他的强项。                   47'中场双方没有换人，第47分钟毛剑卿倚着李学鹏强行转身，李学鹏将毛拽倒在地，申鑫再次获得禁区前沿任意球机会
54'毛剑卿身披2号啊，前锋很少用这个号码，一般后防队员用这样的小号。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
54'孙铂右路起球于汉超，于汉超控球失误被对方后卫断下。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
55'申鑫长传前场。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
55'阿尔滨门将张翀再次立功啊。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
56'申鑫后场大脚前传，张翀出击头球解围，安东尼奥吊门，张翀快速回撤，在身体失去平衡情况下，将球打出底线，申鑫角球，张翀很棒的门将啊                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
56'申鑫角球发出，阿尔滨门将张翀将球没收。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
57'申鑫左路突破，11号姜志鹏突破，传球中路安东尼奥，安东尼奥再传凯萨，凯萨直接起脚射门，球被张翀扑出。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
57'孙铂右路起球，申鑫后卫解围。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
57'安东尼奥中路得球，快速突破，赵和靖被迫拉人犯规，被裁判出示黄牌。                   54'第54分钟申鑫长传高吊进攻，凯撒跟着飞行中的皮球高速冲刺而来，张在禁区线上把球顶出，安东尼奥直接35米外吊门，张快速回退，赶在皮球进门前把球扑出
56'申鑫后场大脚前传，张翀出击头球解围，安东尼奥吊门，张翀快速回撤，在身体失去平衡情况下，将球打出底线，申鑫角球，张翀很棒的门将啊                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
56'申鑫角球发出，阿尔滨门将张翀将球没收。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
57'申鑫左路突破，11号姜志鹏突破，传球中路安东尼奥，安东尼奥再传凯萨，凯萨直接起脚射门，球被张翀扑出。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
57'孙铂右路起球，申鑫后卫解围。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
57'安东尼奥中路得球，快速突破，赵和靖被迫拉人犯规，被裁判出示黄牌。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
58'姜志鹏发出任意球，申鑫左路进攻。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
58'姜志鹏掷出边线球，安东尼奥直塞球，很突然啊，好在阿尔滨防守注意力很集中，没有给对手机会。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
58'安东尼奥外援踢得相当聪明啊。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
58'赵和靖防守毛剑卿犯规。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
59'这段时间，阿尔滨很被动，频频犯规，获得任意球。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
59'王佳玉发出任意球，罗申巴克头球解围，险些乌龙啊。                   56'第56分钟赵和靖拉拽安东尼奥吃到黄牌
63'阿尔滨主教练对中路防守不满意啊，更换了中后卫。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
63'陈耀东在观看这场比赛。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
64'陈雷左路助攻，阿尔滨反超后，前场拼抢的很积极了。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
64'申鑫换人8号查尔顿上场，换下23号安东尼奥。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
64'23号安东尼奥表现很好啊。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
64'双方现在都做了一次换人。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
65'于汉超中路突破，直塞传球被对手识破，申鑫断球反击。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
65'凯萨左路控球，分球刚上场的8号查尔顿，8号速度很快。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
66'罗申巴克分球左路，阿尔滨后场控球。                   63'第63分钟申鑫用雅伊尔顿换下安东尼奥
68'罗申巴克直塞传球，罗申巴克现在是阿尔滨的进攻核心啊，感觉在场上的作用大过凯塔。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
68'查尔顿发出中场任意球。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
68'查尔顿右路传球禁区，凯萨没有得球皮球。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
68'陈雷传球于汉超，于汉超控球失误，申鑫右路进攻，张翀大脚将球解围。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
69'罗申巴克，于大宝防守时候互相让球了，申鑫轻松再获进攻机会。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
69'查尔顿右路起球射门，阿尔滨门将张翀将球没收。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
69'8号查尔顿的确相当活跃，速度很快。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
70'这场比赛现场观看人数8000人吧。大连阿尔滨的球迷似乎更多，场上的加油声多来自大连球迷。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
71'于涛防守赵和靖犯规，阿尔滨任意球。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
71'查尔顿进攻犯规，阿尔滨后场任意球。                   68'第68分钟毛剑卿在左路突然转身射门被张扑住
74'罗申巴克传球右路，申鑫断球反击，晋鹏翔将球断下。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
74'吕鹏突破被侵犯，阿尔滨后场任意球。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
74'阿尔滨换人，27号刘宇上场，换下3号赵和靖，赵和靖受伤了。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
75'王佳玉右路传球组织进攻，朱家伟前场弧顶位置控球一脚射门，球高出横梁。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
76'孙铂右路传球巴哈，边裁判罚巴哈球出界运球，申鑫后场界外球。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
76'阿尔滨前场左路任意球。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
77'罗申巴克起球右路，孙铂控球。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
77'孙铂横向跑到，传球巴哈，巴哈上抢，对方门将出击将球解围。                   74'第74分钟毛剑卿中路横推到右路，王佳玉倒地卧射完全打偏，朱家伟跟上补射打高出界
77'罗申巴克起球右路，孙铂控球。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
77'孙铂横向跑到，传球巴哈，巴哈上抢，对方门将出击将球解围。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
78'姜志鹏左路传球，左路前场王佳玉起球，中路毛剑卿控球被李学鹏断球。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
78'上海申鑫换人，32姜晓晨上场，29号张永海下场。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
79'申鑫角球发出，凯萨射门，威胁依然很大，球出底线，阿尔滨门球。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
79'晋鹏翔防守毛剑卿犯规，申鑫获得前场任意球。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
80'姜志鹏发出前场任意球，阿尔滨门将张翀出击将球没收。                   77'第77分钟申鑫用年轻前锋江晓辰换下张永海，主队完全摆出放手一攻的态势
84'阿尔滨用完了3个换人名额。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
84'于大宝顶在前锋位置。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
85'申鑫王佳玉铲球吕鹏，没有收脚，被裁判出示黄牌。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
85'罗申巴克发出任意球，于大宝前场越位。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
86'上海申鑫换人，10号王佳玉换下，13号叶重秋上场。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
86'上海申鑫也用完了3个换人名额。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
86'陈涛左路控球，前传，力量稍小。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
86'查尔顿右路分球，申鑫右路进攻。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
87'乔尼铲倒了陈涛，这次铲球动作太大了。完全是冲着脚去的。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
87'裁判没有出示黄牌，阿尔滨后场任意球。                   84'第84分钟王佳玉飞铲吕鹏吃到黄牌
88'张翀大脚球，裁判判罚于大宝进攻犯规，申鑫后场任意球。                   88'第88分钟叶重秋禁区外射门过轻
89'查尔顿传球禁区，好在李学鹏反应很快，抢先将球顶出底线，角球。                   88'第88分钟叶重秋禁区外射门过轻
89'申鑫角球发出，门线位置被阿尔滨防守队员解围，相当危险啊。                   88'第88分钟叶重秋禁区外射门过轻
90'刘宇将球解围出底线，申鑫再获角球。                   88'第88分钟叶重秋禁区外射门过轻
90'姜志鹏发出角球，门前毛剑卿头球射门，球偏出。                   88'第88分钟叶重秋禁区外射门过轻
90'下半场补时3分钟。                   88'第88分钟叶重秋禁区外射门过轻
91'申鑫右路进攻，晋鹏翔头球解围，查尔顿在晋鹏翔起跳后撞人，这个动作缺乏职业道德啊，晋鹏翔重重的摔倒在地。                   88'第88分钟叶重秋禁区外射门过轻
90'刘宇将球解围出底线，申鑫再获角球。                   90'第90分钟申鑫获得右路角球机会，毛剑卿头球偏出
90'姜志鹏发出角球，门前毛剑卿头球射门，球偏出。                   90'第90分钟申鑫获得右路角球机会，毛剑卿头球偏出
90'下半场补时3分钟。                   90'第90分钟申鑫获得右路角球机会，毛剑卿头球偏出
91'申鑫右路进攻，晋鹏翔头球解围，查尔顿在晋鹏翔起跳后撞人，这个动作缺乏职业道德啊，晋鹏翔重重的摔倒在地。                   90'第90分钟申鑫获得右路角球机会，毛剑卿头球偏出
92'罗申巴克中路失误，申鑫快速反击。                   90'第90分钟申鑫获得右路角球机会，毛剑卿头球偏出
93'申鑫后场长传，毛剑卿弧顶位置得球，挑传禁区，跟进的凯萨没有碰到皮球，球直接出底线，阿尔滨门球。                   90'第90分钟申鑫获得右路角球机会，毛剑卿头球偏出
92'罗申巴克中路失误，申鑫快速反击。                   92'第92分钟葛振传到前场，毛剑卿挑射过轻
93'申鑫后场长传，毛剑卿弧顶位置得球，挑传禁区，跟进的凯萨没有碰到皮球，球直接出底线，阿尔滨门球。                   92'第92分钟葛振传到前场，毛剑卿挑射过轻
94'刘宇左路得球，个人突破，申鑫防守队员被迫犯规，阿尔滨获得前场任意球。                   92'第92分钟葛振传到前场，毛剑卿挑射过轻
94'阿尔滨还没有发出任意球，裁判就吹响了结束的哨声。                   92'第92分钟葛振传到前场，毛剑卿挑射过轻
