8'杭州绿城球员陈中流大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   8'第8分钟，杭州绿城球员陈中流大禁区外尝试右脚射门，可惜皮球稍稍偏出左立柱
31'延边富德球员特拉沃利大禁区外右脚射门,被防守球员封堵.                   31'杭州绿城在第31分钟打破僵局——先是绿城右路的进攻被断后，斯蒂夫带球狂突至绿城禁区前沿一脚抽射被挡出，绿城持球反击，萨米尔前场右路带球吸引防守后在禁区边缘将球平抽入禁区，拉蒙包抄跑至中路直接转身一脚抽射将球直接送入死角，1-0
31'进球啦！！！杭州绿城球员安瑟莫-拉蒙大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是萨米尔. 杭州绿城 1-0 延边富德.                   31'杭州绿城在第31分钟打破僵局——先是绿城右路的进攻被断后，斯蒂夫带球狂突至绿城禁区前沿一脚抽射被挡出，绿城持球反击，萨米尔前场右路带球吸引防守后在禁区边缘将球平抽入禁区，拉蒙包抄跑至中路直接转身一脚抽射将球直接送入死角，1-0
43'进球啦！！！延边富德球员Yoon Bit-Garam大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是朴世豪. 杭州绿城 1-1 延边富德.                   43'延边富德在第43分钟顽强扳平——朴世豪从右路将球送入禁区，尹比加兰禁区内转身抽射入网，1-1
44'延边富德球员崔民拼抢犯规,对手获得控球权.                   43'延边富德在第43分钟顽强扳平——朴世豪从右路将球送入禁区，尹比加兰禁区内转身抽射入网，1-1
44'安瑟莫-拉蒙为杭州绿城在对方半场,赢得一个任意球.                   43'延边富德在第43分钟顽强扳平——朴世豪从右路将球送入禁区，尹比加兰禁区内转身抽射入网，1-1
45'杭州绿城球员陈中流大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是陈柏良.                   43'延边富德在第43分钟顽强扳平——朴世豪从右路将球送入禁区，尹比加兰禁区内转身抽射入网，1-1
45'+2'上半场结束,杭州绿城 1-1 延边富德,稍事休息,我们一会来看看下半场两队的表现.                   43'延边富德在第43分钟顽强扳平——朴世豪从右路将球送入禁区，尹比加兰禁区内转身抽射入网，1-1
45'杭州绿城换人,程谋义换下陈柏良                   43'延边富德在第43分钟顽强扳平——朴世豪从右路将球送入禁区，尹比加兰禁区内转身抽射入网，1-1
58'延边富德球员裴育文大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是金贤.                   57'第57分钟，加比奥内塔横敲中路，陈中流直接远射，球打的太正被门将扑住
59'杭州绿城球员陈中流大禁区外右脚射门,被防守球员封堵.给他传球的是安瑟莫-拉蒙.                   57'第57分钟，加比奥内塔横敲中路，陈中流直接远射，球打的太正被门将扑住
59'韩光徽为延边富德赢得一个任意球.                   57'第57分钟，加比奥内塔横敲中路，陈中流直接远射，球打的太正被门将扑住
59'杭州绿城球员葛振拼抢犯规,对手获得控球权.                   57'第57分钟，加比奥内塔横敲中路，陈中流直接远射，球打的太正被门将扑住
80'延边富德换人,李浩换下Yoon Bit-Garam                   80'第80分钟谈杨接拉蒙的直塞转身抽射打偏
81'杭州绿城球员谈杨大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是安瑟莫-拉蒙.                   80'第80分钟谈杨接拉蒙的直塞转身抽射打偏
82'杭州绿城球员冯刚大禁区中央尝试头球,可惜皮球高出球门.给他传球的是程谋义.                   80'第80分钟谈杨接拉蒙的直塞转身抽射打偏
82'延边富德换人,金成大换下河太均                   80'第80分钟谈杨接拉蒙的直塞转身抽射打偏
83'延边富德球员金成大拼抢犯规,对手获得控球权.                   80'第80分钟谈杨接拉蒙的直塞转身抽射打偏
83'陈晓为杭州绿城赢得一个任意球.                   80'第80分钟谈杨接拉蒙的直塞转身抽射打偏
85'延边富德金贤受伤倒地,比赛暂停                   85'第85分钟，赵宇豪包抄头球攻门顶偏
85'暂停结束,球员们重新开始比赛.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
85'延边富德球员金贤被主裁判出示了一张黄牌.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
85'射门!!!杭州绿城球员陈晓大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是谈杨.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
85'佩特科维奇为延边富德赢得一个任意球.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
85'杭州绿城球员安瑟莫-拉蒙拼抢犯规,对手获得控球权.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
86'黄牌！杭州绿城球员安瑟莫-拉蒙因为恶意犯规,被主裁判出示黄牌.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
86'杭州绿城球员Sun Zheng'ao被主裁判出示了一张黄牌.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
88'杭州绿城球员赵宇豪尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是冯刚.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
88'崔民为延边富德赢得一个任意球.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
88'杭州绿城球员安瑟莫-拉蒙拼抢犯规,对手获得控球权.                   85'第85分钟，赵宇豪包抄头球攻门顶偏
90'+1'裴育文将球处理出底线,杭州绿城获得角球.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+1'延边富德球员李浩大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是金成大.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+1'杭州绿城球员程谋义大禁区外右脚射门,被防守球员封堵.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+2'延边富德球员特拉沃利一脚直塞球给李浩,但是边裁举旗显示后者已经越位.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+4'延边富德球员艾合买提-艾克拜尔一脚直塞球给特拉沃利,但是边裁举旗显示后者已经越位.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+5'延边富德球员崔民犯规,致使对方获得点球.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+5'点球,德尼尔森在禁区内被侵犯,杭州绿城获得点球.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+5'延边富德球员佩特科维奇被主裁判出示了一张黄牌.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+6'进球啦！！！杭州绿城球员德尼尔森左脚射门,球从中路飞进球门,球进了! 杭州绿城 2-2 延边富德.                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
90'+7'下半场结束,杭州绿城 2-2 延边富德                   90'最终经过90分钟激战，杭州绿城主场2- 2战平延边富德，积32分排名倒数第二位，在经历了十年中超征程之后于今夜降入中甲
